value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
32.2495,0.002275414935372694,,,,,
32.3995,,,,0.0014589905362776025,,
32.5675,,,,,0.001586066115459739,
32.8135,,,,,,0.0017821115576815035
32.834,,,0.0016492648734752623,,,
33.4995,,0.0010296057904536431,,,,
35.5,,,,0.001498422712933754,,
35.6995,0.002261610598049907,,,,,
36.2875,,,,,0.001584597535723202,
36.7,,,,,,0.0017900724899749117
36.7845,,,0.00190023996291715,,,
37.2,,,,0.0013998422712933755,,
37.849500000000006,0.002261610598049907,,,,,
38.2605,,,,,0.0016036890722981804,
38.45,,0.001183738393814967,,,,
38.506,,,,,,0.0017047767868312532
38.7,,,,0.0014491324921135646,,
38.75,,,0.0015698747941620122,,,
39.349500000000006,0.0023835489110678575,,,,,
39.554500000000004,,,,,0.001571380318094371,
39.756,,,,,,0.00177301334934618
40.0,,,0.001664630695277827,,,
40.1,,,,0.0014195583596214511,,
40.349999999999994,,0.0008076548416133367,,,,
40.4495,0.002118965779047777,,,,,
40.561,,,,,0.0015684431586212974,
40.742999999999995,,,,,,0.001744581448298294
40.9875,,,0.001454631130642778,,,
41.4,,0.0010080272259830577,,,,
42.45,,0.0009093823598318105,,,,
42.5305,,,,0.006979495268138802,,
42.6515,0.01135866889376642,,,,,
42.7285,,,,,0.007940610635454452,
42.848,,,,,,0.008879851335275801
43.249,,,0.00952168757698917,,,
44.099999999999994,,0.004577738319831317,,,,
45.4805,,,,0.007147082018927445,,
45.4995,0.011259737809619783,,,,,
45.5635,,,,,0.007986136607287093,
45.5985,,,,,,0.008868478574856646
45.9995,,,0.00819766593166819,,,
46.4,,0.004836681093478341,,,,
47.549,0.011643958531770682,,,,,
47.567,,,,0.007048501577287067,,
47.626999999999995,,,,,0.007965576490975578,
47.650000000000006,,,,,,0.00909479650719782
47.8995,,,0.008166934288063062,,,
48.25,,0.004716457662856509,,,,
49.249,0.010937636605421424,,,,,
49.2665,,,,,0.007861307329681466,
49.266999999999996,,,,0.007097791798107256,,
49.3,,,,,,0.008674004371689106
49.399,,,0.008607421179736579,,,
49.5,,0.0047041270545876025,,,,
56.2535,0.13950203153830934,,,,,
56.8645,,,,,,0.1371361569622902
57.0035,,,0.1401311728987879,,,
57.0535,,,,0.13168375394321766,,
57.209,,,,,0.13392272333426344,
57.9995,,0.13689133034932613,,,,
66.749,0.13891304647920377,,,,,
68.2205,,,,,,0.13690415264973946
68.499,,,0.14166007216814305,,,
68.499,,,,0.13107255520504732,,
68.9915,,,,,0.13363635028563875,
70.4,,0.14005721402236773,,,,
75.149,0.13905339057531876,,,,,
76.8385,,,,,,0.1369951347330927
76.949,,,,0.13256111987381702,,
76.999,,,0.13824885972797374,,,
77.678,,,,,0.1335585155596023,
78.8,,0.13452077090962897,,,,
83.87450000000001,0.1386484633471837,,,,,
85.249,,,0.13760605618256644,,,
85.298,,,,,,0.1370610967435238
85.299,,,,0.13003746056782334,,
85.991,,,,,0.1340284610752941,
86.85,,0.13626555197967916,,,,
94.2245,0.13900737611757613,,,,,
94.749,,,0.13932702822445367,,,
94.799,,,,0.13110212933753942,,
94.815,,,,,,0.13692121179036817
95.09899999999999,,,,,0.13305038697076058,
95.45,,0.13662622227154467,,,,
102.2995,,0.05915609317007608,,,,
102.649,,,,,,0.054525562553594135
102.70349999999999,,,0.05247428145575796,,,
102.7575,,,,,0.05870060064911224,
102.775,0.04967260713316124,,,,,
103.0575,,,,0.06199723974763407,,
107.4,,0.058197388377168646,,,,
108.599,,,,,,0.0538534324128221
108.699,,,0.053304035833096446,,,
108.899,,,,,0.05819540921974359,
109.075,0.04972782448245239,,,,,
110.149,,,,0.06123817034700316,,
114.1,,0.05805558638207623,,,,
116.499,,,0.051173308543140825,,,
116.499,,,,,,0.054191203397270994
116.899,,,,,0.05863745172044116,
118.049,0.0496104876152087,,,,,
119.699,,,,0.06168178233438486,,
124.45,,0.05808949555481572,,,,
128.749,,,0.051644527078419475,,,
129.582,,,,,0.05818219200211475,
129.7225,,,,,,0.05401833743889985
132.28300000000002,0.049677208578935504,,,,,
133.0995,,0.011775730896805139,,,,
135.5825,,,,0.06150433753943218,,
138.15,,0.011667838074452213,,,,
139.014,,,0.010392417479134495,,,
140.281,,,,,0.011697237601515574,
141.1725,,,,,,0.010940595523226588
143.982,0.00993912287240651,,,,,
144.748,,,0.010369368746430647,,,
145.0,,0.011797309461275725,,,,
146.29149999999998,,,,,0.011786820965444318,
147.5375,,,,,,0.010692669346089022
149.186,,,,0.012401419558359621,,
150.69799999999998,0.009941423595293642,,,,,
152.748,,,0.010318149340422099,,,
154.8415,,,,,0.01168548896362328,
156.48950000000002,,,,0.012302839116719243,,
156.74,,,,,,0.010816632434657804
157.5,,0.011575358512435418,,,,
160.483,0.009932220703745116,,,,,
165.985,,,,0.012292981072555205,,
166.998,,,0.010323271281022953,,,
168.69799999999998,,,,,0.011568002584700336,
172.95049999999998,,,,,,0.010818906986741636
177.233,0.009969032269939214,,,,,
180.19799999999998,,,,0.012391561514195584,,
284.947,,,0.010295100607718252,,,
372.54600000000005,,,,0.012233832807570977,,
386.7455,,,,,,0.010813220606532059
417.9955,0.009904612029099542,,,,,
425.7405,,,,,0.011682551804150206,
596.5,,0.011550697295897607,,,,
