value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
5.0,,0.08225082310685423,,,,
5.5,,,,,,0.11923679419692629
6.5,0.10821141426123633,,0.12769780621211224,,0.04115484162524136,
7.5,,,,0.11151790598830114,,
11.999500000000001,0.09583378266652288,0.08294921680135688,0.09748632584957448,0.09805159281235534,,0.10353660085521953
12.999500000000001,,,,,0.08445626720348383,
16.0,0.0715697904310004,,0.07331714155954426,,,0.07828927870842095
16.5,,0.08346802354584455,,0.09803055169801793,,
18.5,,,,,0.06972803089437575,
21.0,0.09160405957558983,,0.09107872756353297,,,0.097439986451968
21.5,,,,0.08210242814459454,,
22.0,,0.08628155242941235,,,,
24.0,,,,,0.08187831231255906,
27.0,,,,0.07924083659470606,,
27.5,0.07925039241765221,,0.08477973263827182,,,0.08428004911161603
28.5,,0.07905816621769929,,,,
30.0,,,,,0.0712070169672569,
35.0,,,,0.08845684467449397,,
35.5,0.07520040260253784,,0.07962600951760362,,,0.07999689524266501
36.0,,0.07261299012271775,,,,
36.5,,,,,0.06746846883858511,
46.9995,,,0.09292498469679916,0.09274923199932668,,0.08878194724735038
47.4995,,0.10292327646413249,,,,
47.9995,,,,,0.12123577502978514,
48.4995,0.09765507986148556,,,,,
66.0,,,0.0872084987066327,,,
66.5,,,,0.08509026638050751,,0.08792813898022835
70.0,,0.102604010775217,,,,
70.5,,,,,0.11505279158621257,
73.0,0.09563008495392837,,,,,
103.5,,,0.0874651975593863,,,
106.5,,,,,,0.0857548088457359
108.5,,,,0.08835163910280688,,
115.5,,,,,0.11419004971036523,
119.5,,0.10310286341414746,,,,
127.0,0.09366500113831075,,,,,
229.0,,,0.08917323223347748,,,
240.5,,,,,,0.0873071875132305
255.0,,,,0.08788873458738375,,
263.0,,,,,0.11681935828437616,
300.5,,0.10198543350294323,,,,
334.5,0.09572594270103167,,,,,
387.9995,,,0.017959046659953005,,,
414.4995,,,,,,0.017619497876063733
447.9995,,,,,0.02346863317037098,
447.9995,,,,0.017737659386441108,,
527.9995,,0.020572682829492168,,,,
552.5,,,0.017751712971190492,,,
597.5,,,,,,0.01739369734260997
607.1995,0.019135602765496005,,,,,
642.0,,,,,0.023355655067581447,
643.5,,,,0.01771661827210369,,
752.8,,0.02053277461837773,,,,
848.5,,,0.017860316331970855,,,
854.0999999999999,0.019123620547108092,,,,,
925.5,,,,,,0.01746426000931427
974.0,,,,0.01767453604342886,,
1030.6,,,,,0.023263218438026374,
1152.7,,0.02055272872393495,,,,
1269.0,0.019135602765496005,,,,,
1509.2,,,0.017820824200777994,,,
1642.0,,,,,,0.017485428809325562
1674.2,,,,0.01767453604342886,,
1855.6999999999998,,,,,0.023355655067581447,
1936.6,,0.02055272872393495,,,,
2109.2,0.019123620547108092,,,,,
8419.7,,,0.01785044329917264,,,
9436.1,,,,,0.023365925804198676,
9717.6,0.019135602765496005,,,,,
10397.2,,0.02055272872393495,,,,
10677.2,,,,0.01771661827210369,,
11073.0,,,,,,0.017485428809325562
