value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
5.6995000000000005,0.017931794172618348,,,,,
6.4995,,0.023583504462267684,0.01421216627188427,,,
6.4995,,,,,0.021095078619070402,
6.9995,,,,,,0.02127850177051269
7.499499999999999,,,,0.02619165341493726,,
11.0,,,,0.023071372255555705,,
12.0,0.017141747853331286,0.02362870833171891,,,,
12.5,,,0.02380649933870835,,,
13.0,,,,,0.020753343974012087,
13.0,,,,0.03902689989710422,,
13.75,0.015241122136646412,,,,,
14.0,,,,,,0.02207479700692528
14.0,,0.03365105195861909,,,,
14.5,,,0.014215902382891601,,0.015000140714265612,
14.5,,,,0.026986757179319285,,
15.0,0.016238837774146073,,,,,
15.5,,,,,,0.01694864642251923
15.5,,0.030538442662120448,0.01868429114765858,,0.021083017396303638,
15.75,0.016627089108195714,,,,,
16.5,,,,,,0.021913049537028974
16.5,,,,0.12205176860475993,,
17.0,,0.08522220930683096,,,,
17.05,0.05675692757758255,,,,,
17.5,,,0.09563696956563973,,0.10266110778310705,
18.0,,,,,,0.06622439102077585
19.0,,0.11697469874849858,,0.11861745486616868,,
19.05,0.08580354482497088,,,,,
19.5,,,0.05065419303738353,,0.05428354326561627,
20.0,,,,,,0.10646716153097713
20.5,,0.06780580417683754,,0.06818515895393744,0.061174521873027486,
20.5,0.055705037335331775,,,,,
21.0,,,0.13446263515381568,,,
21.5,0.0656821937103284,,,,,
21.5,,0.06953646660725586,,0.07139898173265805,0.07161552038145627,
21.5,,,,,,0.07287843309004854
22.499499999999998,0.12243009218711909,0.13884045617161972,0.1508903152530468,0.1412879344674141,0.1395523678190495,0.15459076645904926
23.5,0.08025967693877367,0.06493212961886681,0.07765880339836657,0.06289337591704194,0.06986262267268656,0.08705995356603402
24.5,0.07835453667169287,0.05580094798971935,0.07092633136315746,0.05468843959215854,0.06036239954006537,0.08263802658133036
25.5,,0.04922055613674816,0.05886242892048808,0.04377747785068085,,0.07004660815555627
25.9,0.0831399600913745,,,,,
26.0,,,,,0.10016443467038688,
27.0,,0.07158355612383277,0.08355812267894104,0.06545240736038914,,0.09148685739596527
27.4,0.09002013489476583,,,,,
27.5,,,,,0.040232218742336096,
28.249499999999998,0.03834207651260011,,,,,
28.499499999999998,,,0.06666342870379365,,0.07204570399347086,
28.999499999999998,,0.08070182236170845,,0.06918070904547459,,0.08576597380686357
29.25,0.05524003864455139,,,,,
29.5,,,0.02482272153270218,,0.027085485926563235,
30.5,,0.016770635566404485,,0.013496719361778894,,
30.55,0.021304163318375122,,,,,
31.0,,,0.03692398508544486,,0.03983017798344396,
31.0,,,,,,0.030368709578685166
32.5,,0.03168791248530874,,0.02511592479253805,,
32.55,0.039723528933753485,,,,,
33.5,,,,,,0.02766379419749615
33.5,,,0.03439090182247495,,0.03545597452669751,
34.2995,0.008943324334329544,,,,,
34.4995,,,,0.011632568519236166,,
34.9995,,0.020005941079985018,,,,
35.25,0.008758227768096575,,,,,
35.4995,,,,,,0.013631579078338032
35.4995,,,,,0.017247548556472654,
35.9995,,,0.02256237437326738,,,
36.0,,,,0.00676840431360496,,
36.45,0.010099049235686618,,,,,
36.5,,0.004048975163702584,,,,0.005287898054302359
36.5,,,,,0.006420590919507419,
37.5,,,,,0.0053149788325540445,
37.5,,,0.0055742776229367325,,,
38.0,,,,,,0.008597500130642187
38.05,0.0075076973084250535,,,,,
38.5,,0.009757578105828717,,0.00604011599160798,,
39.0,,,0.007434860904587197,,,
39.5,,,,,0.010420896470484178,
40.5,,,,,,0.007910695489236327
44.35,0.008749198667304723,,,,,
45.0,,0.005708602942126132,,0.0041358758836342255,,
45.0,,,0.00805879144281135,,,
45.5,,,,,0.00833832533942291,
46.0,,,,,,0.007166657127713314
