value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
1.9575,,0.029567607224790675,,,,
2.0395,,,0.01347699586452209,,,
2.204,,,,0.018236492385294404,,
2.2840000000000003,0.029343473432715282,,,,,
2.3495,,,,,0.027914296758517865,
3.5,,,,,,0.5
3.527,,,,0.019012513337860124,,
3.5869999999999997,0.028333950264158563,,,,,
3.6029999999999998,,,0.013062584716862218,,,
3.62,,0.02624867533858928,,,,
3.7074999999999996,,,,0.017363468813657967,,
3.7474999999999996,0.028199347175017667,,,,,
3.75,,,,,0.04203250685662746,
3.8,,0.037451526126398904,,,,
3.8129999999999997,,,0.01499650340594162,,,
3.828,,,,0.025220680958385876,,
3.868,0.03903489585085978,,,,,
3.908,,,,0.01008827238335435,,
3.92,,0.023756565080178406,,,,
3.948,0.015647609112629135,,,,,
3.95,,,0.015056938364975351,,,
3.95,,,,,0.027288456936698142,
3.98,,0.02199811344924363,,,,
4.04,,,0.009755929101159487,,,
4.05,,,,,0.039556758149722974,
4.068,,,,0.10311378407216995,,
4.088,0.1415014974593667,,,,,
4.1,,0.12413969791897148,,,,
4.1899999999999995,,,0.05954570177937787,,,
4.199999999999999,,,,,0.13878918401531468,
4.2684999999999995,0.10101961840024229,,,,,
4.28,,0.14283052485705303,,,,
4.2885,,,,0.08662333883014842,,
4.35,,,,,0.10498463011025826,
4.37,,,0.0648985124366512,,,
4.409,0.17101322475350808,,,,,
4.42,,0.127155850054151,,,,
4.429,,,,0.09554757978465418,,
4.45,,,,,0.11136267417674453,
4.5,,,0.0775725867025823,,,
4.529,0.08365581990106673,,,0.06557377049180328,,
4.54,,0.1212283541591457,,,,
4.55,,,,,0.09854216135623171,
4.58,,,0.04505857874243484,,,
4.6194999999999995,,0.0738083869991033,,,,
4.6285,0.0792475687317024,,,,,
4.6395,,,0.09744705465910367,,,
4.6485,,,,0.09642060335629062,,
4.6495,,,,,0.1774532000662654,
4.68,,0.06340906708900561,,,,
4.689,0.06578725981761281,,,,,
4.7295,,,,0.06130565525269182,,
4.74,,,0.1321453547100417,,,
4.75,,,,,0.059528411287205256,
4.76,,0.05130952242316964,,,,
4.7695,0.0560621866271831,,,,,
4.81,,,,0.07498302454166263,,
4.84,,,0.054253326081138246,,,
4.85,0.03879934044486321,,,,,
4.85,,,,,0.04421374270620502,
4.859999999999999,,0.05509426931094316,,,,
4.91,,,,0.06945387525463187,,
4.9399999999999995,,,0.1135227537620762,,,
4.99,0.05774472524144429,,,,,
5.0,,,,,0.052460102711358994,
5.0,,0.04354205727195444,,,,
5.029999999999999,,,,0.05567950334659036,,
5.05,,,0.058302468336398246,,,
5.1295,,,0.051749592064026524,,,
5.1395,,0.013101046919216033,,,,
5.1495,,,,,0.0348537559592836,
5.1495,0.013830467409227042,,,,,
5.169499999999999,,,,0.04724027548743816,,
5.2,,0.01008489478403652,0.04236490628264567,,,
5.2305,0.01356126123094525,,,,,
5.25,,,,,0.010712905185266994,
5.2705,,,,0.03492094286545737,,
5.300000000000001,,,0.04440242775864004,,,
5.32,,0.01145904903867429,,,,
5.371,0.012013325705824949,,,,,
5.449999999999999,,,,,0.014109006571318129,
5.4510000000000005,,,,0.041226113105053835,,
5.46,,,0.0456542947671959,,,
5.5794999999999995,,,0.011810717708306353,,,
5.58,,0.012064608540718055,,,,
5.625,,,,,0.0032580484841791373,
5.65,,,0.008754435494314797,,,
5.6715,0.013022848874381668,,,,,
5.7255,,,,,0.003966720047122057,
5.75,,,0.007649339100555139,,,
5.791499999999999,,,,0.036278979532447374,,
5.8195,,0.0026900816340790254,,,,
5.9,,,,,0.002567783974819151,
5.96,,0.0020961675070745654,,,,
5.96,,,0.009609158486363283,,,
5.9915,0.0027257125551031396,,,,,
6.0915,,,,0.009894267145212922,,
6.172499999999999,0.0022209509708247806,,,,,
6.18,,0.0024338833832143565,,,,
6.2,,,,,,0.5
6.2725,,,,0.007954214763798623,,
6.3,,,,,0.0034513225467999336,
6.484999999999999,0.0023555540599656762,,,,,
6.513,,,,0.007857212144727907,,
6.6,,0.0022708481326641126,,,,
6.9335,,,,0.008051217382869338,,
6.981999999999999,0.002422855604536124,,,,,
9.455,0.0024565063768213482,,,,,
10.3,,,,,0.002954332100060743,
11.863500000000002,,,,0.007954214763798623,,
13.06,,,0.00890983967468725,,,
13.44,,0.0022592027576248093,,,,
