value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
0.0995,,,,,,0.009825482607929715
0.1495,,0.01781313618343512,,,,
0.1545,,,,,0.005141777284444404,
0.1745,,,0.007060018482595556,,,
0.21000000000000002,,,,,,0.0028158048769399502
0.2195,0.00463312897175331,,,,,
0.225,,,0.007755197189313397,,,
0.24,,,,,,0.006972739826448676
0.26,0.00472411186696901,,,,,
0.27,,,0.008554444564701573,,,
0.27449999999999997,,,,0.00424287754130686,,
0.275,,,,,0.005430744250474732,
0.275,,,,,,0.006157264549272323
0.29000000000000004,0.004528148708042888,,,,,
0.3,,,,,,0.004833182740337897
0.3,,,0.006031820036132641,,,
0.315,0.004745107919711094,,,,,
0.315,,,,,0.004380372262840683,
0.32,,,0.005777892484577023,,,
0.33999999999999997,,,,,0.003930868093460173,
0.33999999999999997,0.003723300019596316,,,,,
0.35,,0.024014250508946747,,,,
0.355,,,,,,0.02722039426951032
0.36,,,,,0.004673926006109587,
0.37,,,,0.004174882708914122,,
0.375,,,0.03386394478532715,,,
0.395,0.023788527756781724,,,,,
0.405,,,,0.005058815530019719,,
0.41000000000000003,,,,,0.02400719206671009,
0.43,,,,0.0038213095804718843,,
0.44,,,,,,0.030007785373726354
0.445,,,,0.002461412932617121,,
0.45,,0.034842762241508625,,,,
0.45499999999999996,,,0.030750210218710713,,,
0.47,0.021625934324347024,,,,,
0.48,,,,,0.024309919364456145,
0.48,,,,0.022071122594682805,,
0.515,,,,,,0.031292087900847296
0.52,,,0.03358504075329065,,,
0.525,,,,0.015638811450329776,,
0.53,0.021646930377089108,,,,,
0.535,,,,,0.023952150739847168,
0.55,,0.04337431693989071,,,,
0.56,,,,0.024342149996600258,,
0.575,,,0.030175751167650464,,,0.024793858078888
0.5800000000000001,0.019680300103580527,,,,0.02168628278399031,
0.59,,,,0.01302780988644863,,
0.6445,,,,0.07246889236418032,,
0.6495,,0.09093405121611486,0.06944710397708824,,,
0.6545,0.05670333977212284,,,,0.0695814107092075,0.06354740269703531
0.735,,,,0.06762766029781736,,
0.75,,0.04711775420550734,,,,
0.755,,,0.06506789439944052,,,
0.7649999999999999,,,,,0.06709537744589897,
0.77,0.05379888580946782,,,,,0.06365821641065858
0.825,,,,0.061508125382470934,,
0.865,,,0.06023910817313696,,,
0.8799999999999999,,,,,0.06830628663688319,
0.885,,,,,,0.058055020429502585
0.895,0.05829903978052126,,,,,
0.9,,0.09364620165005894,,,,
0.95,,,,0.06810362412456654,,
0.99,,,0.0664540890661294,,,
1.005,,,,,0.06950343549615169,0.06353319581067335
1.02,0.05352593712382072,,,,,
1.05,,0.04329395692703311,,,,
1.115,,,,0.06330318895763921,,
1.13,,,0.0630114975065147,,,
1.135,,,,,0.06333422011026613,0.05932511607026158
1.1400000000000001,0.05309201870048431,,,,,
1.15,,0.041204596592735454,,,,
1.2995,,0.11320716811314689,,,,
1.3295,,,,,0.11167426542762524,
1.3345,,,0.10489289252620448,,,0.11014598996425548
1.3645,0.125493407239439,,,,,
1.3745,,,,0.11676072618480995,,
1.6,,0.11653541197899925,,,,
1.63,,,,,0.10810575273601263,
1.655,,,,,,0.11043296906876701
1.6600000000000001,,,0.10173753049211992,,,
1.755,0.12075529800397525,,,,,
1.775,,,,0.11330658869925886,,
2.055,,,,,0.1079360419781853,
2.1,,0.11133210114646952,,,,
2.11,,,,,,0.10870825306442539
2.13,,,0.10135039504466627,,,
2.315,0.12316984406931497,,,,,
2.34,,,,0.1130890052356021,,
2.765,,,,,0.10819290150354557,
2.8899999999999997,,,,,,0.10851219803263037
2.9050000000000002,,,0.10124216362924912,,,
2.95,,0.11081645773063324,,,,
3.27,0.12286890064667842,,,,,
3.2800000000000002,,,,0.11466648534711361,,
3.3645,,,,,0.021810125769431882,
3.5595,,,0.020946941629965115,,,
3.5695,,,,,,0.022202522006466975
3.6494999999999997,,0.025514304082288653,,,,
3.705,,,,,0.022011943967929253,
3.9299999999999997,,,0.020409947299626186,,,
3.97,,,,,,0.02190417739286587
4.0,,0.020491803278688523,,,,
4.0695,,,,0.02317263887944516,,
4.0945,0.025797150135774473,,,,,
4.175,,,,,0.02144777036758433,
4.445,,,0.020505690474802895,,,
4.5,,0.021556573449051753,,,,
4.515,,,,0.022832664717481473,,
4.545,,,,,,0.022225253024646105
4.55,0.023844517230760618,,,,,
4.965,,,,,0.021810125769431882,
5.119999999999999,,,,0.02261508125382471,,
5.18,0.0243204277595812,,,,,
5.279999999999999,,,0.020572294422751908,,,
5.35,,0.022179363548698167,,,,
5.484999999999999,,,,,,0.021841667092873256
6.09,,,,0.02290065954987421,,
6.22,0.024642367234959828,,,,,
12.39,,,,,0.02167710922951316,
12.715,,,0.020568131676005096,,,
12.8,,0.0221257902067931,,,,
12.850000000000001,,,,,,0.021989418711037614
13.145,,,,0.022805466784524376,,
13.44,0.0245933764452283,,,,,
