value,emory_probability,jhu_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,upenn_probability
0.83,,,,,,0.0001389854065323141,
0.854,,,,,,0.0002184056388364936,
0.86,,,,,,0.0005360865680532115,
0.87,,,,,0.0004298386151381345,,
0.88,,,,,0.0007424485170567778,0.0010523180780303782,
0.89,,,,,0.001055058418975421,0.0014295641814752308,
0.9,0.010296010296010296,0.003586164739442718,0.0062067668387285535,0.016850042317457875,0.0016412019850728771,0.0019457956914523975,0.012061598140106763
0.99,,,,,0.035129537728107535,,
1,0.06770745901180684,0.05943660536905914,0.04438778708908905,0.09960540344475098,,,0.09320247119892978
1.01,,,,,,0.02563287997617393,
1.03,0.07201611549437636,,,,0.07225196358094643,,
1.04,,0.090255208598645,,,,,
1.05,,,,,,0.05384691750223369,
1.06,,,,,0.11003868547536243,,
1.07,,,,,,0.07288791819716073,
1.08,,0.1286027201874586,,,0.1354382400062522,,
1.09,,,,,,0.09498659783579867,
1.1,0.16397142484099006,0.19884875961489482,0.1301435706672797,0.20980665867947548,0.16521433316400297,0.1092028194182468,0.22230832839064685
1.2,0.3423609945349076,0.40825225408792215,0.32864516937995025,0.43685905538640785,,,0.5041929855702417
1.21,,,,,,0.30143949171051326,
1.23,,,,,0.34062756437810165,,
1.3,,,,0.5341122676661647,,,0.6123317502305384
1.31,,0.5225918190616882,,,,0.4701876302988186,
1.4,0.5016507190420234,,0.5085264675764352,,,,0.6940960511903577
1.41,,,,,0.49978508069243094,,
1.45,,,,,,0.6516430060557927,
1.57,,0.6794050226682288,,,,,
1.6,,,,0.7109113092032228,,,
1.7,,,0.663591147520428,,,,
1.71,,,,,0.6671095306943847,,
1.77,,,,,,0.8202323041794898,
1.8,0.6840132057523362,,,,,,0.8439698503340102
1.9,,,,,,0.85662662563288,0.8862200787077725
2.05,,0.8387652182772146,,,,,
2.1,,,,0.8402158739928994,,0.8921671795890003,0.913105406938233
2.2,,,,0.8733114235153168,,,
2.21,,0.8719066782130304,,,,,
2.27,,,,,0.8323238638583877,,
2.3,,,0.8194081628388121,,,,
2.4,,,,,,,0.9383715543702729
2.46,,,,,0.8661638857410808,0.9285019358681624,
2.47,,0.9034588151393205,,,,,
2.5,0.8344244865983996,,0.8694489143382583,0.9085613163477286,,,
2.7,0.8719340458470893,,0.8939625086205095,,,,
2.73,,,,,0.8996131452463757,,
2.85,,0.9359074932504712,,,,,
2.9,,,,0.9366337286626584,,,
3,0.9020386846473804,,,,,,
3.1,,,,,,,0.9693654456427152
3.14,,,,,0.9333359384158493,,
3.2,,,0.933575055902698,,,,
3.23,,,,,,0.9642608954631192,
3.5,0.9357058922276313,,,,,,
3.63,,0.9678467729611329,,,,,
3.8,,,,0.9683223601050792,,,
3.89,,,,,0.9665116642569653,,
4,,,0.9656851476458173,,,,
4.47,0.9669483147744017,,,,,,
11,1.0,,,,,,
13,,,,,,1.0,
13.03,,,,,1.0,,
14.1,,,,,,,1.0
14.25,,1.0,,,,,
14.8,,,,1.0,,,
15,,,1.0,,,,
