value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.5,0.003153866143778497,0.0029493765071851833,0.007355349751347488,0.002517458024123815,0.003398212684732626,0.007856439960637797,0.047719196689103204
0.8,,,,,,,0.23146390150365176
0.9,,,,,,0.08931700175209811,
1,0.10123083465236599,0.08908192812127406,0.1364104702063667,0.08544033624482826,0.1080920843335165,,0.35236952175410835
1.2,,,0.21594353950150383,,,0.18238621362796317,0.45722717112434896
1.23,0.1927992629166765,,,,,,
1.3,,0.19420165129225722,,0.1886561152339047,0.22493275877028082,,
1.4,,,0.29223072570798964,,,0.24486171225588632,
1.46,0.288501972642869,,,,,,
1.5,,0.26607141256308886,,0.2573936647621549,0.3034097810683402,,0.5774406616759921
1.7,0.3844173025585296,,0.3901432357583157,,0.3754663504641814,0.3263142735993216,
1.8,,0.3685017346636904,,0.3507147391694578,,,
2,0.47432020600533914,0.4291925521519691,0.46930109287990235,0.4039753945841816,0.4649477976689707,0.3958621682814238,0.696713485046066
2.3,,,,,,,0.7579166266856897
2.4,,0.5574142305175304,0.5767249337422947,,0.5825259565607196,,
2.5,0.585237071511257,,,0.5305269149099188,,,
2.6,,,,,,0.5193410831006536,
3,,,,,,,0.8183584256566188
3.1,,0.6689078342253181,,,0.6858316221765913,,
3.2,,,0.6848515529614961,,,,
3.4,0.6862434737414066,,,0.646614566231037,,,
3.9,,,,,,0.6426119862712312,
4.4,,0.7741351334391164,,,0.7853052607224456,,
4.5,,,,,,,0.8784714630206113
4.8,,,0.7902921294779787,,,,
5.2,,,,0.7635997460651036,,,
5.3,0.7904155543480829,,,,,,
5.8,,,,,,0.760626595089325,
7.7,,0.8856914898385463,,,,,
8.2,,,,,0.891864534227955,,
8.3,,,,,,,0.9386898928614686
8.6,,,0.8929275483160121,,,,
8.8,,0.9089189504164089,,,,,
9.2,,,,0.87949037893216,,,
9.5,,,,,,,0.9509893522137925
9.6,,,,,0.9141770541111143,,
9.68,0.8948593163079686,,,,,,
9.8,,,,,,0.8785772003232181,
9.9,,,0.9150888895506387,,,,
10.3,,0.9324512097822482,,,,,
10.4,,,,0.9041395766292332,,,
11,0.9165465756337263,,,,,,
11.1,,,,,,0.9042186362436296,
11.2,,,,,,,0.9637371228483025
11.4,,,,,0.9353471961130231,,
11.6,,,0.9359101873082993,,,,
11.8,,,,0.9278474639346774,,,
12.1,,0.9543698285058584,,,,,
12.63,0.9369463015899265,,,,,,
12.8,,,,,,0.9282279807669229,
13.3,,,,,,,0.9759028753269919
13.9,,,0.9574461749203419,0.9529125894792145,,,
14,,,,,0.9571969806518784,,
14.6,0.9580075125800279,,,,,,
15,,0.9785206501178854,,,,0.9553174977798756,
16.3,,,,,,,0.9878043601024982
17,,,,0.9811300102887415,,,
17.1,,,0.9789047377981597,,,,
17.7,0.9790923480356257,,,,,,
18,,,,,0.9813025999942158,,
19,,,,,,0.9790388261742657,
29.5,,,1.0,,,,
29.6,,1.0,,,,,
30,1.0,,,1.0,1.0,1.0,1.0
