value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,upenn_probability
24,,0.016094910192060396,0.015488030189865954,0.015461465271170314,,
26,,,0.02857816738079327,0.028306374881065653,,0.015177173240103427
27,,0.037001700750819266,,,0.020531341216049076,
28,0.022179840361658543,0.0476210229393952,0.045756515586304496,0.044124643196955284,,
29,,0.05911146140125275,0.05637014033570502,0.0541151284490961,0.037055360411616285,0.03375031865690666
30,0.04428904428904429,0.07338117559215165,0.0693423483627501,0.06446241674595624,0.04848364913669421,0.043696966386248585
31,0.05898142261778625,,,,,
32,0.08045489863671682,,,,0.07980012863008955,0.0687069813176008
33,,,0.11647470419434726,,,
34,,0.15273571991537727,,0.13154138915318744,,
35,0.16345270890725436,,,,0.15371295700786622,0.12499544775847628
36,,0.20562492222176132,0.18271158457486536,0.18042340627973358,,
37,0.24178851451578726,,,,0.212388067085539,0.17894861429768016
38,,,0.23247769173316563,,,
38.7,,,,0.23917697431018078,,
39,0.34046761319488594,0.3003277056456631,,,0.28031464898827485,0.24621708729378347
40,0.3900543900543901,0.33471605757663747,0.283855497464523,0.2976926736441484,0.31850789096126253,0.28571233475363267
41,0.49523204068658616,,,,,
42,,0.4352262828224167,0.3631432053146743,0.3946241674595623,0.43204868154158216,0.4032648676208165
43,0.5946881401426856,,,,,
44,,0.5003111129547434,0.4143244624395613,0.4613463368220742,0.5036362736852521,0.4805300630030227
45,0.6852440488804126,,,,,
46,,0.5594640560832953,,,0.5727996833720873,0.5541489129247241
46.6,,,,0.5346098953377736,,
47,,,0.4924721883721844,,,
48,0.7890796072614255,,,,,
49,,0.6352926535860953,,0.6203615604186489,0.6554197793499233,0.648830984376707
50,,,0.5629152089311686,,,
52,0.8740552376916013,0.7000871116273282,0.6069420967805338,0.6908896289248335,0.7252263394844902,0.7286909574274373
53,0.9031574486119941,,,,,
54,,,,,0.7814277939939642,0.7948896536654648
55,0.924136469591015,0.7726386526734973,0.6872518573843311,0.7608230256898192,,
57,,,,,,0.8424605775884045
58,,,,,0.8358976896056993,
59,0.9527442254714982,0.8264819347077612,,0.82290675547098,,
60,,,0.7700774401509494,,,
62,,,,,,0.898598820058997
64,,,,0.8821360608943863,0.8902686389947064,
65,0.9742883379247016,0.8837682001078525,,,,
66,,,0.8432328314792248,,,
67,0.9816345270890725,,,,,
70,0.984954439499894,,,,,0.9449725044611967
70.54,,,,0.9381541389153187,,
72,,,,,,0.9564213918933683
73,,,,0.9544481446241675,,
74,,,,,0.9450848463859892,
75,0.9903934449388995,0.9403907578711578,,0.9643196955280685,,
76,,,0.918275089429616,,,0.9681434138169634
77,,,,,0.9592341562360857,
78,,0.9550752893350479,,,,
79,,,0.9387161445025355,0.9762131303520457,,
80,,,,,0.9676445851679613,
81,,0.964782013523043,,,,0.9780536436141156
82,,,0.951413184480522,,,
84,0.9952673589037225,,,,,
85,,,,,0.9796170781180429,
86,,0.9767287509851911,,0.9889391056137012,,
88,,,0.9691811785054444,,,
91,,,,,,0.9896527550165701
93,,,,,0.9898580121703854,
94,,0.9880947442651512,,,,
96.4,,,0.9836471559416644,,,
150,,,1.0,,,
191,,,,,1.0,
192,1.0,,,,,
200,,,,,,1.0
217,,,,1.0,,
243,,1.0,,,,
