value,emory_probability,mimic_probability,nu_probability,rush_probability,upenn_probability
6.7844999999999995,,0.01464188242236483,,,
6.794499999999999,,,,,0.011122498997370884
6.804499999999999,0.010449946751863684,,,,
6.8765,,,,0.00919793966151582,
6.9045000000000005,,,0.016041425260718424,,
7.055,0.010050585729499467,,,,
7.071,,,,0.009075300466028943,
7.075,,0.01685476137788596,,,
7.105,,,0.014194669756662804,,
7.109999999999999,0.011182108626198083,,,,
7.12,,,,,0.013809545029187648
7.125,,0.01246588478276905,,,
7.128,,,,0.009075300466028943,
7.140000000000001,0.007388178913738019,,,,
7.145,,,0.015679316338354576,,
7.154999999999999,,0.01928892822895921,,,
7.16,,,,,0.008836504612093935
7.16,0.009185303514376996,,,,
7.162,,,,0.009565857247976454,
7.17,,,0.01615005793742758,,
7.175,,0.00866710924245777,,,
7.18,,,,,0.012610846218974198
7.185,,,,0.00870738287956831,
7.1850000000000005,,,0.009523464658169178,,
7.195,,,,,0.008849873000311929
7.2,0.046991480298189565,,,,
7.21,,0.0798849302943129,,,
7.215,,,0.07785341830822712,,
7.217499999999999,,,,0.04525386313465784,
7.225,,,,,0.06247939040149726
7.25,0.05318157614483493,,,,
7.255,,0.06918934867596076,0.0733994785631518,,
7.2565,,,,0.045499141525631594,
7.265000000000001,,,,,0.06661913461966935
7.279999999999999,0.0362087326943557,0.05960020653536918,0.05837195828505214,,
7.2825,,,,0.045376502330144716,
7.29,,,,,0.05906599527650283
7.3,0.04459531416400426,0.0691524673600354,0.06742468134414832,,
7.302,,,,0.04525386313465784,
7.305,,,,,0.030872064524753797
7.3195,,0.1090580511912665,0.11102259559675551,,0.10451405908827592
7.3225,,,,0.10694137846455727,
7.3245,0.1126863684771033,,,,
7.34,,0.08257726635686362,0.07988122827346465,,0.08406933737355733
7.346,,,,0.1008094186902134,
7.35,0.0777422790202343,,,,
7.359999999999999,,0.08324113004351995,0.08585602549246814,,0.08677866405240409
7.3645,,,,0.10154525386313466,
7.37,0.09351703940362087,,,,
7.38,,0.07999557424208896,0.08194524913093859,,0.09011184884809055
7.382,,,,0.10056414029923964,
7.390000000000001,0.10449946751863685,,,,
7.4,,0.07022202552187062,0.07028534183082272,,0.08755848669845372
7.4005,,,,0.10191317144959529,
7.405,0.05151757188498403,,,,
7.4145,0.10030617678381257,0.06373091391900863,0.06528823870220163,0.05359332842776551,0.08141348424758255
7.425,0.0448615548455804,0.02743969904846205,0.02809965237543453,,0.03359475959181855
7.427,,,,0.05224429727740986,
7.4399999999999995,0.07268370607028754,0.04510584937670576,0.04417728852838934,,0.058736241700458984
7.443,,,,0.05273485405935737,
7.46,0.04812300319488818,0.033008777753190235,0.030779258400927,,0.03979769172496769
7.464,,,,0.050159430954132944,
7.4745,0.03634185303514377,0.025337464040716972,0.024369930475086905,,0.030047680584644177
7.478999999999999,,,,0.011160166789305863,
7.485,0.009850905218317359,,0.008400926998841252,,0.008965732364867876
7.4879999999999995,,,,0.010301692420897719,
7.49,,0.01430995057903666,,,
7.4995,,,,0.010424331616384596,
7.5,0.009451544195953142,,,,0.011069025444498908
7.505,,,0.013108342989571264,,
7.51,,0.007634432396547909,,,
7.5169999999999995,,,,0.010424331616384596,
7.6,,,0.008147450753186559,,
7.63,,0.008593346610607067,,,
7.65,0.009185303514376996,,,,
7.6585,,,,0.010179053225410841,
7.725,,,,,0.009077135600017824
