value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
0.6,,,,,,,0.12642345473441882
0.65,,,,,0.12936693752008446,,
0.66,,,0.11063406105053547,,,,
0.7,,0.20754012193332355,0.21444911241166614,0.16507803408857555,0.43933342514805124,0.1134706221900635,0.23755070795570107
0.75,,,,0.21330173180915873,0.5581875774686682,,
0.76,,,0.3106680589620923,,,,
0.8,0.23961761655126013,0.4789418215291026,0.4736929017217514,0.3980850845369293,0.8849561584722031,0.31083487126120923,0.4021378362370506
0.82,,,0.533106680589621,,,,
0.85,,0.5381942128363505,,0.4265264562940653,0.9151632006610659,,
0.9,0.5934176221580556,0.8224896276631225,0.8122441050049782,0.7004329522896845,,0.5797107340590727,0.8816227663355051
0.94,0.6018670628802109,,,,,,
1,0.9112276078607272,0.9574567430195173,0.9508390198887783,0.9166951878978712,,0.9175670658504131,0.9464898360582457
39,,,,,,,1.0
45,,,,,1.0,,
45.7,1.0,,,,,,
47,,1.0,,,,,
50,,,1.0,1.0,,1.0,
