value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
3.4995,,0.1763224871764752,,,,
3.7994999999999997,,,,,0.10204339657469991,
3.8994999999999997,,,0.10447229518758983,,,
4.1995000000000005,0.10077079140894743,,,,,
4.4995,,,,,,0.1501693967100656
4.5495,,,,0.10217044952161691,,
7.2,,0.027902423744077684,,,,
7.7,,0.09810877481498884,,,,
8.05,,,,,0.09839709307177048,
8.2,,,0.09868600386578778,,,
8.5,,,,,,0.09989302963199782
8.5,,0.10553271467167862,,,,
8.75,0.10546220735235415,,,,,
8.9,,,,,0.10040989306367883,
9.0,,,0.10313104029340338,,,
9.5,0.09454849236821854,,,,,
9.5,,0.10716942715063237,,,,
9.5,,,,,,0.10007949983632386
9.649999999999999,,,,0.09787459439620297,,
9.65,,,,,0.10390953526066518,
9.7,,,0.11881102245130594,,,
9.95,0.10700132100396301,,,,,
10.5,,,,,,0.10002361759843435
10.5,0.13618686650452475,,0.09299573772116766,,,
10.6,,,,0.14620504992367558,,
11.0,,0.14167743451192294,,,,
11.0,,,,,0.168918423441534,
11.5,,,,,,0.08888364053368125
11.5,,,,0.14989197801189494,,
11.5,0.11390675605048622,,,,,
12.0,,,0.14444045199980177,,,
12.08,,,,0.003945513542370478,,
12.5,,,,,0.06955791730830987,0.08119718577049989
12.5,0.07907916558640642,0.05838129918947492,,,,
12.58,,,,0.10872684200428752,,
13.5,,,0.05935285225752094,,0.06143085804449906,
13.5,0.06537529269908682,,,,,
13.91,,,,0.09125147018342884,,
14.0,,,,,,0.1354635446338787
14.0,,0.10060691491444458,,,,
15.0,,,0.0950494374783169,,0.09569397348464734,
15.41,,,,0.11685143014439078,,
15.5,,,,,,0.05260342111060359
15.5,0.11629773207076631,,,,,
16.5,,0.09580249814009946,,,,
17.134999999999998,,,,0.08309351617827382,,
17.5,,,0.09482021608762452,,,0.10663507457484646
18.0,,,,,0.12309687990714822,
29.5,,,,,,0.08505158959966846
32.135,,,,0.09998915609385818,,
33.0,,0.08849602568620542,,,,
33.5,0.08137137495524636,,,,,
34.5,,,0.0882409426574813,,,
35.0,,,,,0.07654202984304712,
