value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
5.4995,,0.10561472052429265,,,,
6.4995,,,,,0.1226891602827547,
6.9995,,,0.11207554259946707,,,
7.4495,,,,0.10399558286079877,,
7.4995,0.11857472912683238,,,,,
7.5495,,,,,,0.10045837247901568
12.5,,0.10396842901254018,,,,
14.5,,,,,0.09152223836454328,
15.0,,0.09359836788707543,,,,
15.5,,,0.10590938076476349,,,
16.0,0.09678138942001274,,,,,
16.3,,,,,,0.10030974512409384
16.5,,,,0.14352196737977757,,
17.5,,0.1324910202281177,,,,
17.5,,,,,0.10630059450262151,
18.0,0.11821223709369025,,,,,
18.45,,,0.08202760254162017,,,
18.5,,,,0.05415815812306641,,
18.75,,,,,,0.12052935347386431
20.0,0.12819072657743785,,,0.13077887135082075,0.0858259053297467,
20.0,,0.09817096225345012,,,,
20.45,,,0.10325901295861896,,,
21.0,,,,,,0.09322336433452244
21.5,0.06172721478648821,,,,,
22.0,,,,0.10605516165502493,,
22.0,,0.0841380994391581,,,,
22.5,,,0.13625338768817327,,0.12479833029287557,
23.0,0.11140455704270236,,,,,
23.0,,,,,,0.08869623226797055
24.0,,,,0.10082733718372319,,
24.5,,0.11956487491335308,,,,
25.0,,,0.08818522398597098,,0.08913919105460075,
25.0,0.0946542383683875,,,,,
25.45,,,,,,0.09741122588128161
26.0,,,,0.08202820308323328,,
27.0,,,0.0787509394429388,,,
27.0,0.0775374442319949,0.0670095784233411,,,,
27.5,,,,,0.10793913627914078,
28.1,,,,,,0.09989330270847631
28.5,,,,0.10499469768012551,,
29.5,,,0.10024140836730511,,,
30.0,0.09821940726577438,0.09756443380175184,,,,
30.5,,,,,0.09525578408395126,
30.950000000000003,,,,,,0.1000042015809949
31.5,,,,0.09343038185467262,,
33.0,,,0.09408948051652281,,,
34.0,,,,,0.08058760846878979,
35.05,,,,,,0.10001048966139545
55.0,,0.09787951351691979,,,,
63.5,,,,0.08020963882875698,,
65.5,0.09469805608667942,,,,,
67.5,,,0.09920802113461932,,,
68.0,,,,,0.09594205134097566,
68.75,,,,,,0.09946371248838491
