value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
14,0.11368684625015145,,0.10081957588709109,,0.12071081439300967,,0.10976656130464386
15,,0.14072450151372795,,,,0.13897994430932994,
16,0.2519418978770378,,0.21108423549303712,0.10538313168507803,0.22892837857738943,,0.20626968618355135
16.5,,0.20032457364120376,,,,,
17,0.3282042997724917,,,,,0.23495823199746219,
18,0.4147651548806591,0.33058110070324287,0.3351337388159594,0.22353731953942368,0.35336998674586423,,0.322094102494552
19,,,,,0.41421628786019343,0.3458602093687216,
20,0.5687977060700294,0.46749992882156993,0.45820632646830894,0.3599859722952832,,0.4083324521518452,0.44051658759901907
21,0.6349097370865474,0.5259421651529387,0.5125942277434657,0.42132795604652523,0.5488930342153061,,
22,,,,,0.6092729861077021,0.5148355715343133,0.5575016468582373
23,0.7405059031003056,0.647363076426653,0.6114083084799098,0.5350108130223858,,,0.6099003397048757
24,,0.7048752479381981,,,0.7180550782975799,0.6101512107433648,
25,0.8220454208903787,,0.7010074442852782,0.6438131977321877,,,0.7112121061148723
26,,,,,0.8074223160375043,0.702985442881816,
26.2,,0.8001974015127788,,,,,
27,,,,0.7422409258285113,,,
28,0.9072062248428308,,0.8104689664889745,,,,0.8326496795776662
29,,,,0.8395289029165937,0.9119827205340926,0.8068450177998661,
30,,0.9208400952841918,,,,,
31,,,,0.9132328014495295,,,0.913475821168725
32,,,0.9106122161425921,,,,
33,,,,,,0.9082443340030313,
60,,,,,,,1.0
63,,1.0,,,,,
71,,,,1.0,,,
84,,,,,1.0,,
93,,,1.0,,,,
99,,,,,,1.0,
100,1.0,,,,,,
