value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
5.9995,0.1253569248340915,,0.14724399244237996,0.12995399295482027,0.22195286142110635,
6.9995,,0.17133655798100297,,,,0.1275585844563905
13.0,0.10209527185364604,,0.1359416671782384,0.08291001111805729,0.12246199281806894,
14.5,,0.04323826470514523,,,,
15.0,,,,,,0.1033628795356501
15.0,0.26353852818967727,,0.17391734364661987,0.28306124664492965,0.19899950449018752,
15.5,,0.11806721636049222,,,,
16.5,,,,0.005727484062246147,,
17.0,,,,,,0.09072578266631537
17.0,0.14297178078415154,0.10626300092729506,0.11669974830669749,,0.10886212390114283,
18.5,,,,0.1568694245937417,,
19.0,,,,,,0.12053808432071918
19.0,0.13305665504814793,0.12966467005839452,0.1280839250513277,,0.10672412737958223,
21.0,0.058028593371536596,0.07848174231222275,,0.04476796202640632,0.051013820972896994,
21.0,,,,,,0.07930776158023682
22.0,,,0.1272517683330264,,,
23.0,,,,,,0.09239349144615158
23.0,,0.08702162853061327,,,,
24.0,0.10328173923317777,,,0.1213814841296283,0.10139196800309545,
25.0,,,,,,0.08629811252987063
25.0,,0.07477882759830581,,,,
26.0,,,0.09053455837715799,,,
28.0,,,,0.09941489819677839,,0.1418253759144707
28.0,,0.11484674569559661,,,,
32.0,,,,,,0.07660547692735226
55.5,,0.07630134583093155,,,,
99.5,,,,0.0759134962733919,,
113.0,0.07167050668557137,,,,0.08859360101391968,
114.0,,,0.08032699666455217,,,
117.0,,,,,,0.08138445062284286
