value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
15.9995,,0.015319655935764285,,0.008734743058930107,,
16.4995,0.011186905223805001,,,,0.013518698544824863,0.01354707686068544
18.4995,,,0.011001032347716393,,,
33.5,,0.011509992484232782,,,,
34.0,,,,0.007234060330743877,,
34.5,,,,,,0.010016187626160527
35.0,,,,,0.014717015523893429,
35.5,0.01267882024035013,,,,,
36.0,,0.01216775028376379,,,,
37.5,,,,0.009524113167968725,,0.01754978067385725
38.0,,,,,0.012800376705046025,
38.0,,0.017167837437953908,,,,
39.0,0.00940556306276173,,,,,
39.5,,,0.014741958241247424,,,
39.5,,,,,0.008378649330133365,0.008369687286544211
39.5,,0.011016289630804598,,,,
40.0,,,,0.00980006288575242,,
40.5,,0.012626078789438553,,,,
40.5,,,,,0.01001154418689431,0.009763951972473248
41.0,0.013844174063669057,,,,,
41.5,,,,,0.011814715800346326,0.011446661655657888
41.5,,0.014766483164373827,,,,
41.5,,,,0.006163243497591212,,
42.5,,,,0.0069724028294190984,,
42.5,,0.016713610305931714,,,,
42.5,0.008722405783955743,,,,,
42.5,,,,,0.013525533918643862,0.013318206481527154
43.0,,,0.010738223064306968,,,
43.5,,,,,0.015707537138864417,0.015120475318003436
43.5,,0.018555639747642478,,,,
43.5,,,,0.008223521470207325,,
43.5,0.01066812071951588,,,,,
44.5,0.012005765607153983,,,,,
44.5,,,,,0.01770301060242428,0.01720941284431499
44.5,,,,0.009738496414852471,,
44.5,,,0.006424865700349783,,,
45.5,,,,0.011233682136708348,,
45.5,0.014314083606764623,,,,,
46.0,,,0.01750227699605704,,,
46.5,,0.12233782399570176,,,,
46.5,0.015422917223563629,,,,,
47.5,,,0.00966152628133898,,,
47.5,,,,,0.12088328219461068,0.1151219373556494
48.5,,,,0.07653152093369951,,
48.5,,,0.013200006898743689,,,
49.5,,,0.023970670483971508,,,
49.5,0.12102587178322889,,,,,
51.0,,0.1213986094292631,,,,
51.5,,,0.09836089135053584,,,
51.5,,,,,,0.0863044921584909
52.0,,,,,0.1286371783576875,
53.0,,,,0.08566204844841499,,
53.5,0.10260929492544112,,,,,
54.5,,0.09351234462202253,,,,
54.5,,,0.12334050309909635,,,
55.0,,,,,,0.12029782390043496
55.5,,,,,0.10143633988516572,
56.5,0.11084240500850943,,,0.07282104166071157,,
57.0,,,0.08479787912908289,,,
58.0,,0.11599248628346849,,,,
58.5,,,,,0.09396466871221558,0.08666508256481849
59.0,,,0.07598514470525529,,,
59.0,0.0680445947159887,,,0.05093086305198189,,
60.9995,0.08917468757568452,0.07928467942125517,0.0930964928922408,,0.08409454081477656,0.08140202031740428
61.4995,,,,0.10292154892445574,,
63.5,0.08122445156969174,0.06789567745977322,0.08527381031575715,,0.07275450375186074,0.07226373847398522
65.0,,,,0.10020822659979375,,
