value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
11.1,,,,,0.0011779662898042005,,
21,,,,0.001951047016721588,,,
25,,,,,,,0.001057107713678823
26,,,,,,0.0011610966447515524,
29,,0.002255366124970713,0.002826035404080058,,,,
36,,,,,,,0.0021019488344964942
37,0.003283745159644945,,,,,,
39,,0.0034205154941647545,,,,,
40,,,0.004222342635904657,0.003131408899903957,0.0024967680554524377,0.0024751727142002006,
41,,,,,,,0.003290899705519994
42,0.004264945114976353,,,,,,
43,,0.004775107174744966,,0.003939673404463074,,0.003643001599551719,
44,,,0.006190491988189629,,0.0040015644984381805,,0.004659760605173722
45,0.0054779388462826975,0.005935507293792836,,0.004864988408920233,,0.004980139174034292,0.005248102744254896
46,,0.006782984597654081,0.00790012053655354,,0.005504830121034314,0.00590961809431468,
47,0.006870814205819593,,0.009015790165642535,0.006304709557666161,0.006489147631552963,,0.006726363479499934
48,0.007844770605651785,0.008675296933673029,0.01041529204618479,0.007206614462143712,0.007638793744149396,0.008169215870154272,0.0077128701364890155
49,0.00897627433759194,0.009824087774585813,0.011964942416456865,0.008229266198095034,0.008897893514602878,0.00973166864599315,0.008855026227338492
50,0.010565329325232624,0.011271553680246708,0.014030897167943911,0.009706566717860859,0.011773539616483569,0.01155324106534986,0.010372630923390039
54,0.01918666944336294,,0.025823328553647367,,,,
55,,0.023688732034642085,,0.019996537769424068,0.02550117146030315,0.02541707304810501,0.021769931237114966
57,0.028894542886375777,0.03170916014260415,0.03886437610353611,0.026900669097620733,0.034181688479581536,,0.029112804587451312
58,,,,,,0.03899714825152969,
59,0.038148185036625225,,,0.03552975516115698,0.04520436069496184,,0.038738718028375085
60,0.04668652608132702,0.051906665625349596,0.06395047803003215,0.04391365123016995,0.05602037215774492,0.05771277711943468,0.04767188699542165
71,,,0.20316810855907827,,,0.1900818053176393,
72,0.17871058675817691,0.1939103003847948,,0.17226445281047492,0.20231016104995908,,0.18156438312076842
79,,,0.33212723057131377,,0.32088368137810575,,
80,0.3159593636536494,0.3332696582017439,,0.29802535806672004,,0.3435396488148177,0.31756518853616933
85,,,0.44698615611265313,,,,
86,,0.44720627998623774,,,0.46107315101772767,0.4488108356415131,
87,0.4417880716749817,,,0.42478920129051256,,,0.45348912330297364
93,0.5556317134932348,0.5819926376068845,0.5896635912029204,0.5368046815271517,0.596357872129042,0.5840866161481242,0.5765838374827279
100,0.6756951549668154,0.7021111999983114,0.6998730741490254,0.6576081900850834,0.7138108319319948,0.6953209925156105,0.6998620962371455
103,0.7443480649143298,0.7632171631567949,0.7611046603781235,,0.7735648750199964,0.7563752527992155,0.7644728758827063
104,,,,0.7361490755166702,,,
108,0.8073419471280812,0.8279964074561117,0.820501289532242,,0.8370740205237089,0.819470384658742,0.828558554490159
109,,,,0.8022992414511552,,,
113,,0.8787996639641674,,,0.8860939510397715,,0.8795056217795083
114,0.8713629051486589,,0.8788495824225513,,,0.8809065205474429,
115,,,,0.8647185767152057,,,
121,,,,,0.9393136872947265,,0.9357165112247048
122,,0.9391774087669047,,,0.9489479054167315,,0.946315392638645
123,0.9346459259527539,0.9488152203968685,0.9366513446399324,,0.9534584676947147,0.937726344732831,0.9509483484668259
124,0.9456156871266927,0.9530278052765224,0.9468014808425518,0.9274354666711022,0.9575319807514644,0.9479988844534086,0.9555101580564119
125,0.9504432150521084,,0.9511587359512251,0.9374654624018393,,0.9526553031219978,
126,0.9549879424982419,0.9605701422031032,0.9557863074898539,0.9423544769660017,0.964798019730744,0.9570452969498223,0.9631409783162075
127,,0.963881424943906,,,,,
128,0.962838749400143,,0.9634913087124214,0.9508812978559429,0.9710039655902193,0.9630132133829494,0.9695101567843208
129,,0.969883949434206,,,,,
130,0.9693135825720055,,0.9698781487256424,0.9580447884497031,0.9761972737619682,0.9698491591359871,0.9749126368713246
132,,0.9770811741834984,,0.9643131507468746,,,
133,0.9761198084079571,,0.9767444317887207,,0.9824101083131966,0.9765958668912847,0.9813953040393163
135,0.980582744039912,0.9825158994341004,,0.971998440148075,,,
136,,,0.9821637847249101,,,0.9820100207252743,
137,,,,,0.9883856657040357,,0.9874369190462116
138,,,,0.9783696836741043,,,
140,0.9872477205436289,0.9887548310427876,0.9875821546922632,,,0.9878806777676062,
143,,,,0.986427070453928,,,
144,,,,,0.9945234900561735,,0.9936509932623694
147,0.9935936787905677,0.994021221760431,,,,0.9939621828559626,
148,,,0.9940449290480807,,,,
150,,,,0.9929523277956126,,,
253,,,,,1.0,,
290,,,,1.0,,,
300,1.0,1.0,1.0,,,1.0,1.0
