value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
106.6895,,,,0.003085824493731919,,
108.99849999999999,,,0.0016251188176494035,,,
109.19899999999998,0.0011195634880884337,,,,,
109.4995,,,,,0.0033987915407854984,
111.78,,,,,,0.0020686362913064234
131.5,,,,,0.002926737160120846,
134.63,,,,0.002700096432015429,,
137.5,,,,,0.00368202416918429,
138.43,,,,0.003085824493731919,,
139.55,0.0011313483669104173,,,,,
139.6745,,,,,,0.0017636450432291942
139.9995,,,0.0019624076288596573,,,
140.8505,,,,0.0028929604628736743,,
141.0,,,,,0.00368202416918429,
141.5005,,,0.0019930702480605894,,,
142.10000000000002,,,0.0015024683408456751,,,
142.10000000000002,,,,0.0023143683702989393,,
142.10000000000002,0.0011077786092664502,,,,,
142.2145,,,,,,0.002227762159868456
142.599,0.001425970337460005,,,,,
142.74900000000002,,,0.0008585533376261,,,
143.4995,,,,0.011764705882352941,,
143.51,,,,,,0.0023603670503368162
143.8895,0.0007836944416619036,,,,,
144.5,,,,,0.02199773413897281,
144.8905,0.005450506455167375,,,,,
145.5,,,0.008677521233863797,,,
146.05,,,,,,0.007611520712883891
146.8995,,,,0.014657666345226614,,
147.45100000000002,0.011331160987337148,,,,,
147.9995,,,0.008677521233863797,,,
148.5,,0.034482758620689655,,,,
148.5,,,,,0.020675981873111784,
148.59,,,,,,0.014029597411552538
149.42950000000002,,,,0.016200578592092573,,
149.45,,,0.014380768405237176,,,
149.93,,,,,,0.0030233915026786186
149.93,,,,0.007135969141755062,,
149.9505,0.004719843968204397,,,,,
149.9505,,,0.0009505411952288965,,,
153.4995,,0.23275862068965517,,,,
154.9995,,,,0.19209257473481195,0.24263595166163143,
155.0155,,,,,,0.19016867342067575
155.3995,,,0.19433968049550793,,,
156.29950000000002,0.18783918354359522,,,,,
161.0,,0.16379310344827586,,,,
162.5,,,,,0.15181268882175228,
162.55,,,,0.2048216007714561,,
163.7945,,,0.18072547757029406,,,
163.82999999999998,,,,,,0.23972312098870208
164.899,0.20891643931671272,,,,,
167.5,,0.16379310344827586,,,,
167.64999999999998,,,,0.16200578592092574,,
169.0,,,,,0.21742824773413896,
170.1445,,,0.20859779842394138,,,
170.15949999999998,0.1677695349097573,,,,,
170.18,,,,,,0.15635442635124383
174.0,,,,0.1940212150433944,,
174.0,,0.22844827586206898,,,,
175.5,,,,,0.1361404833836858,
176.35,,,0.17606475945175237,,,
176.36,0.20426730462144024,,,,,
176.5045,,,,,,0.16811648013578742
183.0,,0.14224137931034483,,,,
183.9,,,,0.15737704918032788,,
184.0,,,,,0.16635196374622357,
185.0,0.1702679292200178,,0.1760954220709533,,,
185.1445,,,,,,0.18695963507134142
190.2495,,,,0.009257473481195757,,
190.34949999999998,0.010688885091539046,,,,,
190.399,,,0.012111734584368197,,,0.010024929719408052
190.5495,,,,0.0005785920925747348,,
190.75,0.0024335774767395954,,,,,
191.4995,,,,,0.01812688821752266,
191.7495,,,0.004323429307331432,,,
191.76999999999998,,,,,,0.007996074895242136
191.8195,,,,0.008100289296046287,,
191.9995,0.011066001213842519,,,,,
193.4995,,,0.0022996964400699106,,,
193.5,,0.034482758620689655,,,,
194.2995,0.0032290567972234827,,,,,
194.31,,,,0.0021215043394406945,,
194.31,,,,,,0.0022808041160558
194.5,,,0.001471805721644743,,,
195.09949999999998,,,,,0.008874622356495469,
195.2905,,,0.0008278907184251678,,,
195.5895,,,,0.0028929604628736743,,
195.59,,,0.00128783000643915,,,
195.8055,0.0026280279773023235,,,,,
196.8495,,,,,,0.004375961385455896
196.85,,,0.00039861404961211784,,,
196.86,,,,0.0007714561234329798,,
197.05599999999998,0.002015214278559181,,,,,
199.38,0.0005362119864002499,,,,,
199.39,,,,0.0011571841851494697,,
203.19,,,0.0008278907184251678,,,
203.2,,,,0.0009643201542912247,,
207.899,,,,,,0.0009149737442316873
213.6,,,,,0.0022658610271903325,
220.98000000000002,0.0012727669127742193,,,,,
