value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
31.9795,,,,0.0027982003730933833,,
32.5545,,,,,,0.002429909303081332
32.5785,,,,,0.0019309013171505413,
32.6395,,,0.0023247827120703776,,,
32.6995,0.0027169404347104696,,,,,
33.4995,,0.0013477088948787063,,,,
35.09,,,,0.0027982003730933833,,
36.099500000000006,0.0028828604612576737,,,,,
36.165,,,,,,0.002429909303081332
36.29,,,0.0026021715583969566,,,
36.292500000000004,,,,,0.001970307466480144,
37.11,,,,0.0029079337210578295,,
37.725,0.0025199104031856643,,,,,
38.1095,,,,,,0.002459452273331561
38.1995,,,,,0.0019210497798181406,
38.25,,,0.0022455287559770692,,,
38.35,,0.0012348118146794428,,,,
38.55,,,,0.0028530670470756064,,
38.9255,0.002779160444665671,,,,,
39.4755,,,,,0.0019111982424857398,
39.4995,,,,,,0.00240775207539366
39.6,,,0.0022455287559770692,,,
39.75,,,,0.0025787336771644904,,
39.9075,0.0026339804214368674,,,,,
40.150000000000006,,0.0013688770974160682,,,,
40.525999999999996,,,,,0.0019111982424857398,
40.55,,,,,,0.0024151378179562174
40.6,,,0.002205901777930415,,,
41.3,,0.0011642511395549033,,,,
42.15,,,,0.013936135191484691,,
42.182500000000005,0.013563962170233947,,,,,
42.45,,0.0012630360847292587,,,,
42.7,,,,,,0.01182457384265414
42.75,,,,,0.009605248899090703,
42.9935,,,0.011214434787203128,,,
44.2,,0.006667983799268991,,,,
45.0995,0.013875062220009955,,,,,
45.25,,,,0.013497201799626907,,
45.55,,,,,,0.012312032851782919
45.6555,,,,,0.009595397361758302,
45.9935,,,0.012178691253005046,,,
46.55,,0.006110554465785129,,,,
47.3995,0.013418782147005143,,,,,
47.402,,,,0.013606935147591353,,
47.6725,,,,,0.009674209660417508,
47.6995,,,,,,0.01190581701084227
48.0,,,0.013526008506591287,,,
48.35,,0.006265787951059116,,,,
49.152,,,,0.013771535169538022,,
49.249,0.013263232122117139,,,,,
49.2665,,,,,0.009536288137763898,
49.349000000000004,,,,,,0.011676858991402996
49.4995,,,0.008559427258077299,,,
49.55,,0.006244619748521754,,,,
55.699,0.14730587356893976,,,,,
55.849000000000004,,,,0.14325688576758477,,
56.2645,,,,,,0.14945050075334573
56.499,,,0.14819168890180434,,,
56.7645,,,,,0.14271922133448925,
57.3995,,0.13995004304201183,,,,
65.649,0.14792807366849178,,,,,
65.999,,,,0.14226928563590474,,
66.749,,,,,,0.14943572926822063
66.949,,,0.1488125115578686,,,
67.899,,,,,0.14391125735170973,
69.05,,0.1403381267551968,,,,
73.949,0.14671478347436537,,,,,
74.799,,,,0.14139141885218917,,
75.049,,,,,,0.14727170669739137
75.189,,,0.14724064142868465,,,
76.299,,,,,0.14119223304796713,
77.55,,0.14018994933743525,,,,
82.399,0.14719180355068856,,,,,
83.649,,,,,,0.147677922538332
83.88900000000001,,,0.14794071804084222,,,
83.899,,,,0.14040381872050917,,
84.849,,,,,0.14311328282778527,
86.05,,0.13918093168315435,,,,
93.449,0.14678737348597976,,,,,
94.09899999999999,,,,,,0.14806198115158498
94.199,,,0.1480199719969355,,,
94.299,,,,0.1411719521562603,,
94.699,,,,,0.14180302836257597,
95.15,,0.13813663369131116,,,,
102.35749999999999,,,,,,0.03975006647168306
102.398,,,,,0.0478292137488055,
102.39949999999999,,0.054917373449429166,,,,
102.4075,0.03921934627509541,,,,,
102.4985,,,0.04069690645391382,0.04504553933940524,,
107.549,,,,,,0.03964666607580726
107.549,,,0.04039309962222281,,,
107.68950000000001,,,,,0.048016392958121115,
107.69900000000001,0.039043056246889,,,,,
107.75,,0.05467041108649327,,,,
107.949,,,,0.0449358059914408,,
114.09899999999999,,,0.04180646183922014,,,
114.399,,,,,,0.03977222369937074
114.5,,0.052744104655593343,,,,
114.599,,,,,0.0477996591368083,
115.049,0.0391778662684586,,,,,
115.499,,,,0.043619005815867445,,
124.4,,0.05384485118753616,,,,
125.149,,,0.03929675322959871,,,
125.149,,,,,,0.03943986528405566
125.54849999999999,,,,,0.04769129222615189,
126.74849999999999,0.0389808362369338,,,,,
128.949,,,,0.04460660594754746,,
132.4995,,0.01112036239962744,,,,
134.3475,,,0.008149948484928539,,,
134.37349999999998,,,,,,0.007932287512186475
134.848,,,,,0.009624951973755505,
135.9475,0.008005641280902604,,,,,
136.85,,0.010831063631616827,,,,
139.148,,,0.008176366470292976,,,
140.248,,,,,,0.008006144937812048
140.44799999999998,,,,0.00910786788104905,,
140.453,,,,,0.009526436600431497,
141.44799999999998,0.00824415131906421,,,,,
143.29,,0.010661718011317932,,,,
146.11399999999998,,,,0.008723801163173488,,
146.498,,,0.008123530499564104,,,
148.0525,,,,,,0.007887973056811132
148.964,,,,,0.009624951973755505,
149.498,0.007901941264310602,,,,,
152.389,,,,0.008888401185120158,,
154.94,,0.01108508206206517,,,,
158.9025,,,,,,0.007880587314248575
159.94799999999998,,,0.007951813594695269,,,
161.173,,,,0.00894326785910238,,
163.67950000000002,,,,,0.009516585063099096,
164.498,0.0078500912560146,,,,,
223.1475,,,,0.008888401185120158,,
236.14749999999998,,,0.008097112514199667,,,
246.6725,,,,,,0.007924901769623918
290.49649999999997,0.007995271279243404,,,,,
294.61650000000003,,,,,0.009575694287093501,
594.75,,0.010661718011317932,,,,
