data_type,category,reference_unit,emory__total_number_of_stays,mimic__total_number_of_stays,nu__total_number_of_stays,ohsu__total_number_of_stays,rush__total_number_of_stays,sunnybrook__total_number_of_stays,ucmc__total_number_of_stays,umn__total_number_of_stays,upenn__total_number_of_stays,all__total_number_of_stays,emory__total_observations,mimic__total_observations,nu__total_observations,ohsu__total_observations,rush__total_observations,sunnybrook__total_observations,ucmc__total_observations,umn__total_observations,upenn__total_observations,all__total_observations,emory__total_distinct_observations,mimic__total_distinct_observations,nu__total_distinct_observations,ohsu__total_distinct_observations,rush__total_distinct_observations,sunnybrook__total_distinct_observations,ucmc__total_distinct_observations,umn__total_distinct_observations,upenn__total_distinct_observations,all__total_distinct_observations,emory__mean_icu_los_days,mimic__mean_icu_los_days,nu__mean_icu_los_days,ohsu__mean_icu_los_days,rush__mean_icu_los_days,sunnybrook__mean_icu_los_days,ucmc__mean_icu_los_days,umn__mean_icu_los_days,upenn__mean_icu_los_days,all__mean_icu_los_days,emory__mean_icu_los_hours,mimic__mean_icu_los_hours,nu__mean_icu_los_hours,ohsu__mean_icu_los_hours,rush__mean_icu_los_hours,sunnybrook__mean_icu_los_hours,ucmc__mean_icu_los_hours,umn__mean_icu_los_hours,upenn__mean_icu_los_hours,all__mean_icu_los_hours,emory__whole_stay_mean,mimic__whole_stay_mean,nu__whole_stay_mean,ohsu__whole_stay_mean,rush__whole_stay_mean,sunnybrook__whole_stay_mean,ucmc__whole_stay_mean,umn__whole_stay_mean,upenn__whole_stay_mean,all__whole_stay_mean,emory__whole_stay_median,mimic__whole_stay_median,nu__whole_stay_median,ohsu__whole_stay_median,rush__whole_stay_median,sunnybrook__whole_stay_median,ucmc__whole_stay_median,umn__whole_stay_median,upenn__whole_stay_median,all__whole_stay_median,emory__whole_stay_iqr,mimic__whole_stay_iqr,nu__whole_stay_iqr,ohsu__whole_stay_iqr,rush__whole_stay_iqr,sunnybrook__whole_stay_iqr,ucmc__whole_stay_iqr,umn__whole_stay_iqr,upenn__whole_stay_iqr,all__whole_stay_iqr,emory__first_24hr_mean,mimic__first_24hr_mean,nu__first_24hr_mean,ohsu__first_24hr_mean,rush__first_24hr_mean,sunnybrook__first_24hr_mean,ucmc__first_24hr_mean,umn__first_24hr_mean,upenn__first_24hr_mean,all__first_24hr_mean,emory__first_24hr_median,mimic__first_24hr_median,nu__first_24hr_median,ohsu__first_24hr_median,rush__first_24hr_median,sunnybrook__first_24hr_median,ucmc__first_24hr_median,umn__first_24hr_median,upenn__first_24hr_median,all__first_24hr_median,emory__first_24hr_iqr,mimic__first_24hr_iqr,nu__first_24hr_iqr,ohsu__first_24hr_iqr,rush__first_24hr_iqr,sunnybrook__first_24hr_iqr,ucmc__first_24hr_iqr,umn__first_24hr_iqr,upenn__first_24hr_iqr,all__first_24hr_iqr,emory__first_48hr_mean,mimic__first_48hr_mean,nu__first_48hr_mean,ohsu__first_48hr_mean,rush__first_48hr_mean,sunnybrook__first_48hr_mean,ucmc__first_48hr_mean,umn__first_48hr_mean,upenn__first_48hr_mean,all__first_48hr_mean,emory__first_48hr_median,mimic__first_48hr_median,nu__first_48hr_median,ohsu__first_48hr_median,rush__first_48hr_median,sunnybrook__first_48hr_median,ucmc__first_48hr_median,umn__first_48hr_median,upenn__first_48hr_median,all__first_48hr_median,emory__first_48hr_iqr,mimic__first_48hr_iqr,nu__first_48hr_iqr,ohsu__first_48hr_iqr,rush__first_48hr_iqr,sunnybrook__first_48hr_iqr,ucmc__first_48hr_iqr,umn__first_48hr_iqr,upenn__first_48hr_iqr,all__first_48hr_iqr,emory__first_72hr_mean,mimic__first_72hr_mean,nu__first_72hr_mean,ohsu__first_72hr_mean,rush__first_72hr_mean,sunnybrook__first_72hr_mean,ucmc__first_72hr_mean,umn__first_72hr_mean,upenn__first_72hr_mean,all__first_72hr_mean,emory__first_72hr_median,mimic__first_72hr_median,nu__first_72hr_median,ohsu__first_72hr_median,rush__first_72hr_median,sunnybrook__first_72hr_median,ucmc__first_72hr_median,umn__first_72hr_median,upenn__first_72hr_median,all__first_72hr_median,emory__first_72hr_iqr,mimic__first_72hr_iqr,nu__first_72hr_iqr,ohsu__first_72hr_iqr,rush__first_72hr_iqr,sunnybrook__first_72hr_iqr,ucmc__first_72hr_iqr,umn__first_72hr_iqr,upenn__first_72hr_iqr,all__first_72hr_iqr
labs,wbc,10^3/µl,77191.0,,119136.0,52779.0,54468.0,,,,,303574,513975.0,,749738.0,325017.0,357124.0,,,,,1945854,513975.0,,749738.0,325017.0,357124.0,,,,,1945854,5.38,,4.71,4.65,5.07,,,,,4.934524,129.03,,112.97,111.58,121.72,,,,,118.381925,6.66,,6.29,6.16,6.56,,,,,6.409924,3.0,,3.0,3.0,4.0,,,,,3.179422,5.0,,4.0,5.0,5.0,,,,,5.0,2.21,,2.34,2.66,2.54,,,,,2.398464,2.0,,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,,,,,2.0,3.36,,3.44,3.78,3.74,,,,,3.532597,2.0,,2.0,3.0,3.0,,,,,2.353281,2.0,,3.0,2.0,2.0,,,,,3.0,4.09,,4.12,4.43,4.46,,,,,4.227272,3.0,,3.0,3.0,3.0,,,,,3.0,3.0,,2.0,3.0,3.0,,,,,3.0
labs,monocytes_absolute,10^3/µl,13247.0,20110.0,70457.0,18857.0,34635.0,,,,,157306,39223.0,37655.0,285750.0,65292.0,142224.0,,,,,570144,39223.0,37655.0,285750.0,65292.0,142224.0,,,,,570144,7.74,5.6,5.26,5.3,5.33,,,,,5.532518,185.76,134.46,126.23,127.24,128.01,,,,,132.80823,2.96,1.87,4.06,3.46,4.11,,,,,3.626482,1.0,1.0,2.0,2.0,2.0,,,,,1.787948,2.0,1.0,3.0,2.0,4.0,,,,,4.0,0.92,1.04,1.36,1.44,1.54,,,,,1.33126,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,1.0,1.39,1.23,2.07,1.98,2.22,,,,,1.927588,1.0,1.0,2.0,1.0,2.0,,,,,1.668074,1.0,0.0,1.0,1.0,2.0,,,,,2.0,1.69,1.36,2.52,2.32,2.67,,,,,2.310861,1.0,1.0,2.0,1.0,2.0,,,,,1.668074,1.0,0.0,2.0,2.0,2.0,,,,,2.0
labs,ast,u/l,56530.0,44176.0,75660.0,27222.0,40502.0,6090.0,24243.0,80835.0,85829.0,441087,270569.0,162068.0,344532.0,85109.0,203459.0,15845.0,128396.0,335364.0,444238.0,1989580,270569.0,162068.0,344532.0,85109.0,203459.0,15845.0,128396.0,335364.0,444238.0,1989580,6.01,5.67,5.52,5.11,5.43,12.31,6.99,5.58,6.74,5.987186,144.27,136.12,132.41,122.62,130.32,295.38,167.69,133.81,161.78,143.666131,4.79,3.67,4.55,3.13,5.02,2.6,5.3,4.15,5.18,4.511726,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.924477,4.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,1.69,1.43,1.7,1.57,1.9,0.88,1.81,1.58,1.83,1.680048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.48,2.02,2.42,2.03,2.74,1.21,2.61,2.25,2.56,2.382767,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.641062,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.98,2.37,2.89,2.31,3.28,1.42,3.15,2.69,3.05,2.837946,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.924477,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0
labs,glucose_fingerstick,mg/dl,1100.0,,1.0,43299.0,38225.0,17749.0,33864.0,58093.0,105672.0,298003,2445.0,,1.0,931536.0,906080.0,430487.0,644052.0,1440150.0,2151891.0,6506642,2445.0,,1.0,931536.0,906080.0,430487.0,644052.0,1440150.0,2151891.0,6506642,5.92,,4.15,4.8,5.68,8.44,6.24,4.52,6.1,5.703841,142.06,,99.5,115.28,136.39,202.61,149.65,108.58,146.48,136.951061,2.22,,1.0,21.51,23.7,24.25,19.02,24.79,20.36,21.831495,1.0,,1.0,7.0,9.0,10.0,7.0,11.0,8.0,8.547417,1.0,,0.0,21.0,21.0,18.0,17.0,21.0,18.0,21.0,1.63,,0.0,7.69,7.01,5.56,5.68,8.38,5.92,6.731976,1.0,,0.0,4.0,4.0,4.0,3.0,6.0,4.0,4.265158,2.0,,0.0,9.0,6.0,7.0,5.0,8.0,5.0,9.0,1.87,,1.0,12.04,11.41,8.86,8.72,12.74,9.36,10.541069,1.0,,1.0,6.0,7.0,7.0,5.0,9.0,6.0,6.640544,1.0,,0.0,14.0,10.0,11.0,8.0,11.0,8.0,14.0,1.97,,1.0,14.62,14.19,11.11,10.69,15.46,11.52,12.926947,1.0,,1.0,6.0,8.0,8.0,6.0,10.0,7.0,7.491552,1.0,,0.0,16.0,13.0,12.0,10.0,15.0,11.0,16.0
labs,lymphocytes_percent,%,13786.0,37458.0,69075.0,19968.0,34794.0,41944.0,14515.0,61940.0,100167.0,393647,40475.0,70454.0,276925.0,70225.0,144649.0,325116.0,46779.0,203945.0,493982.0,1672550,40475.0,70454.0,276925.0,70225.0,144649.0,325116.0,46779.0,203945.0,493982.0,1672550,7.8,5.44,5.26,5.53,5.34,7.37,7.01,5.41,5.92,5.867748,187.16,130.49,126.25,132.67,128.08,176.8,168.25,129.85,142.14,140.818717,2.94,1.88,4.01,3.52,4.16,7.75,3.22,3.29,4.93,4.248434,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.888705,2.0,1.0,3.0,3.0,4.0,7.0,2.0,2.0,4.0,7.0,0.92,1.04,1.35,1.46,1.55,2.49,1.18,1.15,1.58,1.470957,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.106552,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.38,1.25,2.04,2.01,2.25,3.72,1.66,1.69,2.39,2.157737,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.731427,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.68,1.37,2.49,2.35,2.69,4.53,1.97,2.04,2.92,2.602437,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.731427,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0
labs,bilirubin_total,mg/dl,56622.0,44009.0,75764.0,27278.0,40524.0,26110.0,24341.0,80979.0,100792.0,476419,273866.0,162329.0,345126.0,85606.0,205040.0,91594.0,130671.0,344415.0,481881.0,2120528,273866.0,162329.0,345126.0,85606.0,205040.0,91594.0,130671.0,344415.0,481881.0,2120528,6.01,5.68,5.51,5.11,5.43,8.64,6.97,5.58,6.44,6.010204,144.28,136.32,132.33,122.52,130.31,207.33,167.27,133.91,154.51,144.241807,4.84,3.69,4.56,3.14,5.06,3.51,5.37,4.25,4.78,4.451828,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.887939,4.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,5.0,1.71,1.43,1.7,1.57,1.91,1.32,1.83,1.63,1.71,1.6627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.03,2.42,2.04,2.76,1.75,2.64,2.32,2.41,2.356053,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.795564,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.02,2.39,2.89,2.32,3.31,2.04,3.18,2.76,2.87,2.804257,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.887939,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0
labs,total_protein,g/dl,56766.0,2645.0,76034.0,27613.0,40491.0,1094.0,24413.0,80867.0,96188.0,406111,272698.0,3036.0,347231.0,88241.0,203488.0,1559.0,130007.0,335413.0,435570.0,1817243,272698.0,3036.0,347231.0,88241.0,203488.0,1559.0,130007.0,335413.0,435570.0,1817243,6.01,7.53,5.51,5.28,5.43,12.78,6.97,5.58,6.53,5.932309,144.18,180.64,132.27,126.73,130.32,306.66,167.25,133.81,156.64,142.329994,4.8,1.15,4.57,3.2,5.03,1.43,5.33,4.15,4.53,4.476709,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.922799,4.0,0.0,3.0,2.0,4.0,0.0,4.0,3.0,3.0,4.0,1.7,0.55,1.7,1.58,1.9,0.38,1.82,1.6,1.61,1.66672,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.997306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.49,0.75,2.43,2.05,2.74,0.63,2.63,2.27,2.28,2.372302,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.723674,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.85,2.9,2.33,3.28,0.83,3.17,2.71,2.71,2.827576,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.922799,3.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0
labs,crp,mg/l,4933.0,3663.0,10977.0,3008.0,4187.0,4427.0,5102.0,19682.0,11537.0,67516,6741.0,6117.0,30377.0,4766.0,9273.0,16339.0,13289.0,52259.0,19131.0,158292,6741.0,6117.0,30377.0,4766.0,9273.0,16339.0,13289.0,52259.0,19131.0,158292,7.76,7.42,6.48,6.84,6.82,17.41,10.12,7.61,11.2,8.789343,186.23,178.05,155.56,164.04,163.74,417.84,242.92,182.72,268.92,210.993604,1.37,1.67,2.77,1.58,2.21,3.69,2.6,2.66,1.66,2.346022,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.06557,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,0.66,0.72,0.87,0.7,0.83,0.5,0.77,0.89,0.46,0.740417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.763552,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.99,1.22,0.93,1.11,0.83,1.08,1.32,0.66,1.060246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.99,1.14,1.47,1.08,1.3,1.11,1.32,1.63,0.84,1.293157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
labs,bilirubin_conjugated,mg/dl,12928.0,5985.0,31849.0,10764.0,7056.0,826.0,19723.0,31726.0,85381.0,206238,35548.0,12961.0,138333.0,30500.0,11585.0,1490.0,87074.0,89896.0,413512.0,820899,35548.0,12961.0,138333.0,30500.0,11585.0,1490.0,87074.0,89896.0,413512.0,820899,8.94,8.26,7.32,7.34,6.52,15.72,7.26,7.38,6.72,7.211241,214.64,198.34,175.59,176.14,156.38,377.32,174.18,177.15,161.38,173.099769,2.75,2.17,4.34,2.83,1.64,1.8,4.41,2.83,4.84,3.977404,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.509625,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,0.84,0.87,1.28,0.95,0.73,0.27,1.43,0.94,1.71,1.340494,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.995995,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.27,1.23,1.94,1.43,1.01,0.5,2.11,1.41,2.41,1.942497,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.409987,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.56,1.44,2.4,1.75,1.17,0.71,2.57,1.72,2.86,2.338799,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.509625,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0
labs,lactate,mmol/l,37583.0,51953.0,56975.0,25542.0,23537.0,30881.0,26009.0,64254.0,99272.0,416006,235471.0,322655.0,463403.0,111644.0,159042.0,238204.0,176362.0,366705.0,1785912.0,3859398,235471.0,322655.0,463403.0,111644.0,159042.0,238204.0,176362.0,366705.0,1785912.0,3859398,6.52,5.28,5.88,5.32,6.32,8.31,6.53,5.42,6.33,6.110757,156.43,126.78,141.08,127.57,151.78,199.4,156.75,130.0,151.89,146.633962,6.27,6.21,8.13,4.37,6.76,7.71,6.78,5.71,17.99,9.277357,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,3.188721,4.0,5.0,6.0,4.0,5.0,7.0,6.0,4.0,12.0,12.0,2.79,3.06,3.91,2.8,3.1,3.03,3.28,3.03,6.62,3.994742,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.312863,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,7.0,7.0,3.7,3.93,5.12,3.33,4.14,4.24,4.34,3.94,9.02,5.312066,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.614015,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,9.0,9.0,4.25,4.44,5.84,3.58,4.75,4.95,4.92,4.41,10.6,6.112515,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,3.051764,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,10.0,10.0
