value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
15,0.0503562945368171,0.012425603007204761,0.019513152728700432,0.025313404050144647,0.014796944109368717,0.01227604512276045,0.00745123822046899,0.009296560272699102,0.03636363636363636,0.027486858472773965
36,0.12114014251781473,,,,,,,,,
41,,,,,,,,,0.09796791443850267,
42,,,,0.08751205400192864,,,,,,
42.22,,,,,,,,,,0.08607198748043818
45,,,0.06729485669414997,,0.05283474065138721,,,,,
46,,0.05648950610838467,,,,,,,,
48,,,,,,,,0.04932341700237579,,
51,,,,,,,0.04481700635546789,,,
56,,,,,,0.07863304578633046,,,,
63,0.1901187648456057,,,,,,,,,
72,,,,,,,,,,0.14517876489707476
73,,,,0.14971070395371264,,,,,,
74,,,,,,,,,0.16,
76,,,,,0.08870124648170487,,,,,
77.42,,,0.11499803690616411,,,,,,,
80,,,,,,,0.08108700416392724,,,
81,,0.10117991020152449,,,,,,,,
83,,,,,,,,0.08914368350377028,,
92,,,,,,0.14299933642999335,,,,
98,0.260332541567696,,,,,,,,,
106,,,,,,,,,,0.20320211869507643
110,,,,,,,,,0.22010695187165774,
111,,,,0.21046287367405977,,,,,,
114,,,0.16277974087161368,,0.12593486127864897,,,,,
117,,0.1452438133027044,,,,,,,,
118,,,,,,,0.11779531010300241,,,
122,,,,,,,,0.1282925317632476,,
125,,,,,,0.20637027206370273,,,,
144,0.3305463182897862,,,,,,,,,
148.28,,,,,,,,,,0.2617069941013603
150,,,,0.27145612343297976,,,,,,
153,,,,,,,,,0.28042780748663104,
155,,,0.2105614448370632,,0.16268596702854846,,,,,
156,,,,,,,0.15406530791146175,,,
159,,0.18878563224391773,,,,,,,,
160,,,,,,,,0.16852597872120648,,
162,,,,,,0.272063702720637,,,,
