value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.9,,,,,,,,,,0.0391612554441252
0.971,,,,,,,,,0.03453446873980593,
1,0.06109762020398252,,,0.03510265469146838,,,0.05062302006335797,0.03504380475594493,,
1.4,,0.035923732895146894,,,,,,,,
1.6,,,0.03845616298446487,,0.03450869445211151,,,,,
1.7,,,,,,,,,,0.06984678495427037
1.8,,,,0.07075866570184026,,,,,,
1.852,,,,,,,,,0.06943896703328806,
2,0.12127246236036911,,,,,,0.11176346356916579,0.06508135168961202,,0.10505567130543593
2.1,,0.0709408731620251,,,,,,,,
2.2,,,0.07718826712537405,,,0.0376536877401969,,,,
2.3,,,,,,,0.11505807814149947,,,
2.4,,,,0.10482555087330978,,,,,,
2.5,,,,,0.0684377587634557,,,,0.10394909172351002,
2.8,,,,0.13389804055108614,,,,,,0.1350689741050982
3,0.1924720738222438,0.11703544210556138,0.12486158146535505,,,,0.1907286166842661,0.10387984981226533,,
3.03,,,,,,,,,0.13838131545506333,
3.1,,,,,,0.07320053283520388,,,,
3.2,,,,,0.10126966602263318,,,,,0.16729131106481115
3.3,,,,0.16719874005022772,,,,,,
3.54,,,,,,,,,0.17230718295527025,
3.7,,,,,,,,0.12265331664580725,,
3.8,,0.14212255999093407,0.15135909978677276,,,0.10668953162560671,,,,
3.9,,,,,0.1380209770908087,,,,,
4,,0.17483072215769047,0.1874428855560931,,,,,,,
4.2,,,,,,,,0.15143929912390489,,
4.4,,,,,0.16733370135247033,0.14054294069911655,,,,
5,0.3369839728023312,,,,,0.1748924377210577,,,,
5.5,,,,,,,0.34739176346356915,,,
5.7,,,,0.33740546829552065,,,,,,
5.97,,,,,,,,,0.34433684374528334,
6,,,,,,,,,,0.33865445319824006
6.6,,,0.3358777258148327,,,,,,,
7,,0.35505850355554297,,,,,,,,
7.1,,,,,0.3282776704388628,,,,,
7.7,,,,,,0.3456906187319135,,,,
8,0.4977901894123361,,,,,,0.5288067581837381,0.3016270337922403,,
8.5,,,,0.5001489805473971,,,,,,
8.772,,,,,,,,,0.5162399154774598,
9,,,,,,,,,,0.4991566794430237
9.6,,,0.5045888655951549,,,,,,,
9.9,,0.5052412386321784,,,,,,,,
10.1,,,,,0.4920921887938173,,,,,
10.5,,,,,,0.5174809756396319,,,,
12,0.6525740650801359,,,,,,0.6986694825765576,,,
12.5,,,,0.6672058343620085,,,,0.44806007509386736,,
12.698,,,,,,,,,0.6887856701186529,
13.2,,,,,,,,,,0.6657534912256191
13.5,,,0.6715045960328979,,,,,,,
13.6,,0.6709777034875485,,,,,,,,
14,,,,,0.6566243444659122,,,,,
14.1,,,,,,0.6869041968427984,,,,
15.6,,,,,,,,0.5932415519399249,,
20,0.8148372996600292,0.8378474091282545,0.8390295472056478,0.8322620922544304,0.819948937344742,0.8551974399412043,0.8656810982048574,0.7384230287859824,0.8602846306277356,0.8290073924690361
21.4,0.8425692083535697,,,,,0.8828803723721884,,,,
21.5,,0.864917698387965,0.8678206024117974,,,,0.887286166842661,,,
21.551,,,,,,,,,0.8837766384762572,
21.7,,,,0.8559996594730345,0.8521460115926028,,,,,
21.8,,,,,,,,,,0.8581237180616383
22,,,,,,,,0.785982478097622,,
23.3,,,,,,0.9090046087182864,,,,
23.6,,0.8904722780972887,,,,,,,,
23.7,,,0.895446970918669,,,,,,,
23.8,,,,,0.8830251173060999,,,,,
23.81,,,,,,,,,0.9074244482421162,
24,0.8746721709567752,,,0.8803615261283503,,,0.9132840549102429,,,0.8868047161158255
25.06,,,,,,,,0.8310387984981227,,
25.9,,,,,,0.9361638927592596,,,,
