value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.4495,,0.0005358578190586764,,,,,,,
0.4495,,,,,,,0.00020583439332231364,,
0.4995,,,,0.0011544760558086255,,,,,
0.5495,,,,,,,,0.0006972005442749317,
0.5995,,,0.0005511104817201255,,,,,,
0.6495,,,,,,0.0002812288044467237,,,0.0002571740205829984
0.6995,0.000451069751029471,,,,,,,,
0.7495,,,,,0.0003748295885640702,,,,
0.9,,,,,,,0.00029933204995007644,,
0.95,0.00039114904609566676,0.0005620347814839566,,,0.00044435443160417996,0.0003544900896387273,,0.0008293584811007407,0.00027305829832488944
1.05,,,0.0007812315608109703,0.0013603128719605509,,,,,
1.05,0.0008488766532288938,0.0009608485031396956,,,0.0006801343340880306,0.0007089801792774546,0.0004374853037731886,0.0014739655607205035,0.0006731908185849075
1.15,0.0015379647599676428,0.0018108298713017342,,,0.0013481773911256073,0.0015455767908248512,0.0008672954267784266,0.0029196115635497623,0.0013478944255261856
1.15,,,0.001518799121999575,0.0022821038312496084,,,,,
1.25,,,0.0032594585664046825,0.004069006046829368,,,,,
1.25,0.0028512268764335196,0.003493854573115336,,,0.0027296057941399625,0.002942267744001437,0.001934145553523571,0.005256649364765346,0.0028349653798384646
1.4995,,,0.09970851329981827,,,,,0.10168609253482969,
1.5495,0.15618664633801269,0.1701410168364063,,0.14035087719298245,0.159121205983973,0.16181290958375774,0.12448654785021675,,0.16414963897305876
1.7999999999999998,,,0.17239373126578394,,,,,0.13682796677711295,
1.85,0.10101632173423836,0.10117549959502699,,0.08249283300071297,0.10464093441389045,0.10277849332258834,0.08488889478094686,,0.09581320694490879
1.95,0.11804212425556847,0.11567753677863221,0.1194174986428757,0.10108675872643691,0.12551350142223647,0.1198814585140248,0.10558327536246041,0.09240402029838025,0.10542319497875288
2.05,0.11306704128203678,0.11060382553208525,0.10146451414949609,0.10615213428913212,0.12027495564012732,0.11446012340981654,0.11402457871979381,0.09690548145271241,0.09813458067775944
2.1495,0.20853736888184635,0.20464225331292557,0.1953952182019873,,0.2183926460852979,0.21066164393597436,0.22679182328105604,0.1923936364604868,
2.1995,,,,0.286515898656691,,,,,0.2558367156759668
2.25,0.07501406472101918,0.07212985005219995,,,0.07240558979738042,0.07468160881782282,0.09976060413441055,0.08313543356568856,
2.3,,,0.1329745804715712,,,,,,
2.3499999999999996,,,,,,,,0.07218790161515878,
2.3499999999999996,,,,0.06651512303970264,,,,,0.06930612936458351
2.4,0.09509915212202519,0.09047836089100221,,,0.08439711381216805,0.09171840252586005,0.11939301879512221,,
2.45,,,0.04095919186197456,,,,,,0.058337657386718623
2.5,,,,0.08573550864067156,,,,,
2.5,,,,,,,,0.09452529003947208,
2.5495,0.06584120347406931,0.06334054996258234,0.0692947674006939,,0.05676854575188095,0.06236662310377343,0.07396641480444686,,0.09536163962053217
2.6495,,,,,,,,0.06614504738131745,
2.6495,,,,0.06192108395457271,,,,,
2.6500000000000004,0.018066092537541985,0.01834235155352573,0.018875829025938776,,0.016265790452123077,0.017102965191436465,,,
2.7,,,,,,,0.027119204627994456,,0.03140775546078777
2.75,,,,0.01750806194196595,,,,,
2.75,,,,,,,,0.01736123753770884,
2.8,0.021206936154488893,0.021628330248557957,0.021611319596875074,,0.019031670077414402,0.01943787324852355,,,
2.9,,,,0.020345030234146837,,,,,
2.9,,,,,,,,0.0181231685000209,
6.3,,,,,,0.019265354738232703,,,
6.4,,,,,,,0.02024154491620447,,0.020843197974073833
6.4,,,0.02179423635204985,,,,,,
6.45,,,,0.022510791517136662,,,,,
6.45,0.021842761412397594,0.024476999688956093,,,0.01761094502398607,,,,
6.5,,,,,,,,0.017127938322700015,
