value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,upenn_probability
23,,,,0.013269735057419296,,,,,
24,,0.01595215678994338,0.012684636568472001,,,,,,
25,,,,,0.013762252108502394,,,,
26,,,,0.026042137625463424,,,0.020092849961558933,,0.011465408893847175
27,,0.033694455863047486,0.02743469915713928,,0.02393435149304764,0.016662244627222076,,,
28,0.015509691022625902,0.043188840120403645,0.0344967871150797,0.03845284383759834,,,,,
29,,0.054513147600546326,0.04288366853041809,0.04634234560086807,0.03783906997948484,0.03128150703104272,0.042644942535533345,0.010992179188357305,0.024768051064070158
30,0.030127321385126915,0.06807844801294206,0.053304681632312445,0.055565602676553034,,,0.05408362410550594,,0.0322200725855422
30.06,,,,,0.0466719854114429,,,,
31,,,,,0.05835422840209711,0.055306447333510214,0.06811461351942752,0.01917844931902902,
32,0.05634174032925148,,,,,0.07143804722738127,0.08511246476235536,,0.05215144111956844
33,0.0737369232016868,,,,,,,0.03371354551582435,
34,,0.14667232440030234,0.11134523908870901,0.1068812731711728,,,,0.04469354275458244,
34.06,,,,,0.10559607932527923,,,,
35,,,,,,0.14384452109312815,0.1590918051530743,,
36,0.15898953856134945,0.20044289446116717,0.1511620629224735,,,,,0.07536566152046974,0.12525948625252425
37,,,,0.1681661994755403,0.1720423979940734,0.20845051737861503,0.2251414434127782,,
38,0.24582353418214256,,,,,,,0.11987850535599717,0.1844407100391171
39,0.29910388451869274,0.295346956095103,0.22260702662104648,0.22097386743828556,0.23110895828584455,0.28409392411780315,0.30390127545488593,0.14910503276944442,0.21778063349949867
40,0.35463466061146703,0.329319878535531,0.24865434365350914,0.25011303011122166,0.2639901983131981,0.3270628814009021,0.346817276795395,0.18044106778848887,0.2587660457825541
41,0.4678655421295921,,,,,,,,
42,,0.4309203983398088,0.33013435700575816,0.3429333574464237,0.3573911556872578,0.45697797824356595,0.47693535986752617,0.2876970430347673,0.38397186957197127
43,0.5810964236477172,,,,,,,,
44,,0.4961213583864851,,0.40923682068903156,0.42942215637109643,0.5409127089413638,0.5613085733435843,,0.47168457769053707
45,0.6799124158624604,,0.4162146374029876,,,,,0.41565421129997643,
46,,0.5577950751196743,,,,0.6182674449456089,0.6346669426538135,,0.5559996045923771
47,,,0.4732224818492865,0.5042499321819333,0.5294335536813312,,,0.4985909544963576,
48,0.7926769929446111,,,,,,,,
49,,0.6361900468089057,,,0.5912354684294506,0.7098832581586628,0.7220218029846038,0.5742185279332104,0.661772555886631
50,,,0.5535446048568806,0.5927525092684691,,,,,
52,0.8795718108831401,0.7017888162518399,0.6033130267879496,0.64386472556289,0.6715580123090951,0.7811355797293712,0.7847004553787924,0.6671586820754793,0.7448886503890528
53,0.9101248884924175,,,,,,,,
54,,,,,0.7372635058126282,0.8366808171928893,0.834599917203856,0.7418056085695954,0.8114809427647466
55,0.930622009569378,0.7748929229708406,0.6921263456563465,0.7314404557374085,,,,,
57,,,,,,0.873932077474131,0.8699361286888639,0.7995500799948023,0.8566153107480264
57.7,,,,,0.8011454296785958,,,,
58,0.9506528262103642,,,,,,,,
59,,0.8287563152241656,0.763133188683969,0.7955511348223167,,,,,
61,,,,,,,,,0.8982559699490207
62,,,,,0.870583542284021,0.9156142212788538,,0.8667091681352683,
63,,,,,,,0.9158584185936484,,
65,,0.8849402622889952,0.8425164816823834,0.8605208427525093,,,,,
66,0.9749412050928554,,,,,,,,
68,0.9801313762063093,,,,,,,,
69,,,,,0.9308183268748575,,,,0.9457712566901557
70,,,,,,0.9549084637834969,,,
71,,,,,0.9480852518805561,,,0.9336104050092177,0.957440018075777
72,0.9854026437434109,,,,,0.9653356327938445,,,
73,,,,,,,0.9559159816271414,0.9473678867565966,
74,,0.9379417341837614,0.9188224985395977,,0.9619899703669934,,,,
75,,,,0.9274120625734695,,0.9735340939241178,,,0.9695875051191165
76,,,0.9359196361512142,,,,0.9662260729000335,,
77,0.9903292514800097,0.9532308753132749,,,,,,0.9617507085834017,
78,,,,0.9455646984356633,0.9738431730111694,,,,
80,,0.962990465834803,0.9539138779938245,,,0.9835234810294508,0.9744711889132021,,0.9801293547794896
81,,,,0.9566642553576272,,,,,
82,,,,,,,,0.9748767592765546,
84,,,0.9675895017942084,,,,,,
85,0.9950125699456654,0.9758397093339345,,,,,,,
86,,,,,0.9876054251196718,,0.9832732075620478,,
87,,,,0.972601501039877,,0.9916025470947201,,,
88,,,,,,,,,0.9899990114809427
90,,,,,,,,0.987566290109069,
92,,,0.9844049904030711,,,,,,
93,,0.9883309243764338,,,,,,,
95,,,,0.9860068722307622,,,0.9917943107221007,,
109,,,,,,,,1.0,
150,,,1.0,,,,,,
161,,,,1.0,,,,,
177,,,,,,,1.0,,
191,,,,,,1.0,,,
192,1.0,,,,,,,,
200,,,,,,,,,1.0
217,,,,,1.0,,,,
243,,1.0,,,,,,,
