value,sunnybrook_probability,ucmc_probability
17,,0.01918680313742042
21,0.013729108686916791,
26,,0.0369461737774495
34,,0.05608314867574127
36,0.02743589361987112,
40,,0.07248836364062701
46,,0.08931272202877141
48,0.040373749249673824,
58,0.0538945028996076,
66,0.06726891194023187,
74,,0.1764916229936806
95,0.13424761507895167,
101,,0.26712918996869617
116,0.2012585636400617,
125,,0.3523677206804779
134,0.26704418615034303,
150,0.33132915631092524,0.4403585288358951
175,0.4354496252089751,
176,,0.5337366489629864
203,0.5401058642021243,
204,,0.6215779724010176
236,0.6442833826936337,
237,,0.7118022580985544
279,0.7455935390095199,
281,,0.8032810429929772
350,0.8490219715347332,0.8918434103619289
376,,0.9138733542025723
381,0.8793723552552597,
410,,0.935044493686469
423,0.909645846045471,
461,,0.9570070228506442
483,0.9395770392749244,
550,,0.9783540267079361
580,,0.9826861524392388
592,0.9698232454769594,
623,,0.9870563821181105
629,0.9760094057416695,
677,0.9819475242956855,
683,,0.9913474728289543
742,0.9879451728602682,
785,,0.9957059782162663
864,0.9939651451788133,
1794,,1.0
1996,1.0,
