value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
1.39950004,,,0.007832536476332037,,,,,,
1.4495,,,,0.01073377856125839,,,,,
1.7494999999999998,,0.0070825938107214655,,,,,,,
1.7994999999999999,,,,,,,,,0.006486376145353979
1.8995,,,,,,0.006380353455385474,,0.012994323779143406,
1.9495,,,,,,,0.010729013163597638,,
1.9495,0.007480068566294165,,,,,,,,
1.9994999999999998,,,,,0.007343767993551111,,,,
2.8499999999999996,0.004261969370999148,,,,0.004620743925377145,0.003597206624145184,,0.006735760514920097,0.003770421404314497
2.9,,0.011102152055862848,0.01237125174565972,,,,,,
2.95,0.006845818332954946,,,,0.007111051399178534,0.005250898768894392,,0.011024874108894795,0.005919801759003335
2.95,,,,0.006136009220964133,,,0.006217725657251124,,
3.05,,0.010298240406834571,0.01158781089591188,0.009612939860329513,,,0.009516055131078721,,
3.05,0.01061167909340656,,,,0.010460251046025104,0.008334523167672876,,0.015569571315107094,0.009129652632706542
3.1500000000000004,,,,0.014941690962099125,,,0.014379032357930975,,
3.2,,0.037041220599845465,0.041200377399463105,,,,,,
3.2,0.03785200587642451,,,,0.0369875436643507,0.030471835022898096,,0.0555530392612016,0.033317291452120985
3.25,,,,0.02182139467082514,,,0.021429544413210655,,
3.3499999999999996,,0.030533021061523877,0.03328921603498433,,,,,,
3.3499999999999996,0.031109493452687695,,,0.031264831514000946,0.029670166212429464,0.0252784745116174,0.03056418956571273,0.04367648938114796,0.02770653026749073
3.45,,0.03969689286345158,0.043933528273135375,,,,,,
3.45,0.04090073142986189,,,0.041892670689538274,0.039818529039192356,0.03398166873733359,0.04101705199806818,0.05099297468589906,0.03745679198820211
3.5995,,,0.16366987281488332,0.16366151942504575,,,0.16059093779797654,0.18182347584006936,
3.6494999999999997,0.22354798139052157,0.21575234233898635,,,0.21762600284058192,0.1931836344146974,,,0.2099870664307678
3.8,,,0.1498805650508628,0.154379110448166,,,,0.14511406631909451,
3.85,,,,,,,0.23211707304991766,,
3.9,0.1497767511252536,0.1405667757374898,,,0.15301475951019156,0.1389314506247163,,,0.14760068545073
4.0,,,,,,,,0.13413367669967147,
4.05,,,0.21371648614142746,0.22016323140551902,,,,,
4.1,0.1369788306972308,0.13111811012267763,,,0.14426269624966412,,0.14232907755749014,,0.1397065631307011
4.15,,,,,,0.20150110920974398,,,
4.25,,,,,,,,0.1469112396937526,
4.300000000000001,,,0.10340483206098296,0.10540757000474608,0.1105163909254923,,0.10827833021683404,,
4.35,0.1455688371718686,0.1479161384362296,,,,,,,0.15756740197046545
4.4,,,,,,0.10495830607369586,,,
4.7,,,0.14931427865409166,0.14786171943860602,0.15615763310429542,,0.15644620014117122,0.12591779589869184,
4.75,0.11629242299205145,0.12554961000070897,,,,0.14772201776014218,,,0.13342526605770716
5.0495,0.02754784204766727,0.030613532392592478,,0.02458641263814496,0.026083451690913976,0.03427149107198036,,0.021426965365185305,
5.0995,,,0.03299530871500724,,,,0.032188897006922346,,0.0420649092643602
5.15,0.01047473870211741,0.011581615057301237,,0.009216726557732728,0.009572569191201873,0.012225814219621399,,0.008165734649211493,
5.25,,,,,,,,,0.008767525333901276
5.300000000000001,,,0.01235065951304986,,,,0.011196488056171287,,
5.300000000000001,0.015605198449450377,0.017562285127874826,,0.01250296630280019,0.0144092357299144,0.01717836646755588,,0.011943681018710985,
5.449999999999999,,,,,,,,,0.016346919216225074
5.550000000000001,,,,0.01113634822699844,0.013202468235384438,0.015309438618399882,,,
5.550000000000001,,,0.010604063783504498,,,,0.009309251668668656,,
5.6,0.0175463885575492,0.02063733731003231,,,,,,0.013490932443427861,
5.6995,,,,,,,,,0.010098801346001258
5.749499999999999,,,0.005055393105720522,,,,0.004157121097668198,,
5.749499999999999,,,,0.005269425045765814,0.006336129131319335,0.007026060568605848,,,
5.8495,0.005851198648854806,0.007499570405957358,,,,,,0.004582711224488146,
5.85,,,0.0019843424151319215,,,,0.0014166656347132614,,
5.85,,,,0.0018179198589734896,0.0021664235537983186,0.0024805382171238116,,,
5.9,,,,,,,,,0.0035508066812170638
5.95,0.0022318881317126317,0.0019647168104054286,,,,,,0.001661293479544414,
6.0,,,0.0021696725086206574,,,,,,
6.0,,,,0.002362448301579768,0.003265229741660589,0.003771952443564559,,,
6.050000000000001,,,,,,,0.002819090312434213,,
6.1,0.003028304617894265,,,,,,,0.002565541829169855,
6.15,,0.005161136819994689,,,,,,,
6.2,,,,,,,,,0.003533743091221004
6.25,,,0.002029270922644342,,,,,,
6.3,,,,0.0025722082853074785,0.0037138689493685464,0.004036202219271906,,,
6.4,0.0032757583074167636,,,,,,,0.0028656099308791913,
6.5,,0.0038345023498493717,,,,,,,
6.550000000000001,,,,,,,0.002759030624249254,,
8.25,,,,,0.0036610878661087866,,,,
9.2,,,0.0026105334885862873,,,,,,
10.3,,,,,,,,0.002850242561788956,
10.5,0.0032120930377823346,,,,,,,,
10.55,,,,,,0.004108657802933599,,,
10.7,,,,,,,,,0.0035634463775104414
10.7,,0.004488206291660107,,,,,,,
10.75,,,,0.0026590785815987523,,,,,
10.95,,,,,,,0.0025392245489331664,,
