value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
8,0.0034209827970139955,,,,,,,,,
11,0.005927588235972817,,,,,,,,,
16,0.009282228196282494,,,,,,,,,
21,0.01183786964497929,,,,,,,,,
30,0.014684842680942877,,,,,,,,,
43,,0.018314819564745576,,,,,,,,
47,,,,,,,,0.004472531918832635,,
48,,0.03583055462383837,,,,,,,,
51,,0.05316378272793639,,,,,,,,
51.1,,,,,,,,,,0.001475772126630389
53,,0.06708857013199693,,,,,,0.00854547632590592,,
55,,0.08313438431032101,,,,,,,,
56.2,,,,,0.0030965088497153116,,,,,
57,,,,,,,,0.01293758811658573,,
57.9,,,,,,,,,0.001492185659310453,
60,,,,,,,,0.017056606555413238,,
60.4,,,,,,,,,,0.002942698466287969
61.58,,,,0.004459704195593118,,,,,,
62,,0.15608290748377168,,,,0.0013489918847038834,,0.020448493002192286,,
62.4,,,0.0017927916410000117,,,,,,,
62.6,,,,,,,0.001605348344748557,,,
66,,,,,0.0061395271434854445,,,,,
66.4,,,,,,,,,,0.004401516167887139
68,,,,,,,,,0.0029974606665095944,
69,,0.23288873981413885,,,,,,,,
70.8,,,,,,,0.0032080563139300932,,,
71,,,0.003600111577307965,,,0.0025997976512172945,,0.03863516990008637,,
71.2,,,,,,,,,,0.005894979868463148
71.4,,,,,0.009194432227465618,,,,,
72.7,,,,0.008942046483549652,,,,,,
73.28,,,,,,,,,0.004450378282153983,
74.8,,,,,,,,,,0.007330945953715894
75,,,,,,,0.00481340465867865,,,
75.1,,,,,0.012201790150605633,,,,,
76,,,,,,0.003807913801126152,,,,
76.2,,,0.005381280582061623,,,,,,,
77,,,,,,,,,0.00594910861540878,
77.7,,,,,0.015244808444375766,,0.006437235632396352,,,
78,,0.3034054811277943,,,,,,,,
78.4,,,,0.013431934802293993,,,,,,
79.1,,,0.007211845790862283,,,,,,,
79.5,,,,,,,0.008013539845907683,,,
79.7,,,,,,,,,0.007421660252886202,
80,,,,,,0.005199595302434589,,,,
81,0.029110082957390593,,0.00894361859156894,,,,,0.05813202471913689,,
81.1,,,,0.01789163899788711,,,,,,
82,,,,,,0.006318063257473885,,,,
82.7,,,,0.02229852097796559,,,,,,
84.2,,,,,0.03044801312301639,,,,,0.014694326459665423
84.7,,,,,,,0.01605084307191855,,,
85.7,,,,,,,,,0.014908767245215844,
85.9,,,0.017489161891700276,,,,,,,
86.4,,,,0.0448988831874434,,,,,,
86.6,0.043898766600131534,,,,,,,,,
87,,,,,,0.013097174374276944,,,,
87.2,,,,,0.046102915829638526,,,,,
87.3,,,,,,,0.024238647705249593,,,0.02196408905348605
87.9,,,,,,,,,0.022487499672766302,
88,,,0.027327723474238428,,,,,0.07912586671536552,,
88.1,,,,0.0669408391186236,,,,,,
88.8,0.058978781830139264,,,,,,,,,
88.9,,,,,0.06155574310268998,,0.03235516219827108,,,
89,,,,,,0.02137895999556028,,,,0.029656237975258334
89.2,,,0.03541998396076198,0.08850739511017205,,,,,0.03025602764470274,
90,0.07275213162418802,0.3784602332142928,0.04367786701379607,0.11014186537881075,0.07603385357851819,0.029122856447626244,0.0399383208267544,0.09576948240432727,0.03699704180737716,0.03650361424112731
93.7,,,,0.2920691216420163,,,,,,
94,,0.5072953455793856,,,,,,,,
95.2,0.2613157803648279,,0.23534966701147153,,,,,,,
95.5,,,,,0.26673957231328826,,,,,
95.8,,,,0.4671747660730456,,,,,,
95.9,,,,,,,,,0.23524830492944843,
96,,0.6720645975968274,,,,0.3337559605377184,,0.3207171464928028,,
96.3,,,0.4268180708748358,,,,,,,0.23642208557119457
96.9,0.446017122220812,,,,,,,,,
97,,0.8100595860544956,0.6399481630423413,,,0.49599357948166267,,,,
97.3,,,,,,,0.23498286396257004,,,
97.5,,,,0.649962269846061,0.4473593495548397,,,,,
97.6,,,0.8097490672834412,,,,,,,
97.8,,,,,,,,,0.42868923270242676,
97.9,0.6380363674123987,,,,,,,,,
98,,0.9518921531874593,,,,0.7198067014160145,,0.5787870131545549,,0.43161469521103835
98.7,0.8222271578728756,,,,0.651942895859831,,0.4361319554093374,,,
98.9,,,,0.8322064594023544,,,,,,
99,,,,,,0.9461299728067142,,0.8180444337962238,0.6297808843163434,0.8926497407447268
99.3,,,,,0.8239269200137886,,0.6533477321814255,,,
99.7,,,,,,,0.844038296007224,,,
99.9,,,,,,,,,0.8281892196130789,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
