value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
105.4995,,0.011540100385396062,,,,,,0.0075377338214603715,
105.9995,,,,0.012558385214816045,,,,,
107.9995,0.014943760042849492,,,,,,,,
107.9995,,,,,,,,,0.013881500673875296
108.9995,,,,,,0.01351696504824922,,,
109.4995,,,0.012121168736225436,,,,,,
111.9995,,,,,0.012889837462127152,,,,
113.4995,,,,,,,0.020645479210037634,,
123.0,,0.011216100870033992,,,,,,0.00859971716566037,
123.5,0.014703948970151435,,,0.00947616023613246,,,,,
124.0,,,0.01291039587525916,,,,,,
125.5,,,,,0.012217047497607731,,,,
126.0,0.016415493986463456,0.011612251537976691,,0.01119136502208796,,,,0.00799919086983299,
127.0,,,0.011907307867485005,,,,,,
127.0,,,,,,0.008861653643235132,,,
127.5,,,,,,,,,0.01704016909509076
127.5,,,,,0.0062164883545966785,,,,
127.5,0.011351463212737984,,,,,,,0.00593843747573061,
128.0,,,,,,,0.01985862791528121,,
128.0,,0.018979837156209968,,0.019249068705129196,,,,,
128.5,0.014137897453376833,,,,,,,0.007466393103610201,
129.0,,,0.020622809380170356,,0.020460997502039963,,,,
129.0,,,,,,0.017948789579126326,,,
129.5,,,,,,,0.017405536685380404,,0.011415780906876652
130.5,0.07332619175147295,,,,,,,0.04351241960623536,
130.5,,0.061663369948908815,,0.0622340393962954,,,,,
130.5,,,,,,0.01529089211171151,0.026307856420644118,,0.016738900130990424
131.0,,,0.03997677059350418,,0.04052650360601783,,,,
132.0,,,,,,0.05206845083687853,0.08922360031587595,,0.059264080719657365
132.5,0.039958367823927546,,,,,,,,
133.0,,,,,,,,0.06088523897334386,
133.0,,0.08184391119146057,0.07886634053629864,0.08007454315609551,0.0777549726224489,,,,
133.5,,,,,,0.040876148363357734,0.06609834732842412,,0.04804083561137325
134.0,0.11044334615571895,,,,,,,,
134.5,,0.05670399921586672,0.0569764726199925,0.05548202793785696,0.05830997888439605,0.053688730674371646,0.07768368237322526,,0.06102784079662363
134.5,,,,,,,,0.044765848927451,
135.4995,0.12786069046111895,0.12298095890243123,0.12529204535997973,,,,0.16073282765174848,,0.13181943926727063
135.9995,,,,0.19043125431521388,0.213651726638164,0.19209295457629283,,0.16966538494187086,
136.5,,,,,,,0.08245985837812123,,
137.0,0.1433717193358329,0.14603529416569444,0.15214903328623622,,,,,,0.14795670257364194
137.5,,,,0.07523952528196028,0.08923331492252687,0.07580994037689465,,,
138.0,,,,,,,0.1424075946478216,,
138.0,,,,,,,,0.15071765149969024,
139.0,0.12621366314456833,0.13773246624891602,0.1405862293286469,0.14231253919549575,0.16280835259649196,0.14182237582510557,,,0.1312622568860083
139.5,,,,,,,,0.07456278976522583,
140.0,,,,,,,0.09868738897647451,,
141.0,0.09017139796464917,0.10650463060651892,0.10524907632685457,0.11231524949602259,0.11064894683368223,0.1097739589901586,,0.12223915937155148,0.10386840763883529
143.0,,,,,,,0.10527230107451187,,
143.5,0.08442323611043483,0.09865376840024559,0.09692908319903647,0.10201017252942259,0.08518066456192509,0.10607844389282207,,0.1195842010110515,0.10564418243022229
145.4995,0.04312703900277548,,0.0492685331918332,0.04826115427149298,,0.053511138426173506,,0.06009687888874641,
145.9995,,0.06656828698189006,,,0.0529094756556861,,0.04637937700225553,,0.07471079831469601
146.5,0.016263329600233724,,0.017256514032046918,,,0.020047969861198688,,0.021571085155531796,
147.0,,,,0.03088951271961842,,,,,
147.5,,0.014348549966034504,,,0.011535165776811022,,0.00998892390421306,,0.016445140363403058
148.0,0.024806446900715783,,0.02620019345907875,,,0.030940959556857456,,0.033556325754360364,
149.0,,,,0.01818473170992267,,,0.013660896613076378,,
149.5,,0.025781104293810385,,,0.021986139617555273,,,,0.031069150388480772
150.0,,,,,,,,0.021189096248561898,
150.4995,,,,0.013393236909940869,,,0.010446501208378775,,
150.5,0.022401032283196183,,0.02227553333231921,,,0.028452672663564455,,,
151.4995,,0.008373617726857518,,,0.009632715775788198,,,,0.013401512832766289
151.9995,,,,,,,,0.02094978877729234,
152.0,,,,0.0072426352034406965,,,0.005580626426735686,,
152.4995,,,0.010586560410326526,,,0.013900085403912616,,,
152.5,,0.004092195559573028,,,,,,,
152.9995,0.013758095145347421,,,,,,,,
153.0,,,,,0.005475510217997586,,,,0.007328375060937129
153.5,,,0.0037788052246478677,,,0.004810954049502342,,0.004402354424298468,
154.0,,0.005784344288964005,,0.0038062906668724123,,,0.003137186331041851,,
154.5,0.002703656814529873,,,,,,,,
155.0,,,,,,,,,0.003810767046401728
155.0,,,0.005597070016616721,,,0.0071835066686886904,,,
155.5,,,,,0.004268579572187408,,,,
155.5,,,,,,,,0.007369767068040984,
156.5,0.0047791790427034134,0.004796009632859541,,,,,,,
157.5,,,0.005562172217951964,,,0.006630775738903478,,,
172.5,,0.004789202920351935,,,,,,,
173.0,,,,,0.004293581901949954,,,,
177.5,,,,,,,0.004023387536752371,,
177.5,0.004840044797195306,,,,,,,,
178.0,,,,,,,,,0.005274159262849212
178.5,,,,,,,,0.007390537150453059,
179.5,,,0.005887885005489692,,,0.006692633712994963,,,
182.5,,,,0.005648108032183335,,,,,
