value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucsf_probability,umn_probability,upenn_probability
0.008499999999999999,,,,,,0.19327221248483215,
0.0145,,,0.14282537388113636,,,,
0.039,,,,,,0.18935264546697742,
0.09,,,0.14265858675710236,,,,
0.1615,,,,,,0.19046977021899497,
0.8049999999999999,,,0.14168566186690387,,,,
0.9964999999999999,,,,,,0.19085498565072517,
3.9995,,0.07228600659315676,,,,,
5.3495,,,,0.07173044303251588,,,
5.4995,,,,,,,0.06335779024600777
5.4995,0.06453641967543088,,,,,,
5.875,,,0.14221382109301162,,,,
9.0,,,,0.10562631170399334,,,
9.9995,,,,,0.17551972612572816,,
10.5,,0.07244515175628055,,,,,
11.0,0.06079830347033769,,,,,,
12.0,,,,,,,0.04807941303409581
14.2,,,,0.036914584710922,,,
16.5,,0.06989882914629987,,,,,
17.0,0.05023093650593965,,,,,,
18.5,,,,,,,0.05610703495899871
20.865,,,,,,0.19085498565072517,
23.549999999999997,,,,0.07124169853089153,,,
24.5,0.057617310353503585,,,,,,
25.0,,,,,0.04952927859529003,,
25.0,,0.06864840286461293,,,,,
25.15,,,0.14201923611497191,,,,
26.0,,,,,,,0.04989210185584808
34.35,,,,0.07129919788402381,,,
34.5,0.0566648095897058,,,,,,
35.0,,,,,0.042986113028353715,,
35.0,,0.06224849380470615,,,,,0.05213638325420803
46.7055,,,,,,0.00904293225986633,
54.9995,,0.13106740934409458,,,,,
57.9995,,,0.057847334185800854,,,,
59.9995,,,,,0.1631097981833743,,
60.099500000000006,,,,0.12871230198660266,,,
62.899,,,,,,0.009033301874073075,
64.4995,0.14388153047103858,,,,,,
65.9995,,,,,,,0.14812257229175657
89.3325,,,,,,0.00904293225986633,
112.5,,0.13138569967034217,,,,,
120.5,,,0.05765274920776116,,,,
129.06,,,,0.12842480522094127,,,
130.0,,,,,0.13459043096546203,,
136.927,,,,,,0.009033301874073075,
148.0,0.14017935769099438,,,,,,
166.0,,,,,,,0.14475615019421667
180.97699999999998,,,,,,0.0018105125291319171,
197.187,,,,,,0.006163446907683122,
282.5,,0.13015800841195863,,,,,
293.96,,,,0.1297760400195498,,,
320.0,,,,,,0.0010689728230512915,
321.5,,,0.057763940623783844,,,,
330.0,,,,,0.14190662875127688,,
397.0,0.14212030264363892,,,,,,
504.7,,,,,,,0.14527406128614587
875.0,,,,0.1276485639536555,,,
965.0,,0.13087416164601567,,,,,
1088.5,,,0.057597153499749816,,,,
1116.0,,,,,0.14596504790038928,,
1232.0,0.1418686986682961,,,,,,
1557.7095,,,,0.025730960526694074,,,
1706.2,,,,,,,0.14613724643936124
1812.4995,,0.026224849380470615,,,,,
1981.5994999999998,,,0.011563907266359037,,,,
2054.9995,,,,,0.0293062035835565,,
2104.79,,,,0.025730960526694074,,,
2183.9995,0.02846719263878655,,,,,,
2505.9,,0.02616801182221212,,,,,
2742.1,,,0.011591705120364709,,,,
2830.0,,,,,0.029292399436790812,,
2917.2,0.028377334076164117,,,,,,
2997.2799999999997,,,,0.025702210850127936,,,
3049.1994999999997,,,,,,,0.029261976694000862
3547.9,,0.026213481868818916,,,,,
3947.3,0.02841327750121309,,,,,,
3996.3999999999996,,,,,,,0.02917565817867933
4004.9,,,0.011480513704342025,,,,
4032.0,,,,,0.02923718284972806,,
4755.4800000000005,,,,0.025730960526694074,,,
5247.5,,,,,,,0.029261976694000862
5251.0,,0.026190746845515516,,,,,
5526.5,0.02841327750121309,,,,,,
5808.0,,,,,0.029278595290025123,,
5833.5,,,0.011536109412353366,,,,
6908.8,,,,,,,0.02917565817867933
7975.280000000001,,,,0.025730960526694074,,,
8156.5,,0.026190746845515516,,,,,
8249.9,0.02843124921373758,,,,,,
8427.1,,,0.011563907266359037,,,,
8431.0,,,,,0.029278595290025123,,
8929.5,,,,,,,0.029261976694000862
