value,emory_probability,mimic_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
2,,,,,,,,0.312300604799423
2.5,0.1286027901706678,,,,,,,
3,0.20756320373911197,,,,,,,
4,,,,,,,,0.5244080985232562
5,0.34792153530203246,,,,,,,
6,,,,,,,,0.6507356661127011
15,,,,,,,,0.7022460502952829
27,,,,0.10224368077250781,,,,
28,,0.10041638179352394,,,,,,
30,0.4092486367820976,,,,,,,
33.5,,0.2012866925947927,,,,,,
33.9,,,,,,0.10032090355662711,,
35,,,,,,,0.2046797943408765,
37.2,,0.30190201858306903,,,,,,
38,0.5057007294100985,,,,,,,
40,0.6111465193683167,,,0.2679920477137177,,0.2048341523261945,0.6580509017989344,0.8617701689432006
40.3,,0.40197935463624035,,,,,,
43.3,,0.5006024366460811,,,,,,
44,,,,0.3051405850610622,,,,
45,,,,,,,0.7925920744290161,
46.5,,0.6000801380840833,,,,,,
46.9,,,,,,0.30066862464907246,,
48,0.7000212449543234,,,,,,,
50,,,,0.5373473445044021,0.743064378776908,,0.9290919053781493,0.94826633184682
50.2,,0.7010541240290963,,,,,,
52.1,,,,,,0.4002938269141826,,
55,0.807874796402521,0.800789612311003,,0.6134052825901732,,0.5051763026261752,,
60,0.9398767792649246,,0.24846570397111914,0.8026696961090599,0.8915961947438648,0.9225918954038371,,
62.7,,0.900093587832461,,,,,,
65,,,,,0.9308574425484955,,,
70,,,0.3624548736462094,0.9361545015620563,,,,
75,,,0.46263537906137187,,,,,
80,,,0.6978339350180506,,,,,
85,,,0.7586642599277978,,,,,
90,,,0.9067689530685921,,,,,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
