value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.4945,,,,0.20380932296808948,,,,
0.9995,0.347685592350176,0.31333497112064707,0.3569554946496195,,0.384977676787531,0.3117903764420158,0.38563280750471385,0.31297387778949015
1.1949999999999998,,,,0.0963350204013816,,,,
1.7,,,,0.21251385920011248,,,,
2.5,0.13023984514144543,0.12696501098830673,0.11691298699001,,0.10977739426443557,0.13059856304391823,0.14756507688017026,
2.5,,,,0.09205104978448345,,,,
3.0,,,,,,,,0.21256476548162184
3.5,0.1161689596398419,0.15549989452293658,0.10635530280361323,,0.11452013193050968,0.13871559400930986,0.1400910199901926,
4.5,0.0645685925284283,0.05258899460331278,0.03979420015830757,,,0.07787517708965797,0.05791045750567189,
4.5,,,,0.11377764251411482,,,,
5.0,,,,,,,,0.12659991076730548
5.0,,,,,0.1405044808422126,,,
5.5,,,,,,0.07703400121432909,,
6.0,0.04452920023629483,0.053108369004163006,,,,,,
6.5,,,0.10357530494207312,,,,0.07689507295579363,
7.5,,,,,0.05201567700784714,,,
7.5,,,,0.08188111282587093,,,,
8.0,,,,,,0.08022287998380895,,
8.5,,0.13897203923212698,,,,,,
10.5,,,,,,,,0.05162143279998797
12.5,,0.09539799566876464,,,,,,
17.0,,,,0.10164784691135544,,,,
18.5,0.13678583056011007,,,,,,,
19.0,,,0.08860223953673882,,,,0.09260535319034788,
24.5,,,,,0.12358009464955688,,,
25.0,,,,,,0.09278739121635296,,
27.5,,,,,,,,0.1598680285818063
35.0,0.07533591725556228,,,,,,,
37.5,,0.06413272485974221,,,,,,
40.0,,,0.13756527879593938,,,,,
42.5,,,,0.0979841453945918,,,,
45.0,,,,,,,0.09930021197310986,
45.0,,,,,,,,0.0866826355819699
50.0,0.08468606228814121,,,,,0.09097601700060716,,
50.0,,,,,0.07462454451790716,,,
55.0,,,,,,,,0.0496893489978184
55.0,,,0.050239192123698366,,,,,
