value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
3.3495,,0.1021927732489508,,,,,,
3.4995,,,,,,0.1357806830044241,0.10386041550261593,
3.7495,,,0.10957226160624794,0.10389802896476823,,,,
4.149500000000001,0.10814812404412483,,,,,,,
4.2995,,,,,0.10272026105454962,,,
4.4995,,,,,,,,0.1826532799879218
6.85,,0.11518037777291366,,,,,,
7.5,,,,,,0.15958902326153904,0.12896073551074314,
7.5,,0.14446290277073115,,,,,,
7.75,,,,0.09740083892641364,,,,
7.85,,,0.10301903192638334,,,,,
8.35,,0.038284649322025535,,,,,,
8.5,,,,,,,,0.12355099267758737
8.5,,,,0.12524817883414027,,0.14404187881843597,0.13263913580874012,
8.55,,,0.10008868766982275,,,,,
8.65,0.11870568625962202,,,,,,,
9.1,,0.10316953220584309,,,,,,
9.2,,,0.09069227027479045,,,,,
9.3,0.080342325339234,,,,,,,
9.3,,,,,0.13697920465896624,,,
9.4,,,,,,,0.03810382485904404,
9.5,,,,,,,,0.11561826828715936
9.5,,,,0.1285334751023003,,0.12248347169060993,,
9.75,,,0.1132422586735481,,,,,
9.8,0.1547387907252539,,,,,,,
10.25,,0.15436713737507418,,,,,,
10.4,,,,,,,0.18509591777992246,
10.5,,,,,,,,0.10661746810598625
10.5,0.14056020160605107,,,0.09457804965999678,,0.09355981792229742,,
10.5,,,,,0.1809532599812129,,,
10.5,,,0.09397241848802246,,,,,
11.5,,,,,0.1666664185536899,,,
11.5,,,,,,,,0.09093403789537254
11.5,0.10987819031813695,,,0.09398797909382835,,0.07781502022691067,0.08154535141633226,
11.5,,0.06537073189864481,,,,,,
12.0,,,0.1373634203995774,,,,,
12.275,,,,,0.012735639096848916,,,
12.5,,,,0.08619733727093788,,,0.06656761653206007,
12.785,,,,,0.10000640131480029,,,
13.0,0.13298551227678168,,,,,0.10747010938391363,,
13.0,,,,,,,,0.14635790745074356
13.0,,0.10501170972039642,,,,,,
13.5,,,0.05263195088139997,,,,,
14.0,,,,0.11344320428271507,,,0.10023281014544284,
14.01,,,,,0.1341388073010717,,,
14.5,,,,,,,,0.054747731561863064
15.0,0.07451216469797056,,,,,0.07250205346342942,,
15.5,,0.09298821183523139,0.10489760873072987,,,,,
16.0,,,,,0.07727429038448083,,,
16.0,,,,0.06663521524035398,,,,
16.05,,,,,,,0.06301958991551108,
16.5,,,,,,,,0.10428118064467426
29.0,,,,,,,,0.07523913338869177
32.5,,0.07897197385018896,,,,,,
33.0,0.08012900473282498,,,,,0.08675794222843981,,
33.5,,,,,0.08852571765437961,,,
33.5,,,0.09452009134947771,0.09007769262454551,,,,
33.55,,,,,,,0.09997460252958805,
