value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
4.9995,0.1275193247024233,0.2830608146873207,,0.2577100479334358,,0.37421032274700244,0.139728832066973,0.23246242514933516
7.4995,,,0.16460664391645244,,,,,
7.9995,,,,,0.20416807861741781,,,
11.0,0.1925514930209766,0.1928427997705106,,0.21317315325635847,,0.18021831621470627,0.20001364939260202,0.0881413112200933
12.5,0.09158881459350943,,,,,,,
13.0,,0.10936603557085485,,0.13889642559263612,,0.06197086252095062,0.1202329496337413,
13.5,,,,,,,,0.27534791980451556
13.5,0.1260176095856847,,,,,,,
14.5,0.09680529868323295,,,,,,,
14.5,,0.1394865174985657,,0.10096168339814898,,0.1647470884008767,0.05122617043541562,
15.5,,,,0.09057610563443973,,0.037539215264944775,,
15.5,,,,,,,,0.04020759235345381
15.5,0.10723826686268001,,,,,,,
16.0,,,0.048059065167470244,,,,,
16.0,,0.0937320711417097,,,,,,
16.5,,,,,,,0.1257882524227672,
16.85,0.058408814277358875,,,,,,,
17.0,,,,,,,,0.11860153448440006
17.5,,,,,,0.08393141089002536,,
18.0,,,,0.1388612543084823,,,,
18.5,,,0.1671042880799246,,,,,
18.5,,0.14120768789443489,,,,,,
18.85,0.13482240242803623,,,,,,,
19.0,,,,,0.18979224773870657,,,
19.0,,,,,,,,0.10501673383799301
20.0,,,,,,,0.06538969015878793,
20.5,,,,,0.006992414566118395,,,
20.75,,,0.02053923497067784,,,,,
21.5,,,,,0.10117821859604306,,,
22.0,,,,,,,,0.057483357703790317
22.75,,,0.11454397409037263,,,,,
23.0,,,,,0.13525402080129292,,,
24.0,,,,,,,0.10787569953137086,
24.5,,,0.10360191394563735,,,,,
25.0,,,,,0.12069572244089356,,,
26.5,,,0.13179876124168596,,,,,
27.0,,,,,0.08599431744128457,,,
29.0,,,0.10534020109237624,,0.09881917472564711,,,
30.5,,,,,,,0.09205150370808499,
31.25,,,0.04545163444736192,,,,,
32.5,,0.040304073436603555,,,,,,
56.25,,,0.09895428304804077,,,,,
59.5,,,,,,0.09738278396149383,,
60.0,,,,0.05982132987649855,,,,
60.0,0.06504797584609791,,,,,,,
60.7,,,,,,,,0.08273912544641876
65.0,,,,,0.057105805072595994,,,
67.5,,,,,,,0.09769325265025706,
