value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.0995,0.713506139154161,,,,0.4271362723082378,,,
0.2495,,,,,,,0.3190650289610976,
0.30000000000000004,,,,,0.10459756529960998,,,
0.44999999999999996,0.10010231923601637,,,,,,,
0.5,,,,,0.0901784659023756,,,
0.7,,,,,,,0.09263443289652055,
0.75,,,,,0.10471575463893157,,,
0.95,,,,,,,0.15738405291048763,
0.95,,,,,0.07339557971870937,,,
1.15,,,,,,,0.042648810746415806,
1.15,0.0871418826739427,,,,,,,
1.45,,,,,0.10022455974471103,,,
1.65,,,,,,,0.11545002670172123,
1.9495,,,,,,,,0.10259878526759694
2.3994999999999997,,,0.10398478582733446,,,0.11178756767685845,,
2.4995,,0.33607727578212304,,0.3750215217634839,,,,
2.5,,,,,,,0.07289159101178984,
4.3,,,,,,,,0.11295460744096282
4.45,,,,,,,0.10068602883785893,
4.85,,,,,,,,0.1545024982728759
4.9,,,0.4148159493541635,,,0.44496049054859194,,
5.05,,,,,,,,0.034568786610531095
5.05,,,,,,0.09000445759783954,,
5.1,,,,0.03136876912053616,,,,
5.15,,,0.1012880263148298,,,,,
5.199999999999999,,,,,,0.05336702347155828,,
5.35,,,,,,,,0.10043901486780406
5.5,,0.12135383734386371,,,,,,
5.85,,,0.08029195749367292,,,,,
6.1,,,,0.10874787319865659,,,,
6.3,,,,,,,,0.09677017412456614
6.6,,,,,,0.11561377102135745,,
7.0,,0.12051872442466685,,,,,,
7.3,,,0.10405954386655872,,,,,
7.5,,,,,,,,0.10487208206019945
7.5,,,,0.17674837543579222,,,,
8.05,,,,0.01252886171862841,,,,
8.15,,,,,,0.08636980089790446,,
8.5,,0.044117822502714114,,,,,,
8.85,,,,,,,,0.09676740518815616
9.05,,,,0.15495444152809407,,,,
9.1,,,0.1013864881225886,,,,,
9.5,,0.10848116820367211,,,,,,
10.85,,,,,,,,0.11863784942246909
11.0,,0.11127680811888827,,,,,,
11.0,,,,0.06249844930525116,,,,
13.0,,0.06100301038323729,,,,,,
18.95,,,,,0.09975180238742465,,,
20.8,0.09924965893587995,,,,,,,
27.95,,,,,,,0.09924002793410837,
29.2,,,,,,0.09789688878588987,,
29.5,,,,,,,,0.07788879674483835
30.0,,,0.09417324902085203,,,,,
31.0,,,,0.07813170792955748,,,,
32.0,,0.09717135324083463,,,,,,
