value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
4.9995,,,,,,0.10036566579310777,,
5.4995,,,,0.1345563254595651,,,,
5.9995,0.13154102201725676,0.1032368758805597,0.17305508789788968,,0.15053885165730846,,0.2335947966545092,
6.4995,,,,,,,,0.10992223644978238
11.0,,,,0.0836848197929511,,0.1741984620907416,,
13.0,0.11153674501636418,0.11234653902237433,0.1653364058908086,,0.10671328790074262,,0.15185017700897793,
13.0,,,,0.23703020858137785,,0.12752055522556038,,
14.0,,,,,,,,0.09220419042315857
14.5,,,,,,,0.024094493069672367,
15.0,,,,0.17092214800861014,,0.19108193738188897,,
15.0,0.286187146682535,0.2014877399210212,0.2033551097115562,,0.34413913919579786,,,
15.5,,,,,,,0.20939676072865995,
16.0,,,,,,,,0.10560249850357269
16.5,,,,,,0.007650198410345583,,
17.0,0.15498317093127045,0.12447782389477857,0.12129517246779688,,,,,
17.0,,,,0.12070559777060529,,,0.12060629625090336,
17.5,,,,,,0.10046807808775764,,
18.0,,,,,0.15931641686288717,,,
18.0,,,,,,,,0.10999330757971601
19.0,0.1288748698304076,0.1273538522877193,0.11910122100600155,,,,,
19.0,,,,,,0.10300898101922872,,
19.0,,,,0.10123140108121871,,,0.09751835244297748,
19.5,,,,,,,,0.1073515416768173
21.0,,,,,0.039723329107045825,,,
21.0,,0.07119290221279474,0.04794671872115982,,,,,0.08395540573281335
22.0,0.10863582267182387,,,,,,,
22.0,,,,0.07844423330370552,,,0.0862265461343296,
23.0,,0.07451467020869125,,,,,,
23.0,,,,,,0.11126395098008567,,
23.5,,,,,,,,0.11863745043188713
24.0,,,0.09272206592201894,,,,,
25.0,,,,,0.12606411881905452,,,
26.0,,0.1042089913965537,,,,,,
26.5,,,,,,,,0.10421987834169319
30.0,,,,,,,,0.08746655956660745
112.0,0.07824122285034216,,,,,,,
112.0,,,,0.07342526600196628,,,0.07671257770997011,
113.0,,,0.07718821838276832,,,,,
113.0,,,,,,0.08444217101128368,,
114.0,,,,,0.07350485645716355,,,
114.0,,0.08118060517550717,,,,,,
116.0,,,,,,,,0.08064693129395192
