value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
16.9995,,0.01128124311044509,,,,
17.4995,,,,0.006161340192068509,,0.009640939311300648
17.9995,,,,,0.012193816354523268,
18.4995,0.009019469988686126,,,,,
19.9995,,,0.008592474392644774,,,
35.5,,0.010126520746538557,,,,
36.5,,,,0.004368524487365579,,0.008196827074916275
37.5,,,,,0.010138173105063944,
38.0,,0.011035440415030514,,,,
39.0,,,,,,0.009124168562890585
39.0,0.010255823427858784,,,,,
39.5,,0.007326961036030846,,,,
39.5,,,,0.00790542576067648,,
40.0,,,,,0.01112670118774714,
41.0,,,,,,0.013194033903573259
41.0,,0.018635719373574583,,,,
41.5,,,,0.0036819584226168273,0.007372131366776743,
42.0,0.009250949581928462,,,,,
42.0,,,0.010634898015069798,,,
42.5,,0.011644558754926803,,,,
42.5,,,,0.004271819721161628,,0.008500301754260706
43.0,,,,,0.018851116729253478,
43.5,,0.013373776131297161,,,,
43.5,,,,0.005063967747449459,,0.00991380487570943
43.5,0.006144905917551093,,,,,
44.5,0.007087215631398298,,,,,
44.5,,,,,0.011810584522185936,
44.5,,,,0.0059390325556973175,,0.011470210270282786
44.5,,0.0152213089841917,,,,
45.0,,,0.009291508619322524,,,
45.5,0.00857120914073513,,,,,
45.5,,,,,0.013695796026264858,
45.5,,,,0.007010528920296952,,0.013089554313365509
46.5,,,,0.007778878508026779,,
46.5,0.009434871200229386,,,,,
46.5,,,,,0.015399833952838884,
47.0,,,0.011660219690089466,,,
47.5,0.010743331148334248,,,,,
47.5,,0.10174488959113863,,,,
48.5,,,,,,0.09017778591153479
48.5,0.012585317698815806,,,,,
48.5,,,0.008395290274766732,,,
49.0,,,,,0.08301375717221948,
49.5,,,,0.05655056743221459,,
49.5,,,0.016159448420539135,,,
50.5,,,0.020805113385335024,,,
51.0,0.0840701869520925,,,,,
52.0,,0.10616131283403056,,,,
52.5,,,0.07529717219033852,,,
52.5,,,,,,0.07062365103945902
53.0,,,,,0.11095641719247402,
53.5,,,,0.048074356899139005,,
54.5,0.08734345307528489,,,,,
55.0,,,0.07306640959170736,,,
55.5,,0.08557866184966757,,,,0.07755776251814235
56.5,,,,0.05738936795313596,,
56.5,,,,,0.09162599112868423,
57.0,,,0.07601068028520667,,,
57.0,0.0656019169711634,,,,,
58.5,,0.08511743785542651,,,,0.0800916882776337
59.0,,,0.07231484058419034,,,
59.0,,,,,0.05899202560724995,
59.0,0.06442389515821338,,,0.04305628614033712,,
60.9995,,0.08223292488125174,,,0.08369260901651818,
61.4995,0.11775408463749665,,0.12543715325816154,,,0.10502800949068941
61.9995,,,,0.1143184438843207,,
64.0,,0.09853134035957586,,,0.10131097072898665,
64.5,0.08124471994893905,,0.08396174788933923,,,0.07458039885468865
66.0,,,,0.09747330466817705,,
67.5,,0.06372538060724502,,,0.06537443091750061,
68.0,0.09876313866012408,,0.10050100133257867,,,0.08928123274877092
69.5,,,,0.0722001184255633,,
71.5,,0.08557453456560278,,,0.08970803500623326,
72.0,0.08167512731762401,,0.08091732160175688,,,
72.5,,,,,,0.09302059850066949
73.5,,,,0.11035279296397275,,
77.0,0.08939968137695882,0.07192812839246986,0.08725517831671593,,0.07714408466672149,
77.5,,,,,,0.0716485904430888
78.0,,,,0.07669594567156456,,
80.9995,0.03465321848210643,0.027670688131753912,0.033622617116599966,,0.03043604291190224,0.03543399316405991
81.4995,,,,0.0666356279624098,,
83.5,0.027412863093210706,0.021770391620787893,0.026280345425118506,,0.024459710801926486,
84.0,,,,,,0.03690452099494964
84.5,,,,0.04170317491946778,,
87.0,0.027335908441201952,0.021852249421406365,0.02619368090570677,,,
87.5,,,,,0.03012732505259205,
88.0,,,,,,0.02759436800887277
88.5,,,,0.05465915819634278,,
92.0,0.02557818723466998,,0.024494252221448395,,,
92.5,,0.02384721803283782,,,,
93.5,,,,,0.025301247494088297,0.030687286457516807
95.0,,,,0.055222576785378695,,
95.4995,,,0.0059731509745067825,,,
95.9995,0.008910271337485703,,,,,
96.4995,,0.004846004725969548,,,,
97.0,,,0.004931479189123871,,,
97.4995,,,,,0.005234746368771569,0.006477447856440814
97.5,0.002448773981570592,0.0021043416391485735,,,,
98.5,,,,,0.0022490361601615956,0.002801271647436329
98.5,0.0021428022851837825,0.0018938501518439273,0.002090401815130285,,,
99.4995,,,,0.009516353399257526,,
99.5,,,,,0.0018969516477391458,0.002316902116709903
99.5,,0.0015527759826002875,0.0017421355299066302,,,
100.0,0.0034504926867685555,,,,,
100.5,,,,0.004017780833379766,,
100.5,,,,,0.0016865075760065485,
101.0,,0.0026025965431932317,0.002815346052766184,,,
101.0,,,,,,0.003976102524907899
101.5,,,,0.003610940859935801,,
102.0,0.0027573621361256994,,,,0.0029070033271327536,
102.5,,,,,,0.0017178738521671504
103.0,,,,0.0062846765442778445,,
103.5,,0.003037451778131425,0.0032282086756544623,,,
104.0,,,,,0.0023930326160757787,
104.5,0.003165452655728127,,,,,0.004288788612376993
105.0,,,,0.005240945024662548,,
106.5,,0.002253726392938309,,,0.002801541696497879,
107.0,,,,0.00428825197635644,,
107.0,,,0.0029253295820402528,,,
107.5,,,,,,0.0032242795800716166
108.0,0.0029034990202903253,,,,,
109.5,,,,0.004984261865929797,,
110.5,,0.0024913891670028682,,,0.0030328305130965893,
111.0,,,,,,0.0029001957191253135
112.5,,,0.0027600415811003445,,,
113.5,0.0028327776950942793,,,,,
113.5,,,,0.005554857761832404,,
117.0,,,,,0.0024950999874891596,0.0032573976388544507
117.5,,0.0023725004565807997,,,,
120.0,,,,0.004771586930879702,,
158.0,,,0.0026425530831349505,,,
158.5,0.0030390931171297517,,,,,
160.5,,,,,0.0025724491652777824,0.00328001397553407
161.0,,0.002464676467361266,,,,
162.0,,,,0.005217146586104545,,
