value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
24.9995,0.0015078643574738323,,,,,
27.4995,,,,,,0.0016921949288558641
27.9995,,0.0017336701434913057,,,,
29.9995,,,,,0.0023894504405407827,
30.4995,,,,0.0015105096867140755,,
31.9995,,,0.0017654981567155402,,,
56.0,0.00161854985369668,,,,,
59.0,,,,,,0.0018387801523462115
60.0,,0.0017557617438253399,,,,
63.0,,,,,0.0025485289440650163,
64.0,,,,0.0017230629928963457,,
64.5,0.0016548697578435108,,,,,
65.0,,,,,,0.0018975813111249214
66.0,,0.0017536798129038078,,,,
66.5,,,0.0015274401335168817,,,
67.5,,,,,0.002498991162677993,
68.0,,,,,,0.0014033828135944066
68.5,0.0016987203548587992,,,,,
68.5,,,,0.0015519460713127853,,
69.5,,0.0020948851583771117,,,,
70.0,,,,,0.002510022006331058,
70.0,,,,,,0.0019248572038011481
70.5,,,0.0017095650144308419,,,
71.0,,,,0.0015348727461772058,,
71.0,0.0016170594040664644,,,,,
71.5,,,,,0.0015303780342850743,
71.5,,,,,,0.0011606237368328898
72.0,,0.0019507692734755061,,,,
72.5,,,,0.000944979770987241,,
72.5,0.0009811865249860937,,,,,
73.0,,,,,0.003671775913704377,
73.0,,,,,,0.002789404939173851
73.0,,,0.0016800016570079346,,,
73.5,,0.0011724740973094513,,,,
74.0,,,,0.0023106539467197154,,
74.0,0.0024189997498397964,,,,,
74.5,,,,,0.0021919458113240056,
74.5,,,,,,0.0016716744503444553
75.0,,,0.002252837329541924,,,
75.0,,0.0028525923509857944,,,,
75.5,,,,0.001353204893330085,,
75.5,0.001486292060194397,,,,0.0024802023630491467,
75.5,,,,,,0.001867508822262184
76.5,,,0.0013818132247299675,,,
76.5,,0.0017067207043403633,,0.0015857090513561782,,
76.5,0.0016886794310341892,,,,0.002780863563131397,
77.5,,,0.0016375727644102433,,,
77.5,,0.0019260174280750699,,0.0017898216125276003,,
78.5,,,0.0018942447533936955,,,
79.0,,,,,,0.017085858880632958
79.5,,,0.002434141006083026,,,
79.5,,,,,0.02006506419890397,
