value,emory_probability,mimic_probability,nu_probability,rush_probability,umn_probability,upenn_probability
32.0995,0.002360054304928488,,,,,
32.5995,,,,0.0019544458068591385,,
32.726,,,,,0.001547433014445249,
32.7495,,,,,,0.0019685491364253536
33.0495,,,0.0019768621655601383,,,
33.0995,,0.001225365518395178,,,,
35.45,0.002362685357665309,,,,,
36.102000000000004,,,,0.0018429755136922677,,
36.599999999999994,,,,,,0.0019256880354767455
36.69,,,,,0.0016065098906124938,
37.0,,,0.0015439927652910427,,,
37.599999999999994,0.002404782201454446,,,,,
37.650000000000006,,0.0013067551100229022,,,,
37.902,,,,0.0019321517482257646,,
38.599999999999994,,,,,,0.001963956875609431
38.731,,,,,0.0014712047871326753,
38.9,,,0.0017811059399607384,,,
38.9995,0.0024337237815594778,,,,,
39.35,,,,0.0018801322780812248,,
39.75,,0.0011371934607984772,,,,
39.95,,,,,,0.0019318110498979754
40.0065,,,,,0.0015436216030796203,
40.049499999999995,0.0022337637735610773,,,,,
40.299499999999995,,,0.0017480203807045019,,,
40.5,,,,0.0018727009252034333,,
40.9,,,,,,0.0019103804994236712
41.0,,0.0012050181204882472,,,,
41.005,,,,,0.001535998780348363,
41.199,,,0.0017121776915102454,,,
42.05,,0.001180149078601998,,,,
42.25,0.011781854155484692,,,,,
42.75,,,,0.009601307918106492,,
42.9995,,,,,,0.009747838958597706
43.1495,,,,,0.007832450356366963,
43.316500000000005,,,0.009465227077221696,,,
43.85,,0.006065785398255098,,,,
45.2,0.01182395099927383,,,,,
45.6495,,,,0.009408092743283915,,
45.748999999999995,,,,,,0.009587109830040427
45.8995,,,,,0.00788009299843732,
45.9995,,,0.008321018152943511,,,
46.2,,0.005957265942751465,,,,
47.3995,0.01162662204401225,,,,,
47.6995,,,,0.009147995392561215,,
47.712,,,,,,0.009580986815619197
47.812,,,,,0.007525631741433853,
47.994,,,0.008511260118666873,,,
48.1,,0.006560905413990419,,,,
49.199,0.011729233100748271,,,,,
49.3,,,,0.009296622450117044,,
49.312,,,,,0.007777184891565347,0.009643747713436802
49.4935,,,0.00874561616339855,,,
49.5,,0.005459885105026485,,,,
56.2145,0.14628390111451395,,,,,
56.5035,,,,0.14422769665217552,,
56.6535,,,,,,0.14614410820591084
57.0145,,,0.1476773937402122,,,
57.0525,,,,,0.14196935625262033,
57.4995,,0.14381993005016763,,,,
66.649,0.14607078584283142,,,,,
67.299,,,,0.14341024783561848,,
67.699,,,,,,0.14655588092573854
68.349,,,0.14109061031828307,,,
68.499,,,,,0.14086976407363647,
69.3,,0.14193666533278168,,,,
74.899,0.14634967743293448,,,,,
75.649,,,,0.14351428677590755,,
76.099,,,,,,0.14620686910372846
76.649,,,0.1440434964819022,,,
76.949,,,,,0.14118611121698366,
77.65,,0.14310098865745607,,,,
83.449,0.1458182047800966,,,,,
84.149,,,,0.14289005313417308,,
84.499,,,,,,0.14586091878892898
84.94900000000001,,,0.14448188014204733,,,
85.299,,,,,0.14178069139002172,
85.9,,0.14171962642177444,,,,
93.999,0.14555773055915133,,,,,
94.299,,,,0.14283060231115075,,
94.4495,,,,,,0.14523943282517415
94.649,,,0.14399111101307982,,,
94.799,,,,,0.1407935358463239,
95.05,,0.14218083410766486,,,,
102.1995,,0.05152187232233896,,,,
102.2535,,,,,,0.044368893249835825
102.4205,,,,,0.0509433243129931,
102.499,0.042254706953346176,,0.04961731036460286,,,
102.5575,,,,0.04793222606175454,,
107.2,,0.05196725425430178,,,,
107.3535,,,,,,0.044529622378393106
107.862,,,,,0.051090063650569804,
107.999,0.04259411275639609,,0.04627566887972297,,,
108.249,,,,0.04712220859807528,,
113.85,,0.05132970245321794,,,,
114.149,,,,,,0.04418520281719893
114.999,,,0.045997198755982974,,,
114.999,,,,,0.05084232191180394,
115.649,0.04184689377913891,,,,,
115.8005,,,,0.046579719837996504,,
123.94999999999999,,0.05081423503957569,,,,
125.34899999999999,,,,,,0.04434133968494029
126.04899999999999,,,0.04610472682356574,,,
126.249,,,,,0.05102526965735412,
127.8005,,,,0.04721881618548657,,
128.2485,0.042204716951346574,,,,,
132.34949999999998,,0.010340999780700267,,,,
135.0985,,,,,,0.008887555432414932
135.413,,,0.009390784568895163,,,
135.76,,,,,0.010157411289400465,
137.25,,0.010275435943000157,,,,
138.0485,,,,0.00948983762493962,,
138.998,0.008453572443406056,,,,,
140.848,,,0.009848468138606436,,,
140.9485,,,,,,0.00888908618602024
141.059,,,,,0.010191713991691123,
144.049,,,,0.009504700330695203,,
144.1,,0.010354564712638221,,,,
145.3985,0.008519348761826582,,,,,
148.19799999999998,,,0.008916558219555771,,,
148.548,,,,,0.010157411289400465,
148.92849999999999,,,,,,0.008807956244938946
152.2485,,,,0.009445249507672872,,
153.998,0.008469358759826982,,,,,
156.5,,0.010270914299020838,,,,
160.648,,,0.009379756049143083,,,
161.3705,,,,,0.010138354232572321,
162.5085,,,,,,0.008878370910783088
165.048,,,,0.009512131683572995,,
169.248,0.008377271914038245,,,,,
281.147,,,0.009379756049143083,,,
371.726,,,,,,0.008844694331466325
389.846,,,,0.00938579868465054,,
413.7455,0.00844304823245877,,,,,
419.3175,,,,,0.010134542821206693,
595.9,,0.01026865347703118,,,,
