value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
5.9995,0.012237123121620841,,,,,,,,
6.4995,,,,,,,,0.013224732213166859,
7.2495,,,,0.014662971138089027,,,,,
7.4995,,0.02027601160303554,0.01461468708065413,,,,,,
7.4995,,,,,,,,,0.015239567955814017
8.4995,,,,,,,0.01777557620868205,,
8.9995,,,,,0.02477793533575195,0.022497998900701588,,,
13.15,0.011784965270428877,,,,,,,,
13.5,,,,,,,,0.020825229362150265,
14.0,,0.01699897139490879,0.013677884232173317,,0.0243629644635151,0.02426189217261911,,,
15.0,,,,0.014874084478779973,,,,,0.01677488545168197
15.15,0.019737411733015218,,,,,,,,
15.5,,,,,,,0.009759809727885668,,
15.5,,0.016809288596979572,0.011366353680116055,,0.019463116087487645,0.020088320058852173,,0.013224732213166859,
16.5,0.01602755276778327,0.022997882646491406,0.015884387838254754,,0.02685156197246214,0.026742628326370414,,0.017267388354949193,
16.5,,,,0.01181607638540517,,,0.015408365870940799,,0.01381071645120287
17.5,,,,0.016604795826226548,,,0.022654303063001723,,0.019431341770113957
18.0,0.05181656821811325,0.07091360796729437,,,0.08375413589682204,0.08495946598340184,,0.057141772848454946,
18.5,,,0.09297979262804613,,,,,,
19.0,,,,0.05553744021939066,,,0.07659889773639561,,0.06430870463347785
19.5,,,,,0.060598024591321215,,,,
19.95,0.05178409943624574,,,,,,,,
20.0,,0.11390991763448588,,,,0.13790134319218703,,0.09834157171184334,
20.5,,,0.05582463500791922,0.04463270459181967,,,0.0593304546704842,,0.050801805767080974
21.0,,,,,0.1541358968220352,,,,
21.35,0.05327405575972139,,,,,,,,
21.5,,0.07176486735312305,0.07084911472599689,0.05805825892110632,,0.08633254403985897,0.0735755360385539,0.06820903027485507,0.06594854057198204
21.9,0.053630009812787406,,,,,,,,
22.499499999999998,0.13015652357955093,0.14898272961256903,0.15300738095617658,0.13050775893782818,0.1675942125068292,0.176717444779064,0.15962678299119026,0.139478752573505,0.1446463835969665
23.5,0.08731216208415908,0.07759876999187294,0.08758590875971617,0.08417987692719307,0.08252641142274851,0.08679859640909784,0.09183174017348547,0.07894801757099079,0.08911203468194584
24.5,,0.07135620116246255,0.08437320950156274,,0.0712792275157609,0.07474811227891248,0.08683226733279184,0.07285699376666256,0.08990728370200429
24.55,0.08935408769938237,,,,,,,,
25.0,,,,0.1741517842212635,,,,,
25.5,,,,,0.058544041546196204,0.058239826787352636,0.07402789173384758,,
26.0,,0.1161907376193421,0.13466892599632593,,,,,0.12951964402614777,0.14993982074762496
26.05,0.14827049621919072,,,,,,,,
26.5,,,,0.07388130831744757,,,,,
27.0,,,,,0.08147056837504527,0.07358402631628445,0.10274482132244539,,
27.5,0.05482293690954919,0.044280909428777195,0.04758564619235123,0.06150923046051972,,,,0.05093405185909052,0.05265002940798417
28.499499999999998,,,0.0839727942700299,0.10843282833350056,0.06092459930142478,0.05301920428350196,,,0.09126212835903448
28.6495,0.0882826178977546,,,,,,,,
28.999499999999998,,0.10592319234606778,,,,,0.10318421891188428,0.12271800077798123,
30.0,,,0.049707753145416374,0.061287665964349015,0.033440759224814764,0.027363334845042813,,,0.050779733549381395
30.15,0.053302916899159176,,,,,,,,
30.5,,0.020986936561127982,,,,,0.019808820818257265,0.02396466826690449,
32.0,,,,0.032549078626132905,0.01818751035892525,,,,
32.35,0.03423772920554904,,,,,,,,
32.5,,0.03796894445378294,0.03916473570250367,,,0.020972356615749227,0.03752078450728864,0.04481741159951044,0.03846473443876193
33.4995,,,,0.023807732182870137,0.01352829597981621,,,,
33.8995,0.009010688241971793,,,,,,,,
34.7,0.008619860312085122,,,,,,,,
34.9995,,0.022994798373354348,0.023734214309358743,,,0.012873912979871971,0.02403610835096912,0.026241686511513172,0.022872660182628127
35.0,,,,0.013956473027657937,0.00769660472796695,,,,
36.15,0.010804889077020761,,,,,,,,
36.5,,0.004663420983235434,0.005003783783276897,,,0.0026186709356785035,,0.005113803474350339,
37.0,,,,,,,0.008657192720607335,,0.008842519920176473
37.0,,,,,0.004648164858842379,,,,
37.5,,,,0.01058074980769874,,,,,
38.0,,0.007221825550427095,0.008639404047100833,,,,,,
38.0,0.006897812325630616,,,,,,,,
38.5,,,,,,0.006526823090282494,,0.009965749850570678,
39.0,,,,,,,,,0.005875754188203308
39.5,,,,,,,0.007658829564978716,,
43.5,,,,0.008969181632721314,,,,,
44.0,,,,,0.006215969012234274,,,,
44.5,,0.008160986720662008,0.007359388143020443,,,,,,
44.5,0.008635493429280588,,,,,,,,
45.0,,,,,,0.0037534980051704644,,0.007206762744186488,0.009331354623934853
45.5,,,,,,,0.008967598256310156,,
