value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,upenn_probability
6.0344999999999995,0.006041615850798356,,,,,,,
6.5645,,,,,,,,0.009775427530518474
6.7745,,0.010339196371919825,,,,,,
6.8345,,,,0.011348013006568753,,,,
6.836,,,,,,0.011219256323580836,,
6.9115,,,,,0.007564380666332944,,,
6.9245,,,0.015072950764269092,,,,,
6.9544999999999995,,,,,,,0.009828186998651378,
7.095000000000001,,,,0.009842218973004822,,,,
7.1,0.006304294800833068,,,,,,,
7.109999999999999,,,,,,0.012771010607296887,,
7.115,,0.010151967463776407,,,,,,
7.128,,,,,0.007592190889370932,,,
7.140000000000001,,,,0.013290269078846867,,,,
7.140000000000001,,,0.01281345654336008,,,,,
7.15,,,,,,,0.008988220987067252,
7.15,0.00752387564027994,,,,,,,
7.154999999999999,,0.010942489520381947,,,,0.011175544935307145,,
7.154999999999999,,,,,,,,0.012751148690900193
7.1685,,,,,0.00787029311975082,,,
7.17,,,,0.010518735133011806,,,,
7.175000000000001,,,0.019398820041906857,,,,,
7.18,0.00602285306865302,0.010776063824254466,,,,0.010556300268096515,,
7.1850000000000005,,,,,,,0.012792429002408812,
7.1850000000000005,,,,0.006306876459419942,,,,
7.1899999999999995,,,,,,,,0.009997009325466953
7.192,,,,,0.0072306579898770785,,,
7.195,,,0.009598022459758795,,,,,
7.195,0.004221625982700715,0.0073227306296092115,,,,0.00746736216342231,,
7.205,,,,,,,0.006499504985227512,0.006196133873467279
7.205,,,0.011896140513503857,,,,,
7.2059999999999995,,,,,0.007508760220256966,,,
7.215,,,,,,,0.007585029505998643,0.008053070878986433
7.215,,,,0.04881827903018135,,,,
7.225,0.02853819164305683,0.05397393357534403,,,,0.055768446205851495,,
7.23,,,0.06893388565414289,,,,,
7.233499999999999,,,,,0.039045553145336226,,,
7.24,,,,,,,0.04660154818793411,0.049053859329545146
7.255,,,,0.04982214171922397,,,,
7.265000000000001,0.031652813479182695,0.05942437512351907,0.07999961376167164,,,0.058471267047441426,,
7.2675,,,,,0.03821124645419656,,,
7.27,,,,,,,0.037568503028554946,0.03953671732688073
7.285,,,,0.07092508129105471,,,,
7.2885,,,,,0.036765114856221144,,,
7.29,0.030939827757659907,0.05232007822007718,0.06554464432277937,,,0.05438425224385127,0.05314782622253058,0.051300943421875425
7.3035,,,,,0.0368763557483731,,,
7.305,0.018143610334540407,0.03037268954326548,0.03567876558230256,0.02893743316675032,,0.0326815479659634,0.02976714816922489,0.028192545064027623
7.3195,,0.10024027709878405,0.1131292063767948,0.09709098051196997,,0.10732602867467071,0.10058544266793473,0.09702835703216335
7.3229999999999995,,,,,0.11132432282106902,,,
7.3245,0.0972287370771338,,,,,,,
7.34,,,0.08239429139750683,,,0.0894990674903835,,
7.345000000000001,,0.12706601899333256,,0.12888724003229818,,,0.13310245636464269,0.12639814034419944
7.3469999999999995,,,,,0.1042327159463819,,,
7.355,0.12983845244572864,,,,,,,
7.359999999999999,,,0.08684568813186176,,,0.0972796946031006,,
7.366,,,,,0.10926636631625786,,,
7.37,,0.0932503978614298,,0.09503960893001331,,,0.10490415422633478,0.09271634811451565
7.375,0.05548154680376006,,,,,,,
7.38,,,0.08468275349304288,,,0.1011772933908381,,
7.384,,,,,0.11049001612992936,,,
7.385,,0.04626634352344002,,,,,,
7.390000000000001,0.12544796142371992,,,0.09680728018680575,,,0.10828350704324169,0.09828715913107311
7.4,,0.09146132162805937,0.07581858385716907,,,0.09063556358549947,,
7.4015,,,,,0.10217475944157073,,,
7.405,0.05960935887573409,,,0.04473735896820374,,,0.05175048137263309,0.04564584975938664
7.414,,,,,0.05498081094610379,,,
7.4145,0.1198378895622643,0.08590686401980466,0.06993810530788022,0.08751063876219366,,0.08322648327310875,0.09847870656927478,0.09513879448628368
7.425,0.05467474717151059,0.036592849936030125,0.029711383409132604,0.035571656155205904,,0.035049248164121694,0.041629962815425754,0.04031021451292787
7.4254999999999995,,,,,0.05698314700483898,,,
7.4350000000000005,0.04823911289566017,,,,,0.02909721412752069,0.03506029825614481,
7.4399999999999995,,0.0601212827260529,0.047410754806253196,0.05911878314383606,,,,0.07198145781789511
7.44,,,,,0.053618110017242336,,,
7.45,0.068915698819821,,,,,,0.048351639785155796,
7.455,,,,,,0.057145354936472784,,
7.4595,,,,,0.053089715779520555,,,
7.46,,0.04107594212546417,0.032395739791238186,0.03869235973201231,,,,0.0484394116527555
7.464499999999999,0.0545246449143479,,,,,,0.035658603512656005,
7.474,,,,,0.01193058568329718,,,
7.4745,,0.03265064125901039,0.02589727991657252,0.031119743360321236,,0.025775148618720132,,0.036019955955520516
7.475,0.016248569337861417,,,,,,0.010064001122553184,
7.4825,,,,,0.010929417653929584,,,
7.485,,0.010817670248286336,,0.00942758003622635,,0.00824688192096981,,0.01034773388434246
7.485,0.010901176426440513,,,,,,0.006797683174954591,
7.49,,,0.014918455432924886,,,,,
7.4935,,,,,0.011290950553423438,,,
7.5,,,,,,0.010243035318801726,,0.012639678094668443
7.505,,0.018265220149991157,,0.016629203675010366,,,,
7.51,,,0.008197908519451928,,,,,
7.51,,,,,0.010011680293675955,,,
7.609999999999999,,,,0.009558518647840604,,,,
7.63,,0.01066164615816682,,,,,,
7.640000000000001,0.019663395688312664,,,,,,,
7.6545,,,,,0.01101284832304355,,,
7.66,,,,,,,0.012554666001449964,
7.715,,,,,,0.010803998134980767,,
7.725,,,,,,,,0.010190043772599983
7.73,,,0.00972354991647596,,,,,
