value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
105.4995,,0.011567294186818811,,,,,,0.0075377338214603715,
105.9995,,,,0.012558360370341063,,,,,
107.9995,0.014943760042849492,,,,,,,,
107.9995,,,,,,,,,0.013795518602489757
108.9995,,,,,,0.013491605090720787,,,
109.4995,,,0.012109455315877458,,,,,,
111.9995,,,,,0.012889603083867654,,,,
113.4995,,,,,,,0.020645479210037634,,
123.0,,0.011233844713260673,,,,,,0.00859971716566037,
123.5,0.014703948970151435,,,0.009476141489277518,,,,,
124.0,,,0.01290238953005015,,,,,,
125.5,,,,,0.012216825352810552,,,,
126.0,0.016415493986463456,0.011617651862417385,,0.011191342882013136,,,,0.00799919086983299,
127.0,,,0.01190921037340318,,,,,,
127.0,,,,,,0.008864944531856838,,,
127.5,,,,,,,,,0.01701382937992493
127.5,,,,,0.00621637531905802,,,,
127.5,0.011351463212737984,,,,,,,0.00593843747573061,
128.0,,,,,,,0.01985862791528121,,
128.0,,0.018982121664144248,,0.019249030624357046,,,,,
128.5,0.014137897453376833,,,,,,,0.007466393103610201,
129.0,,,0.020623441173578394,,0.02046062545600011,,,,
129.0,,,,,,0.01794897329164094,,,
129.5,,,,,,,0.017405536685380404,,0.011403542904226219
130.5,0.07332619175147295,,,,,,,0.04351241960623536,
130.5,,0.06167045937088292,,0.06223391627759753,,,,,
130.5,,,,,,0.015302037483319724,0.026307856420644118,,0.01670670124481944
131.0,,,0.039964957135067,,0.040525766705230164,,,,
132.0,,,,,,0.05206038757991595,0.08922360031587595,,0.05924810636494842
132.5,0.039958367823927546,,,,,,,,
133.0,,,,,,,,0.06088523897334386,
133.0,,0.08186388728591183,0.07885449165497081,0.08007438474321438,0.07775583168737656,,,,
133.5,,,,,,0.04087713358162879,0.06609834732842412,,0.04803377102557926
134.0,0.11044334615571895,,,,,,,,
134.5,,0.056704103742255804,0.05697951959092819,0.05548191817678246,0.058308918623442216,0.05366368579338365,0.07768368237322526,,0.06104067725021111
134.5,,,,,,,,0.044765848927451,
135.4995,0.12786069046111895,0.12297888788475986,0.1252961211481902,,,,0.16073282765174848,,0.13180549462332694
135.9995,,,,0.1904328558993432,0.213650114667691,0.19197155888386544,,0.16966538494187086,
136.5,,,,,,,0.08245985837812123,,
137.0,0.1433717193358329,0.1460168439619786,0.15212626158783513,,,,,,0.14775269234642033
137.5,,,,0.07523937643428029,0.08923169237692827,0.07577525941564262,,,
138.0,,,,,,,0.1424075946478216,,
138.0,,,,,,,,0.15071765149969024,
139.0,0.12621366314456833,0.1377146325795107,0.14058357097521074,0.14231225765608926,0.16281448381355876,0.14180326236332133,,,0.13105252574277335
139.5,,,,,,,,0.07456278976522583,
140.0,,,,,,,0.09868738897647451,,
141.0,0.09017139796464917,0.10649151269013425,0.10524570233231721,0.11231502730078341,0.1106492077814927,0.1098906570535163,,0.12223915937155148,0.10368099307535956
143.0,,,,,,,0.10527230107451187,,
143.5,0.08442323611043483,0.09865068649761005,0.09693732512090682,0.10200997072089894,0.08518138860414531,0.10614830010555877,,0.1195842010110515,0.1055929696765917
145.4995,0.04312703900277548,,0.04926293770058018,0.04826105879560022,,0.05352825190702862,,0.06009687888874641,
145.9995,,0.06655923695872304,,,0.052908513593064935,,0.04637937700225553,,0.0748287701240958
146.5,0.016263329600233724,,0.017263974683317987,,,0.020036248481347965,,0.021571085155531796,
147.0,,,,0.030889451610350557,,,,,
147.5,,0.014345132454297006,,,0.01153495603079322,,0.00998892390421306,,0.016546305506950035
148.0,0.024806446900715783,,0.026213314500773268,,,0.03096855145491844,,0.033556325754360364,
149.0,,,,0.01818469573474717,,,0.013660896613076378,,
149.5,,0.0257749637969143,,,0.021985739839578876,,,,0.03138825778446555
150.0,,,,,,,,0.021189096248561898,
150.4995,,,,0.01339321041386405,,,0.010446501208378775,,
150.5,0.022401032283196183,,0.022293340961712094,,,0.028474974606146307,,,
151.4995,,0.008371623313698376,,,0.00963254062236486,,,,0.013561162607713907
151.9995,,,,,,,,0.02094978877729234,
152.0,,,,0.007242620875207723,,,0.005580626426735686,,
152.4995,,,0.010601360592868063,,,0.013907865123782589,,,
152.5,,0.004091220887819431,,,,,,,
152.9995,0.013758095145347421,,,,,,,,
153.0,,,,,0.005475410655799185,,,,0.0074108771478548705
153.5,,,0.003780517239838016,,,0.004803919616005099,,0.004402354424298468,
154.0,,0.0057829665842796946,,0.003806283136820448,,,0.003137186331041851,,
154.5,0.002703656814529873,,,,,,,,
155.0,,,,,,,,,0.003855438291749748
155.0,,,0.005600600734827423,,,0.0071740126272182275,,,
155.5,,,,,0.004268501955828505,,,,
155.5,,,,,,,,0.007369767068040984,
156.5,0.0047791790427034134,0.004794867327940071,,,,,,,
157.5,,,0.005566630610657679,,,0.006624310382600729,,,
172.5,,0.0047880622366429666,,,,,,,
173.0,,,,,0.0042935038309691404,,,,
177.5,,,,,,,0.004023387536752371,,
177.5,0.004840044797195306,,,,,,,,
178.0,,,,,,,,,0.005282366300499039
178.5,,,,,,,,0.007390537150453059,
179.5,,,0.005884877037090012,,,0.006684060626580892,,,
182.5,,,,0.00564809685843159,,,,,
