value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
1.3,,,,0.03976221083119529,0.06175979039334961,,,0.045994412988863476,,
1.5,,,,0.07347034569573868,0.11335712599999037,,,0.09291218268401515,0.04624991054175911,
1.6,0.04019930371458686,,,,0.14483183786309103,0.048682876153256324,,0.12599835014436236,,
1.7,,,,0.12042810584765065,0.1813299811681525,,0.03998957839253385,,0.08859177393135742,
1.8,0.0702513654220831,0.04083138020058773,,0.1497357009126453,0.2204144932980778,0.09011105889336862,,0.20596479058082418,0.11852961323368537,0.05339712304135628
1.9,,,0.044634233800361724,0.18208366893005543,,0.1165994706769893,0.07704640955581238,,,0.07577703570511174
2,0.1138746047462391,0.08416118401484778,,,,0.14613272650819956,0.10243237646052816,,0.19095756101052028,
2.1,0.14192724136829665,,0.08524293241131652,,,0.17928467189393751,,,,0.1398364586009076
2.2,0.17524354019610974,0.15052407409610602,0.11421212842975337,,0.40317492426322205,,0.17005925619116968,0.40433180846675915,,0.18129120643890745
2.3,,0.19115320095653932,,,,,,,,
2.4,,,0.18998536882853787,0.3941176784352214,,,,,0.3916456226804756,
2.5,,,,,0.5577839105703979,0.3476563852680007,,0.5616727286362443,,
2.6,0.3519722763422658,0.3428907950935719,,,,,0.3594252082651364,,,0.3954597996403802
2.7,,,0.3436807211413884,0.5442347594638276,,,,,0.5602999662614634,
2.8,,,,,,0.502968166415197,,,,0.5162877814881411
2.9,0.5158836117410329,0.5158411954362129,,,0.748317896997982,,0.5249617540367028,0.7402883497693952,,
3,,,0.5240027116088792,,,,,,0.7177873654292461,
3.1,,,,0.7404428276535255,,,,,,0.6861567771213288
3.2,0.6742629914721007,0.6771203883264131,0.6388325424474103,,,0.7061515248954958,0.6801702195886137,,,
3.5,0.8017375195630649,0.8028148906047375,0.7803465938685183,0.878158387428858,0.9238297523925115,0.8260555541814044,0.802811161808817,0.905311410251603,0.8924533027982537,0.8501947940748352
3.6,0.8732089814430356,0.8723900396178602,0.8605248900044757,0.9289352827280146,0.9582857720816657,,0.8722952254340667,,0.9385012933105683,0.9105509889545338
3.7,0.9016512823788687,0.9001582334955326,0.8925878328329769,,0.9705144321306959,0.9191817754582107,0.9001129007475499,0.9535556263826915,,
3.8,0.9254527452170302,0.9230961417201051,0.9184240212950288,0.9619419982184482,,0.9410299537460733,0.9238821823914917,0.9633891409501668,0.9673963051190562,0.9513442931757856
3.9,,,,,0.986268645214736,,,,,
4,0.959864575681114,,0.9560724596334094,0.9814563919840834,,0.9719904029285908,0.9600505047131052,,0.983920520186891,0.9757877386762566
4.1,,0.9690909307222824,,,,,,0.9818656492556901,,
5,0.9986617266600658,0.9981797199386102,0.9976207987729708,0.9994639342426004,0.9999325713900408,0.9998367508471642,0.9990179639118439,0.9967096629044958,0.9991284211387267,0.9995590375888347
5.4,,,,,1.0,,,,,
6.8,,1.0,,,,,,1.0,,
9.2,1.0,,,,,,,,,
10.5,,,,,,,1.0,,,
10.7,,,,,,1.0,,,,
11.2,,,1.0,,,,,,,
12,,,,,,,,,,1.0
14.3,,,,,,,,,1.0,
15,,,,1.0,,,,,,
