value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
5.0,,0.09038226860395915,,,,,,0.0506196804539346,
5.5,,,,,,,,,0.14156002898527645
6.0,,,0.14791369972078003,,,,,,
6.5,0.14393966782597378,,,0.06251293966092338,,,,,
7.0,,,,,,0.0860549306583772,,,
7.5,,,,,0.14211346278071207,,0.08667387893141526,,
11.499500000000001,0.1057620696885778,,0.10256568397681017,,0.10935421970589353,,,,0.10861117525740359
11.999500000000001,,0.09630956603285863,,,,0.10555120582330095,0.10113252049160355,,
12.499500000000001,,,,0.09521290055439259,,,,,
12.999500000000001,,,,,,,,0.10944625033022823,
15.0,0.09548737897773696,,0.0943544860221806,,0.10468518448151386,,,,0.10393491053582947
16.0,,,,,,0.08406266715245854,,,
16.5,,0.09655603580424289,,,,,0.1079208210286249,,
17.5,,,,0.08835775574520945,,,,,
18.0,,,,,,,,0.07302351225003159,
19.5,0.09761317705584197,,,,0.10442394649846107,,,,0.10395680875291645
20.0,,,0.10900792805319758,,,,,,
20.5,,,,,,0.08738827432770796,,,
21.5,,0.07824513522774408,,,,,0.09251922458407649,,
22.5,,,,0.08099652641991213,,,,,
23.0,,,,,,,,0.10085457323026384,
25.5,0.09867607609489447,,,,0.10479917923775506,,,,0.10009077806356056
26.5,,,0.09161555109501329,,,0.09048907355870976,,,
27.5,,0.08622233977961996,,,,,0.09918082317281171,,
28.0,,,,0.077545950173679,,,,,
29.0,,,,,,,,0.08446950988387453,
34.5,0.09731672222182053,,,,0.10128909070182772,,,,0.09961299878166283
35.0,,,0.08731231147044642,,,0.08981464972596687,,,
35.5,,0.0811907495686779,,0.08233074923512226,,,0.08835267974620625,,
36.0,,,,,,,,0.08532523173407151,
44.9995,,,,,0.06708116426644374,,,,
45.4995,,,,,,,,,0.06843590989082743
45.9995,,,0.07513989033046638,,,,,,
46.4995,0.07533568086998647,,,,,,0.08901786497470834,0.10414249778890664,
47.4995,,0.09770422425142321,,,,0.0929852169396662,,,
48.4995,,,,0.10507004669779853,,,,,
60.0,,,,,0.06852034806398906,,,,
61.5,,,,,,,,,0.07047244407991655
63.0,,,0.07339616717315003,,,,,,
64.0,,,,,,,,0.09438497145679466,
64.5,0.06918243541261451,,,,,,0.0814961550831847,,
69.0,,0.09190316743713518,,,,,,,
69.5,,,,,,0.09186892921650555,,,
73.0,,,,0.10037726300292149,,,,,
90.5,,,,,0.06476802067104913,,,,
93.5,,,,,,,,,0.06654470023331555
98.0,,,0.07248225439294885,,,,,,
100.0,,,,,,,,0.09923789067435476,
102.0,,,,,,,0.0844200461974796,,
103.0,0.07276158523799539,,,,,,,,
115.5,,0.09300927567944502,,,,,,,
116.0,,,,,,0.08965960976441678,,,
129.0,,,,0.10234409146327436,,,,,
191.0,,,,,,,,,0.06829257610625811
193.5,,,,,0.066259452065205,,,,
211.5,,,0.07259999775726925,,,,,,
218.5,,,,,,,,0.09915461572920137,
219.5,,,,,,,0.08435182207147938,,
239.5,0.07165530256469585,,,,,,,,
262.5,,,,,,0.09075264149334492,,,
278.5,,0.09415746412662535,,,,,,,
308.0,,,,0.10251662027558603,,,,,
310.4995,,,,,,,,,0.01379786751180513
325.9995,,,,,0.013365885169282212,,,,
347.4995,,,0.014737544434102964,,,,,,
360.4995,,,,,,,0.01699024394998197,,
364.4995,,,,,,,,0.01995439978865393,
411.9995,0.014475672627095973,,,,,,,,
429.5,,,,,,,,,0.01363860775117255
434.4995,,,,,,0.01830246746098807,,,
464.0,,,,,0.013327886917201808,,,,
474.0,,,0.014734741020666764,,,,,,
482.3995,,0.01886395469765373,,,,,,,
491.0,,,,,,,0.016997553677767705,,
510.5,,,,,,,,0.019879739492999163,
513.9995,,,,0.020668951714936393,,,,,
586.0,,,,,,0.018325723455220582,,,
586.3,0.014432288992848931,,,,,,,,
660.0,,,,,,,,,0.013678422691330695
687.0,,,,0.020438913298520853,,,,,
689.9,,0.018930080733878772,,,,,,,
703.5,,,0.014703903472868565,,,,,,
709.9,,,,,0.013327886917201808,,,,
722.0,,,,,,,0.016995117101839128,,
792.0,,,,,,,,0.019828051596007396,
841.0,,,,,,0.01823269947829053,,,
895.8,0.014461211415680292,,,,,,,,
970.5,,,,0.0205654344275494,,,,,
1076.2,,0.01879782866142868,,,,,,,
1206.0,,,,,,,,,0.013680413438338602
1208.0,,,0.014734741020666764,,,,,,
1237.5,,,,,,,0.016978061070339074,,
1284.6,,,,,0.01334213626173196,,,,
1391.9,,,,,,0.01823269947829053,,,
1450.5,,,,,,,,0.01981943694650877,
1568.5,0.014457596112826371,,,,,,,,
1610.4,,,,0.020507924823445517,,,,,
1891.8,,0.01886395469765373,,,,,,,
8211.5,,,0.014701100059432365,,,,,,
8536.0,,,,,,,0.016973187918481916,,
9046.4,,,,0.020553932506728625,,,,,
9400.0,0.01444313490141069,,,,,,,,
10125.9,,,,,,0.018279211466755558,,,
10392.6,,0.01886395469765373,,,,,,,
10427.5,,,,,,,,0.01985963864416903,
10598.2,,,,,0.01334213626173196,,,,
10798.5,,,,,,,,,0.013692357920386046
