value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.1,,0.4428228339183447,0.46400795508570225,0.3091130053746876,0.21578676173632097,,,0.43631778058007564,,
0.2,,0.6083076354644801,,0.5051521687035706,0.4211636748506413,0.6058118596709097,,,,0.459557033577317
0.3,,,0.6747959513259081,0.6493786587244531,,,,0.6443883984867591,,
0.4,,0.8216970541005272,,,0.7104878354477976,,,,,0.6166933480768755
0.5,,,0.7928375195520183,0.8247406798808667,0.7970532120823876,,0.7774461692538808,0.8310214375788146,,
0.6,,,,,,0.8161316361378453,,,,
0.8,,,,,,,,,,0.8126511144302418
1,0.9518239049872751,,,,,,,,,
2,0.969147653703621,0.9891571572709574,0.986662892355932,0.9956009722364862,0.996163326695169,0.9933964607264825,0.9700751126690035,0.9936948297604036,0.9898803594149151,0.9842799732635765
2.128,,,,,,,,,0.9921538264274512,
2.2,,,,0.9976721098216426,,0.9962496119217634,,,,
2.3,,,,,0.9979667720417229,,,,,
2.368,,,,,,,,,0.9939292019686942,
2.4,,,,,,,,,,0.9904648341764108
2.5,,,,0.9983396665639657,0.9984959683596307,0.9973641726171997,,,,
2.721,,,,,,,,,0.9959560890449466,
2.9,,,,,,,,,,0.9944257857950373
3,0.9912488279680315,0.9972004717986613,0.9970204720065905,,,,0.991707561342013,1.0,,
3.08,,,,0.9991099243435692,,,,,,
3.1,,,,,,0.9986370692331574,,,,
3.2,,,,,0.9992062055231384,,,,,
3.3,,,,,,0.9989847873331263,,,,
3.5,,,,,0.9993942094781846,,,,,
3.505,,,,,,,,,0.9979731129237476,
3.6,,,,0.9993153264181301,,0.9992145296491772,,,,
3.8,,,,,,,,,,0.9968126717443866
3.846,,,,,,,,,0.9984317516052353,
3.9,,,,,,,,,,0.9976172400419201
4,0.9978122069920079,0.9994031462717958,0.9992487669980076,0.9995207284926911,0.9995404347765539,,0.9977566349524286,,,
4.2,,,,,,0.9995063644830798,,,,
4.396,,,,,,,,,0.998786826713484,
4.4,,,,,,,,,,0.9981041070117096
4.66,,,,0.9996405463695184,,,,,,
4.8,,,,,0.9997005862938154,,,,,
5,0.9985265883823726,0.999587886711478,0.9995064362885461,,,,0.9986379569354031,,,
5.3,,,,,,0.9997423160509159,,,,0.9987333206802934
5.31,,,,,,,,,0.9991912178089893,
5.96,,,,0.9998117147649858,,,,,,
6.24,,,,,0.9998398484827384,,,,,
7.407,,,,,,,,,0.9996005405032203,
7.6,,,,,,,,,,0.9993728493270508
12.5,,,,1.0,,,,,,
14,,1.0,,,,,,,,
17.4,,,,,1.0,,,,,
20,1.0,,,,,,,,,
25,,,,,,,1.0,,,
30,,,,,,1.0,,,,
36,,,1.0,,,,,,,
50.085,,,,,,,,,1.0,
62.1,,,,,,,,,,1.0
