value,emory_probability,jhu_probability,mimic_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.18,,,,,0.27122464312546957,,0.09137055837563451,,
0.2,0.043914759273875295,0.02666666666666667,0.06020440753752795,0.2570469798657718,,0.17904909337188257,,0.19367680953600447,0.09388232117205156
0.25,,,,0.362607861936721,,,,,
0.3,,0.1,0.15083040562120728,,,0.4300706862600025,,0.33717086117384115,0.31342064547830956
0.32,0.15990528808208365,,,0.4700862895493768,,,,,
0.322,,,,,,,0.20812182741116753,,
0.35,,,,,0.4755822689706987,,,,
0.4,,,,,,0.5340398165116729,,0.43630247014178286,0.4525099105998597
0.42,,,,0.5677852348993289,,,,,
0.43,0.28375690607734805,,,,,,,,
0.46,,,,,,,0.3299492385786802,,
0.47,,,,,0.5477084898572502,,,,
0.5,,0.17333333333333334,0.25966145001596935,,,,,0.5551067445812865,0.5614567862431357
0.54,0.3922336227308603,,,,,,,,
0.59,,,,0.6743048897411313,0.6078136739293765,,,,
0.6,,,0.30621207282018525,,,0.6693795317177558,,,0.6405755784226708
0.632,,,,,,,0.43147208121827413,,
0.65,,,,,,,,0.625171699299234,
0.69,0.5107813733228098,,,,,,,,
0.7,,0.23333333333333334,,,,,,,
0.8,,0.2866666666666667,0.3952411370169275,,,,,,
0.854,,,,,,,0.5431472081218274,,
0.88,,,,,0.69045830202855,,,,
0.9,0.6214996053670087,0.34,0.4354040242733951,0.7735378715244488,,0.7706395911351918,0.6598984771573604,0.7329057341745628,0.7738037003999655
0.92,,,,,,,0.7614213197969543,,
1,,,,,,0.81718324929143,,,0.8310295292714077
1.05,,,,,,,0.8020304568527918,,
1.1,,,,,,,,0.7953111540521035,
1.11,0.6990370955011839,,,,,,,,
1.16,,,,0.8206136145733461,,,,,
1.2,,,0.5728201852443309,,,,,,0.865835600247018
1.23,,,,,0.758076634109692,,,,
1.26,,0.47333333333333333,,,,,,,
1.388,,,,,,,0.8629441624365483,,
1.4,,,,,,0.8681889064687603,,0.8403836751798477,
1.44,0.774017363851618,,,,,,,,
1.6,,,0.6621686362184606,,,,,,
1.616,,,,0.864046021093001,,,,,
1.64,,,,,0.8144252441773103,,,,
1.7,,0.62,,,,,,,0.9107835737479222
2,,,,,,,,0.89301096547389,
2.014,,,,,,,0.9289340101522843,,
2.054,,,,,,,0.9441624365482234,,
2.08,0.8487766377269139,,,,,,,,
2.1,,,,,,0.911886901983996,,,
2.2,,0.74,,,,,,,
2.48,,,,0.9093959731543624,,,,,
2.5,,,0.777307569466624,,,,,,
2.52,,,,,0.8752817430503381,,,,
2.538,,,,,,,0.9593908629441624,,
2.77,,,,,,,0.9695431472081218,,
3.14,,0.8666666666666667,,,,,,,
3.2,,,,,,,,,0.9541954319383606
3.22,,,,,,,0.9847715736040609,,
3.3,,,,,,,,0.946697553139478,
3.7,,,,,,0.9536270816022219,,,
3.8,,,,,,,,0.9574185737899564,0.9634962338613822
3.9,0.9240726124704025,,,,,,,,
4.04,,,,,0.9368895567242674,,,,
4.1,,,0.8841424465027148,,,,,,
4.2,,,,,,0.9632112733771186,,,
4.33,,,,,0.9511645379413974,,,,
4.38,,0.8933333333333333,,,,,,,
4.4,,,,,,,,0.9681279538099784,
4.56,0.9392896606156275,,,,,,,,
4.6,,,0.9095336953050144,,,,,,
4.752,,,,,0.9624342599549212,,,,
4.79,,,,0.9546500479386385,,,,,
4.8,,,,,,,,,0.9731157686442122
5,,,,,,0.9730003528621675,,,
5.47,0.9544751381215469,,,,,,,,
5.488,,,,,0.9744552967693464,,,,
5.5,,0.9266666666666666,0.9318109230277867,,,,,0.979302959048262,
5.59,,,,0.9638542665388303,,,,,
5.61,,,,,,,1.0,,
6,,,,,,0.9818105243987115,,,
6.1,,,,,,,,,0.9818565746399315
6.5,,0.9533333333333334,,,,,,,
6.71,0.9697553275453827,,,,,,,,
6.738,,,,,0.9872276483846731,,,,
6.8,,,0.9550463110827212,,,,,,
6.9,,,,0.9729626078619367,,,,,
7.5,,,,,,0.9908597315970997,,,
7.7,,,,,,,,0.9895583544804787,
7.84,,0.9733333333333334,,,,,,,
8.6,,,,,,,,,0.9910710530800882
8.864,,,,0.9818791946308725,,,,,
9.1,,,0.9768444586394124,,,,,,
9.4,0.9848776637726914,,,,,,,,
11.554,,,,0.9908916586768935,,,,,
12,,1.0,,,,,,,
14.57,,,,,1.0,,,,
23.3,,,,,,,,1.0,
28.4,,,1.0,,,,,,
30.1,,,,,,1.0,,,
36.7,,,,1.0,,,,,
39.3,,,,,,,,,1.0
43.29,1.0,,,,,,,,
