value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.94,,,,0.04201012717852096,,,,,,
0.99,,,,0.08469736222326896,,,,,,
1.02,,,,0.12541215261422514,,,,,,
1.05,,,,0.18184762129062648,,,,,,
1.06,,,,0.20547279792746115,,,,,,
1.12,,,,0.40979745642958076,,0.04019750217833285,,,,
1.17,,,,0.6242934526613283,,,,,,
1.23,,,,0.8232454074422987,,,,,,
1.24,,,,,,0.08521638106302643,,,,
1.32,,,,,,0.13502759221609062,,,,
1.36,,,,,,0.16540807435376126,,,,
1.4,,,,,,0.19970955562009876,,,,
1.6,,,,,,0.37975602672088293,,,,
1.88,,,,,,0.5419401684577403,,,,
2,,,,1.0,,,,,,
3.24,,,,,,,0.027184568915266813,,,
3.5,,,,,,,,,,0.3333333333333333
3.527,0.027234354463653826,,,,0.02163304715430182,,0.05585289597795559,,,
3.6,,,0.01395267517335473,,,,,,,
3.72,,0.03171043284071831,,,,,0.0831964389804462,,,
3.727,0.053634617328884845,,,,0.03992588919913363,,,,,
3.768,,,,,,,,0.01604662402195379,,
3.8,,,,,,,,,0.03929506558971982,
3.81,,,,,,0.7196049956433344,,,,
3.84,,,0.02709360374902044,,,,0.1092151979227386,,,
3.848,0.07965574764937822,,,,0.05866235223506693,,,,,
3.92,,0.06375536391815306,,,,,0.1338561814424249,,,
3.968,0.11504145182489131,,,,0.08360950914642103,,,0.031166933774779255,,
4,,0.08834576286305006,0.04562015879012292,,,,,,0.0774180699841331,
4.008,0.13006773834799312,,,,0.09694423423188331,,,,,
4.08,,0.12345533492830588,0.054874070003777746,,,,,,,
4.088,,,,,,,,0.05062161659199676,,
4.1,,,,,,,,,0.11252766913267472,
4.12,,0.1445573951188743,0.0655891250932728,,,,,,,
4.128,,,,,,,,0.060406245052481884,,
4.168,,,,,,,0.2728525250384187,0.07282816106480311,,
4.2,,,,,,,,,0.1647676445814207,
4.208,0.23316651501364877,,,,,,,,,
4.248,,,,,0.18506823934657238,,,,,
4.28,,0.2640752079464038,,,,,,,,
4.3,,,,,,,,,0.24536562432663614,
4.329,,,,,,,0.4136505749562821,,,
4.36,,,0.13510273277614215,,,,,,,
4.369,0.36132595288646246,,,,,,,0.18010007527171423,,
4.4,,0.3914011653281428,,,,,,,0.3519840155665398,
4.409,,,,,0.2918243260875238,,,,,
4.449,,,,,,,0.5352657516824758,0.2631274147360351,,
4.48,,,0.19780391324302132,,,,,,,
4.489,0.489131533717521,,,,0.35494898358602334,,,,,
4.5,,,,,,,,,0.47320909702316044,
4.52,,0.5342765121709573,,,,,,,,
4.529,,,,,,,,0.3614708815123226,,
4.56,,,0.2619100397443623,,,,,,,
4.569,0.579744211909817,,,,0.4225098509955377,,,0.41242302703393335,,
4.57,,,,,,0.8939297124600639,,,,
4.6,,0.6245145793445745,0.3126879115321093,,,,0.6654125377563457,,0.5810713749355203,
4.64,,0.709152190326311,,,,,,,,
4.649,0.6680441815792134,,,,,,0.7344072916114673,0.5126649519899786,,
4.65,,,,,,0.9094103979088005,,,,
4.68,,,0.4189642737833948,,,,,,,
4.689,,,,,0.5269434513713108,,0.7655662127073287,,,
4.7,,,,,,,,,0.7713109455497588,
4.72,,0.7792375351621361,,,,,,,,
4.729,0.7476241027196441,,,,,,,0.6071101216846421,,
4.73,,,,,,0.9233226837060703,,,,
4.76,,,0.5076694442970119,,,,,,,
4.77,,,,,0.595104511886433,,,,,
