value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
98,,,,,,,0.00038281175232079625,,,
99,,,,,,0.001322970067802216,,,,
100,0.0033844238699136386,0.0031427535355977275,0.0025010250102501025,0.018587941268353638,0.00138429333513404,,,0.003955676141694348,0.0020610711228081302,0.002458865985687198
136,,,,0.04115901280849735,,,,,,
137,,,,,,,,0.02353120166341253,,
141,,,,,,,,,,0.02080861214753196
142,,,0.023534235342353424,,,,,,,
144,,0.035713108359065084,,,,,,,,
145,0.024313389870069244,,,,,,,,0.020579002441576563,
147,,,,,,0.02645940135604432,,,,
148,,,,,0.01293132554527652,,,,,
156,,,,,,,0.00813474973681692,,,
158,,,,0.06497969384567323,,,,,,
160,,,,,,,,0.043275773174092015,,
161,,,0.044089107557742244,,,,,,,0.039305156278671476
162,,0.06753623506917354,,,,,,,,
163,,,,,,,,,0.037257824143070044,
163.4,,,,,,0.04944600628410782,,,,
166,0.045475764412977515,,,,,,,,,
168,,,,,0.024815990276183402,,,,,
170,,,,,,,0.01526461862379175,,,
173,,,,0.08645735707591377,,,,,,
175,,,0.06345496788301216,,,,,,,
176,,0.09923848664329747,,,,,,0.06207368714658823,,0.05733684017371093
177,,,,,,0.07392095253844881,,,,
178,,,,,,,,,0.055966008180866916,
180,0.06694935034622267,,,,,,,,,
181,,,,,0.036059153217637925,,,,,
183,,,,,,,0.023255813953488372,,,
187,,,,0.10969228366135583,,,,,,
189,,0.13311649066514292,0.08447451141178078,,,,,0.08159849887161802,0.07226432444430352,0.07547862254572145
190,,,,,,0.10021498263601786,,,,
191,0.08741149926087295,,,,,,,,,
192,,,,,0.04821392396515632,,,,,
193,,,,,,,0.030959900468944396,,,
200,0.1070567182758889,0.16282979681988505,0.1039907065737324,0.1309746954076851,0.05807279357147681,0.12154787497932859,0.037515551727438035,0.1000921300639839,0.0894821955163776,0.09262951862499236
258,,0.33317582936826257,,,,,,,,
268,0.2870147047381934,,,,,,,,,
279,,,,,,0.2989912353233008,,,,
281,,,0.2835725023916906,,,,,,,
287,,,,,,,,,0.27282239908678696,
292,,,,,,,,0.2802782496978303,,
293,,,,,,,,,,0.275295125084103
294,,,,0.3054514214308029,,,,,,
313,,,,,0.2478897967452225,,,,,
326,,0.4991483797237454,,,,,0.23140970427792132,,,
339,0.46596125418190304,,,,,,,,,
361,,,0.46338663386633866,,,,,,,
375.8,,,,,,0.4726310567223417,,,,
386,,,,,,,,0.4606080584222938,,
387,,,,,,,,,,0.4560401247782739
391,,,,,,,,,0.4536576085233218,
413,,,,0.4791080912214933,,,,,,
429,,,,,0.43527584576946454,,,,,
434,,0.6658351922464094,,,,,,,,
435,0.6443631836925231,,,,,,,,,
452,,,,,,,0.42319839219064026,,,
473,,,0.6419980866475331,,,,,,,
513,,,,,,0.6487514469985116,,,,
518,,,,,,,,,,0.6378371765857239
528,,,,,,,,0.6405575136715943,,
535,,,,,,,,,0.6362368012176174,
581,,,,,0.6231683435748532,,,,,
595,,,,0.6524523586379256,,,,,,
619,,,,,,,0.6152741889175998,,,
636.4,0.8214035633704193,,,,,,,,,
686,,0.8324890388228959,,,,,,,,
720,0.8573095775305376,,,,,,,,,
724,,,0.8206642066420664,,,,,,,
802,,0.8660593606804171,,,,,,,,
825,,,,,,,,,,0.8182763471771973
847,,,0.8566078994123275,,,,,,,
853,,,,,,,,0.8198814987617381,,
854,0.892904380300319,,,,,,,,,
856,,,,,,,,,0.8176427688112375,
859,,,,,0.8113984739010062,,,,,
911,,,,,,0.8240449809823053,,,,
958,,,,,0.8491795529745425,,,,,
966,,,,,,,,,,0.8547923420392685
980,,,,,,,0.807206431237439,,,
984,,0.8996956144302936,,,,,,,0.8544566699432413,
1003,,,,,,,,0.8560319835011114,,
1015,,,,0.8261480787253983,,,,,,
1032.4,,,0.8924012573459068,,,,,,,
1077,0.9285769859176846,,,,,,,,,
1136,,,,,0.8869606320480788,,,,,
1148,,,,,,,0.8458225667527993,,,
1177.2,,,,,,0.8592690590375393,,,,
1189,,,,,,,,,,0.8910514404550737
1205,,,,0.8610590440487348,,,,,0.8907949392776738,
1221,,,,,,,,0.8919880653531793,,
1391,,0.9330022087183939,,,,,,,,
1394.2,,,,,,,0.8843429993300794,,,
1492,,,0.928290282902829,,,,,,,
1507,,,,,0.9246066581133094,,,,,
1550.4,,,,0.8956966572945955,,,,,,
1551,,,,,,0.8948238796097239,,,,
1572,,,,,,,,,0.9271014998256016,
1631,,,,,,,,0.9280202179002798,,
1733,0.9644051972302187,,,,,,,,,
1755,,,,,,,,,,0.9274084041837422
1866.6,,,,,,,0.9228634319073595,,,
2062.2,,,,0.9304514214308028,,,,,,
2209,,,,,,0.929551843889532,,,,
2357,,0.9665175873322858,,,,,,,,
2442,,,,,,,,,0.9635348955195485,
2551,,,,,0.9622864474306165,,,,,
2559.6,,,0.9641246412464125,,,,,,,
2700,,,,,,,,0.9808639940495811,,
2908.2,,,,,,,,,,0.9636552694354394
3070,,,,,,,0.9616231218298402,,,
3191.6,,,,0.9652061855670103,,,,,,
3533.2,,,,,,0.964775921944766,,,,
3804,1.0,,,,,,,,,
9138,,,,,1.0,,,,,
9543,,,,,,,,1.0,,
9920,,,,1.0,,,,,,
9953,,,,,,1.0,,,,
9980,,,,,,,1.0,,,
10000,,1.0,1.0,,,,,,1.0,1.0
