value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.9,,,,,,,,,,0.039091027712814544
0.971,,,,,,,,,0.03453446873980593,
1,0.06109762020398252,,,0.03510265469146838,,,0.050579223903272776,0.03504380475594493,,
1.4,,0.03591864483598663,,,,,,,,
1.6,,,0.03848246631441786,,0.03450750388131792,,,,,
1.7,,,,,,,,,,0.06973070090034027
1.8,,,,0.07075866570184026,,,,,,
1.852,,,,,,,,,0.06943896703328806,
2,0.12127246236036911,,,,,,0.111730075330759,0.06508135168961202,,0.1049393248953618
2.1,,0.07094498895246729,,,,,,,,
2.2,,,0.07720835660180134,,,0.037633240400417434,,,,
2.3,,,,,,,0.11502183958979553,,,
2.4,,,,0.10482555087330978,,,,,,
2.5,,,,,0.06843539761945834,,,,0.10394909172351002,
2.8,,,,0.13389804055108614,,,,,,0.1351112627849321
3,0.1924720738222438,0.11703302929012521,0.12486933860274639,,,,0.19071131649469308,0.10387984981226533,,
3.03,,,,,,,,,0.13838131545506333,
3.1,,,,,,0.07316401384506624,,,,
3.2,,,,,0.10126617215801277,,,,,0.1672786036194281
3.3,,,,0.16719874005022772,,,,,,
3.54,,,,,,,,,0.17230718295527025,
3.7,,,,,,,,0.12265331664580725,,
3.8,,0.14213075746416634,0.151391812363074,,,0.1066412860854636,,,,
3.9,,,,,0.13801621528376748,,,,,
4,,0.17483428700923462,0.18745793776937728,,,,,,,
4.2,,,,,,,,0.15143929912390489,,
4.4,,,,,0.16733482835949628,0.14047356002436046,,,,
5,0.3369839728023312,,,,,0.1748260950731273,,,,
5.5,,,,,,,0.3474288366989513,,,
5.7,,,,0.33740546829552065,,,,,,
5.97,,,,,,,,,0.34433684374528334,
6,,,,,,,,,,0.33891738349275813
6.6,,,0.3359071838710139,,,,,,,
7,,0.3551215228598946,,,,,,,,
7.1,,,,,0.3282801449025358,,,,,
7.7,,,,,,0.3455757913324499,,,,
8,0.4977901894123361,,,,,,0.5287712856871558,0.3016270337922403,,
8.5,,,,0.5001489805473971,,,,,,
8.772,,,,,,,,,0.5162399154774598,
9,,,,,,,,,,0.4996256110168726
9.6,,,0.5046715924223549,,,,,,,
9.9,,0.5052829867996147,,,,,,,,
10.1,,,,,0.49208901155770224,,,,,
10.5,,,,,,0.5173323458573444,,,,
12,0.6525740650801359,,,,,,0.698613660821675,,,
12.5,,,,0.6672058343620085,,,,0.44806007509386736,,
12.698,,,,,,,,,0.6887856701186529,
13.2,,,,,,,,,,0.6663662186712704
13.5,,,0.6715637842404456,,,,,,,
13.6,,0.6710243045719789,,,,,,,,
14,,,,,0.6566223908918406,,,,,
14.1,,,,,,0.6868487172503283,,,,
15.6,,,,,,,,0.5932415519399249,,
20,0.8148372996600292,0.8378703756161124,0.8390537966980254,0.8322620922544304,0.8199551492151113,0.8552725403125851,0.8656917980207213,0.7384230287859824,0.8602846306277356,0.829523532304851
21.4,0.8425692083535697,,,,,0.8829473709981974,,,,
21.5,,0.8649368307744604,0.8678530005584433,,,,0.8872781751809415,,,
21.551,,,,,,,,,0.8837766384762572,
21.7,,,,0.8559996594730345,0.8521511126444713,,,,,
21.8,,,,,,,,,,0.8585632697307009
22,,,,,,,,0.785982478097622,,
23.3,,,,,,0.9090583579947301,,,,
23.6,,0.8904877910599966,,,,,,,,
23.7,,,0.8954816214900411,,,,,,,
23.8,,,,,0.8830291530101777,,,,,
23.81,,,,,,,,,0.9074244482421162,
24,0.8746721709567752,,,0.8803615261283503,,,0.9132957734590956,,,0.8871533388872718
25.06,,,,,,,,0.8310387984981227,,
25.9,,,,,,0.936203746492063,,,,
26.3,,0.9167752535267124,0.9230171685496227,,,,,,,
26.7,,,,,0.9147835087114025,,,,,
26.786,,,,,,,,,0.9308336863220523,
27,0.900048567265663,,,,,,0.9331518642780274,,,0.9149845928394343
27.1,,,,0.9031768328154486,,,,,,
28.8,,,,,,,,0.8785982478097623,,
30,,,,,,0.9631165476696892,,,,
30.7,,0.9431618605178177,,,,,,,,
30.8,,,0.951010925440669,,,,,,,
30.9,,,,,0.9459651543902018,,,,,
31.25,,,,,,,,,0.9543013501209899,
31.5,,,,,,,,,,0.9434502002429012
31.76,,,,,,,0.9514886792850963,,,
31.9,,,,0.9266306275628201,,,,,,
32,0.9285089849441477,,,,,,,,,
32.48,,,,,,,,0.9236545682102628,,
39.8,,,,,,,,0.9699624530663329,,
40,0.9534482758620689,0.9692085434253017,0.9788543322307659,0.9499141588274521,0.9768776953596688,0.989068395973791,0.9729484501276614,,0.9777300634405932,0.9714862138533961
42.1,,,,,,0.9913453034193397,,,,
42.16,,,,,,,,0.9762202753441802,,
42.7,,,0.9831070922290477,,0.9815973779541142,,,,,
42.857,,,,,,,,,0.982277531902877,
43.1,,,,,,,,,,0.97726565558221
44,,,,,,,0.9787934417927454,,,
44.22,,,,,,,,0.9824780976220275,,
44.72,,0.9753271769304855,,,,,,,,
45,0.9641330743079165,,,,,,,,,
45.3,,,,,,0.9934722532508669,,,,
45.68,,,,0.9599313270619617,,,,,,
46.8,,,,,0.9861100569259962,,,,,
47.368,,,,,,,,,0.9866935424974074,
47.5,,,0.9872596188266964,,,,,,,
48.3,,,,,,,,,,0.9829085908721357
48.74,,,,,,,,0.9874843554443054,,
50,,,,,,,0.9837310881813003,,,
50.9,,,,,,0.9956420481149716,,,,
52,0.9724623603691113,,,,,,,,,
53,,0.9815874454705116,,,,,,,,
54,,,,,0.9907124374676557,,,,,
54.2,,,,0.9699626839200329,,,,,,
54.897,,,,,,,,,0.9910900778522705,
54.92,,,,,,,,0.9937421777221527,,
57,,,0.9915839741111445,,,,,,,
58.3,,,,,,,,,,0.9886197793815054
61,,,,,,,0.9889641493110506,,,
62.2,0.9811801845556095,,,,,,,,,
65.3,,,,0.9799940407781041,,,,,,
68,,0.987550280437369,,,,,,,,
69.18,,,,,,0.9978118429790763,,,,
71.4,,,,,0.9953700189753321,,,,,
71.607,,,,,,,,,0.9955450389261353,
75.96,,,,,,0.9982494743832611,,,,
76,,,0.9956792244798602,,,,,,,
76.9,,,,,0.9963015352768674,,,,,
80,0.990675084992715,,0.9966171227286396,,,,0.9941339072819734,,0.9967476349755829,
80.62,,,,0.9899828317654904,,,,,,
82.7,,,,,0.9972330515784026,,,,,
83.2,,,,,,,,,,0.9942948338335224
83.42,,,,,,0.9986871057874458,,,,
84,0.9928848955803788,,,0.9921536911704195,,,0.9953788694055833,,,
84.299,,,,,,,,,0.9973270233556811,
85,,,0.9974977447484857,,,,,,,
86.6,,,,,,,,1.0,,
87,,0.9936972409495213,,,,,,,,
88,0.994439048081593,,,0.9943245505753486,,,,,,
88.9,,,,,0.9982266689667069,,,,,
89,,,,,,,0.9965816294233082,,,
90,,0.9950994277944593,0.9984141644114152,,,,,,,0.9954972949643176
91,,,,,,0.9991277975511004,,,,
91.73,,,,,,,,,0.9982180155704541,
91.8,,,,0.9960129967791824,,,,,,
92,,,,,,,0.997699985229263,,,
93,0.9963331714424478,,,,,,,,,
93.3,,,,,0.9991098844229774,,,,,
94,,0.9965157781428814,0.9992088720878617,,,,,,,
95.9,,,,,,,,,,0.9965793092372702
96,,0.997705512435556,,,,,,,,
