value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.3,,,,,0.0022131553757272523,,,,,
0.4,,,,0.018926612511282373,,0.005911600046979603,,,,
0.5,,,,,0.0036184411511123483,,,,,
0.7,,0.02907546992354925,,,0.005498944338463418,0.007308942085593223,,,,
0.725,,,,,,,,,0.03824027403008671,
0.9,,,0.013117801820183092,,0.008988397906327859,,,,,0.03460855635607506
1,0.04443321233285852,0.06594381071385384,0.03182635775457059,0.04318544747622023,,,0.05306365037796475,0.03870162297128589,,0.05190406498044389
1.1,,,,,,0.014783517386970388,,,,
1.212,,,,,,,,,0.05727502061568939,
1.3,,,,,0.017881752330262523,,,,,
1.5,,,,0.055391237936541,,0.020363851002382107,,,,
1.58,,,,,,,,0.04369538077403246,,
1.6,,0.08624558292017681,,,0.025790727829410526,,,,,0.06035401713765666
1.695,,,,,,,,,0.07663669055972207,
1.8,,,,0.0764146358397556,0.03249808215830171,0.02775711545237443,,,,
1.9,,,,,,,,,,0.08768384394871565
2,0.09690759546018472,0.1411450145780429,0.07723697280463905,0.09116156356314657,0.03983679676309054,0.03342177143218524,0.11734551735666128,0.07365792759051186,0.0954177055835582,0.09905503187245561
3,0.22083352478978083,0.28767785884154945,,,,,0.2575360784532234,,,
3.3,,,,,,,,0.16229712858926343,,
3.488,,,,,,,,,0.20165803816708222,
3.5,,,,0.21031729500798443,,,,,,
3.6,,,0.18661910386856023,,,,,,,
3.8,,,,,,,,,,0.2182235222814871
3.9,,,,,0.14257880123013422,,,,,
4,,0.41033495908742795,,,,,0.3419698742593934,,,
4.3,,,,,,0.1408544867026643,,,,
4.6,,,,,,,,0.2484394506866417,,
4.7,,,,0.31417065889050894,,,,,,
4.702,,,,,,,,,0.3074787377830693,
4.9,,,,,,,,,,0.30510251608238703
5,0.38933051509442634,0.5293374716164833,0.3207636446616017,,,,,,,
5.2,,,,,0.24239482420350167,,,,,
5.6,,,,,,0.25114211631065564,,,,
5.8,,,,0.4209123099354301,,,,,,
5.814,,,,,,,,,0.4137776238039241,
6,0.47031659238156504,,0.41453126258423045,,,,0.5187682249586746,0.33707865168539325,,0.4097349840881321
6.3,,,,,0.3489793008872988,,,,,
6.4,,0.6576108132801268,,,,,,,,
6.5,,,,,,0.3543828054652938,,,,
6.897,,,,,,,,,0.5208328250569676,
6.9,,,,0.5313892938971048,,,,,,
7,0.551601341726784,,0.5111009691535343,,,,0.6018461767054847,0.42446941323345816,,0.5072368305663768
7.2,,,,,0.4479263548787856,,,,,
7.3,,,,,,0.4587769041043911,,,,
8,0.627808666084639,0.7808994047858976,0.6093921984482805,0.6386586127890023,0.5384484830381328,0.5516579884899973,0.6779591760925688,0.4993757802746567,0.6255702860823359,0.605212232942731
8.2,,,,,,,0.7407737597741498,,,
8.6,,0.8267295470729709,,,,,,,,
8.7,,,0.6915923917420602,,,0.6514023110350872,,,,
8.8,,,,0.7134347011039367,0.6363772140039783,,,,,0.6893083550460987
8.876,,,,,,,,,0.7005333242250209,
9.1,,,,,,,0.8016753032075927,,,
9.3,,,,,,,,0.602996254681648,,
9.4,,,,,,0.7300539964283456,,,,
9.6,,0.8708533193599097,0.7672689199710059,,,,,,,
9.7,,,,,0.7223304661882811,,,,,0.7630232743954367
9.9,,,,0.784794834409498,,,,,,
9.942,,,,,,,,,0.7753890143992661,
10,0.8195791021458438,,,,,,,,,
10.4,,,,,,0.818625605690555,,,,
10.8,,,,,,,,0.7016229712858927,,
10.9,,,0.8436434535155306,,,,,,,
11,0.8593714101916096,0.9186182433794188,,,0.8178287995329292,,0.8859419401571293,,,0.8479086563289869
11.321,,,,,,,,,0.85105469378992,
11.4,,,,0.8555995278761369,,,,,,
12,,,,,,0.9086126260694636,,,,
12.5,,,,,,0.9310845361818231,,,,
12.9,,,0.9211488899030846,,0.9050719275497111,,,,,
13,0.9090428709277214,,,,,0.9452175667577147,0.9297375605950855,,,0.921169507677257
13.4,,,0.9382567317243415,,,,,,,
13.5,,0.9561583833823747,,,0.9255334315449318,,,,,0.9370579901352265
13.58,,,,,,,,0.797752808988764,,
13.675,,,,,,,,,0.9251101536539784,
14,,,,,,0.9652411167894862,,,,
14.2,,,0.9534651936964751,,,,,,,
14.3,,,,,0.9434898608970747,,,,,
14.4,,0.9651067488948903,,,,,0.9578945413346706,,,0.9537279372645618
14.458,,,,,,,,,0.9401974226728669,
14.8,,,,0.9270290911615635,,,,,,
15,0.9558424849515232,,,,,,,,,
15.5,,,,,,0.9818465995500799,,,,
15.6,,,,,0.9631299176516114,,,,,
15.625,,,,,,,,,0.9555140259879673,
15.7,,,0.9687072136164729,,,,,,,
15.8,,,,,,,,,,0.9690044997554269
16,0.9639066305196894,0.9760167681083478,,0.9416371589252239,,,0.9731988633197749,,,
17.1,,,,,,,,0.898876404494382,,
17.241,,,,,,,,,0.9701621442268751,
18,,,,,0.981106713464267,,,,,
18.1,,,,,,,,0.920099875156055,,
18.3,,0.9825735284238247,,,,,,,,
18.4,,,,0.9562452266888842,,,,,,0.9845266097490154
18.5,,,0.9843049477838332,,,,,,,
20,0.9819188530992969,,,,,,0.986738730707082,0.9438202247191011,,
20.27,,,,,,,,,0.985034717308884,
21.4,,,,,,,,0.9625468164794008,,
23,,,,,,,,0.9837702871410736,,
23.2,,,,0.9708810664444907,,,,,,
25,,0.9913337901567979,,,,,,,,
31.1,,,,,,,,1.0,,
35.62,,,,0.9854058182323127,,,,,,
81,,,,,,1.0,,,,
85,,1.0,,,,,,,,
89,,,,,,,1.0,,,
92,,,,,1.0,,,,,
98,,,1.0,,,,,,,
100,1.0,,,1.0,,,,,1.0,1.0
