value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,upenn_probability
21,,,,,0.011310869685104506,,0.013923810727146376,,
22,,,0.014642341930262833,,,,,,
23,,0.010164131907845203,,0.012134427023846607,,,,,
24,,,,,0.023636463905586498,0.01192953416883424,0.031169056794491123,0.009260683049906012,0.013969620858748954
25,0.018032538468956208,0.018971373119844735,0.033871081242743045,0.0211193022531409,0.03037555837423482,,0.04016836186745846,,
26,0.029259825598214655,,0.04359452517504662,,0.03860365080240446,0.023394025380310553,,,0.02435684954522414
27,0.042755529840705686,0.03464839632585454,,0.03690859377703942,0.04814978216511333,,0.06584433634468381,0.024636052959433125,
27.7,,,0.056919179479962,,,,,,
28,0.05936915962952249,0.04617778447021031,0.07102318707997607,0.04788703146090749,,0.04309529439583826,,0.0338520173602503,0.04156600087708807
29,,,,,,0.05754709545203752,,0.04581543279806941,0.05381447878756813
30,,,,,,,0.12831037968286058,,
31,0.13595349285724126,0.0986765714668139,0.13914886879420146,0.10018343543418821,0.11233110902773948,0.09912902971545677,,0.08117062439786732,0.0887590342918653
32,,,,,,,0.19035472866258135,,
33,0.20863008729273141,0.1523415148321036,0.20628056718623553,0.15197452670196934,0.16505818121656649,0.16092456845589975,,0.1328826425740368,0.14098792010525057
34,0.25067386682462933,0.1861332797938731,0.24596073326061715,0.18583740006229882,0.1986654166436883,0.20091826278868133,0.26786120411902203,0.1645575678075937,0.17505310939110724
35,0.2960743526516143,0.22228245411500946,0.28973998099996484,0.22085626276260686,0.2360006617768709,0.2463230078032632,0.3104175879714448,0.20113899183766973,0.2118019603487849
36,0.38840903142262817,,,,,,0.3972218712489734,,
36.9,,,0.38018366700679074,,,,,,
37,,0.34169720089009353,,0.33413629598864775,0.35730987701979816,0.39222826515330655,,0.3210383199595806,0.33335839299240805
38,0.4848305345474416,,0.47162309559832516,,,,0.4862009602628088,,
39,,0.4306279174823069,,0.41866888173606065,0.44866265924005955,0.49908567825333017,,0.41033518588836343,0.42611330383128015
40,0.5766141808213139,,0.5631416910031315,,,0.5496374241349413,0.5707198812306526,,
41,,0.5183824390570363,,0.5023223618177414,0.536772734792919,,,0.49855566608820084,0.5174933506472796
43,0.6907054593544655,0.5980340979437501,0.6800886668308646,0.5800643754542623,0.6170186951966029,0.6832702766611493,0.67821245814644,0.5785322241016259,0.6013270228555482
45,0.7483710101803254,0.6666047616657464,0.739845536750994,0.6478801093690514,0.6848067060056251,0.7516355324347758,0.7347779392254722,0.6475127016654166,0.6720966391579954
46,0.7995022339775821,,,,,0.8124970442184913,,,
46.7,,,0.791284613490025,,,,,,
47,,0.7552627616322843,,0.7371612501297892,0.768466332101693,,0.8059226735738202,0.7379149812181673,0.7610698196274084
48,,,,,,0.8573224560573816,,,
49,0.8538799575704977,0.7999598454048085,0.8470162907709088,,0.8111950587326973,,0.840973845473498,,0.805640701442639
50,,,,0.8046447236354827,,,,0.8041127035483071,
51,,,,,,0.904019862851738,,,
53,0.9001299518305759,,0.8970127722458745,,,,,,0.8678296626628166
54,,0.8751995181448577,,0.8647907797736476,0.8833618265041637,,0.8992071514309179,0.866159436890218,
57,,,,,,0.9507960904863246,,,
58,,,,,,0.9607078111452668,,,
60,,,0.9452183244783786,,,,,,
61,0.9476978321463175,0.931712091552477,,0.9250545114733673,,0.9707377630645543,0.9435861393644577,,0.9308342018783353
61.1,,,,,0.9369602382396736,,,,
62,,,0.9577741810632983,,,,,0.9302608744771056,
63,0.9585899078398149,0.9464839632585454,,0.9417852074897034,,,0.956380693663529,,0.9454770163058646
64,,,,,0.9509182154083715,,,0.9450619627878076,
65,,,0.9677122550226945,,,,,,
66,,,,,,0.9817490344447072,0.9662312843515067,,
67,0.9698034191566448,0.9624604728203584,,0.9578790710552729,,,,,0.9609137662958976
68,,,,,0.9643633155021232,,,0.959134215572132,
70,,,0.9790682945709158,,,,,,
71,,0.9734645050109588,,,,,0.978007138795881,,0.9724924678638349
72,0.9791434199831935,,,0.9716886443083099,,,,,
73,,,,,0.9754646225114433,,,,
74,,,,,,0.9908646646173248,,0.9741392836856954,
78,,,0.9891435910066501,,,,,,
79,,0.9863541300674262,,,,,0.9889901446711732,,0.9870270701271777
81,,,,0.986058907001696,,,,,
82,0.9901135586137859,,,,,,,0.9861937054970987,
83,,,,,0.9882148568907516,,,,
160,1.0,,,1.0,,,,,
165,,,,,,,1.0,,
185,,,,,,,,1.0,
188.6,,,1.0,,,,,,
215.2,,,,,,,,,1.0
240,,,,,,1.0,,,
249,,,,,1.0,,,,
250,,1.0,,,,,,,
