value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucsf_probability,umn_probability,upenn_probability
0.0145,,,,0.012236573759347382,,,
0.0245,0.008306596932272666,,,,0.027078464911224072,,0.005873715124816446
0.025,,,,0.01563562202583277,,,
0.0295,,,,,,0.017813837375178318,
0.0345,,0.057753393011839446,,,,,
0.035,,,,0.016315431679129844,,,
0.035,0.009713004878477564,,,,0.016695174540461107,,0.006469599267913767
0.045,,,,0.010197144799456152,,,
0.045,,,,,,0.07070256776034237,
0.045,0.012350019777611744,,,,0.018670649738610903,,0.00812956223797059
0.08449999999999999,,,0.20596727622714148,,,,
0.0895,,,,,,0.19126248216833094,
0.0935,,0.1886995861006834,,,,,
0.10950000000000001,,,,,,,0.20000425631530783
0.11449999999999999,,,,0.1910265125764786,,,
0.1195,,,,,0.19198246163482618,,
0.1645,0.19663341097877202,,,,,,
0.245,,,,,,0.17385877318116977,
0.245,,,0.19682386910490857,,,,
0.2635,,0.18821830782558474,,,,,
0.305,,,,,,,0.19436463853242247
0.32999999999999996,,,,,0.18323737020887038,,
0.345,,,,0.18830727396329028,,,
0.515,0.1917549334153738,,,,,,
0.72,,,,,,0.18231098430813125,
0.76,,,,,,,0.19340696758815892
0.7945,,0.18873808836269132,,,,,
0.795,,,,,0.18769423498518395,,
0.835,,,0.19923002887391722,,,,
0.929,,,,0.18694765465669613,,,
1.405,0.19346899309981103,,,,,,
2.285,,,,,0.18692331783468646,,
2.455,,,,,,,0.1958117857370874
2.759,,,,0.18966689326988442,,,
2.7800000000000002,,,,,,0.18179386590584878,
3.1550000000000002,,0.18814130330156897,,,,,
3.376,,,0.19778633301251203,,,,
4.0895,,,,,0.03784721385723578,,
4.6695,,,,,,,0.03937091659750154
4.9715,,,,0.038069340584636305,,,
5.17,0.19382059508636224,,,,,,
5.4345,,,,,,0.036608416547788875,
5.715,,,,,0.037413572960080944,,
6.197,,0.037712965636731155,,,,,
6.6195,,,0.04042348411934552,,,,
7.06,,,,,,,0.03915810083210964
7.406000000000001,,,,0.038069340584636305,,,
8.205,,,,,,0.03637660485021398,
8.78,,,,,0.03743766412103399,,
9.419,,0.037674463374723265,,,,,
10.2345,0.038852019513910256,,,,,,
10.235,,,0.03994225216554379,,,,
12.161000000000001,,,,0.037389530931339225,,,
12.210999999999999,,,,,,,0.0390304113728745
14.549999999999999,,,,,,0.0363944365192582,
15.195,0.03880806926559135,,,,,,
16.0405,,0.037674463374723265,,,,,
16.95,,,,,0.037534028764846177,,
17.97,,,0.03994225216554379,,,,
23.35,0.03876411901727245,,,,,,
25.005,,,,0.038069340584636305,,,
26.314,,,,,,,0.039179382408648836
29.77,,,,,,0.036430099857346646,
33.093,,0.03769371450572721,,,,,
36.625,,,0.04475457170356112,,,,
37.805,0.038720168768953546,,,,,,
68.408,,,,,,,0.039200663985188025
333.265,,,0.03512993262752647,,,,
458.29,0.03880806926559135,,,,,,
495.228,,,,0.038069340584636305,,,
511.52,,,,,0.037485846442940084,,
520.23,,,,,,0.03644793152639087,
522.829,,0.03769371450572721,,,,,
