value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
8,0.0034209827970139955,,,,,,,,,
11,0.005927588235972817,,,,,,,,,
16,0.009282228196282494,,,,,,,,,
21,0.01183786964497929,,,,,,,,,
30,0.014684842680942877,,,,,,,,,
43,,0.018310032793352565,,,,,,,,
47,,,,,,,,0.004472531918832635,,
48,,0.03582118993022166,,,,,,,,
51,,0.05315481914342777,,,,,,,,
51.1,,,,,,,,,,0.001466585302980212
53,,0.06707596715733412,,,,,,0.00854547632590592,,
55,,0.08313238158640925,,,,,,,,
56.2,,,,,0.0030963984309996433,,,,,
57,,,,,,,,0.01293758811658573,,
57.9,,,,,,,,,0.001492185659310453,
60,,,,,,,,0.017056606555413238,,
60.4,,,,,,,,,,0.0029251604578309394
61.58,,,,0.004459704195593118,,,,,,
62,,0.1561111522055379,,,,0.0013489400575433922,,0.020448493002192286,,
62.4,,,0.0017973495627126913,,,,,,,
62.6,,,,,,,0.0016064829103455917,,,
66,,,,,0.006139308213479139,,,,,
66.4,,,,,,,,,,0.004374997269267683
68,,,,,,,,,0.0029974606665095944,
69,,0.23294622383312374,,,,,,,,
70.8,,,,,,,0.0032103279177185303,,,
71,,,0.003606313662179584,,,0.002599697769126348,,0.03863516990008637,,
71.2,,,,,,,,,,0.005861243844929358
71.4,,,,,0.009194104362296446,,,,,
72.7,,,,0.008942046483549652,,,,,,
73.28,,,,,,,,,0.004450378282153983,
74.8,,,,,,,,,,0.007284865626124151
75,,,,,,,0.004816810828064122,,,
75.1,,,,,0.01220135504576251,,,,,
76,,,,,,0.0038077675042047657,,,,
76.2,,,0.0053862414197609725,,,,,,,
77,,,,,,,,,0.00594910861540878,
77.7,,,,,0.015244264828242007,,0.006439121156245631,,,
78,,0.3034889168330991,,,,,,,,
78.4,,,,0.013431934802293993,,,,,,
79.1,,,0.007215530958547718,,,,,,,
79.5,,,,,,,0.008013949230919389,,,
79.7,,,,,,,,,0.007421660252886202,
80,,,,,,0.005199395538252696,,,,
81,0.029110082957390593,,0.00894609693492375,,,,,0.05813202471913689,,
81.1,,,,0.01789163899788711,,,,,,
82,,,,,,0.006317820522671584,,,,
82.7,,,,0.02229852097796559,,,,,,
84.2,,,,,0.030446927374301675,,,,,0.014593761696636757
84.7,,,,,,,0.016046363782647347,,,
85.7,,,,,,,,,0.014908767245215844,
85.9,,,0.017494395986016098,,,,,,,
86.4,,,,0.0448988831874434,,,,,,
86.6,0.043898766600131534,,,,,,,,,
87,,,,,,0.013096671191592177,,,,
87.2,,,,,0.046101271841198145,,,,,
87.3,,,,,,,0.024234414609761824,,,0.02181381794244053
87.9,,,,,,,,,0.022487499672766302,
88,,,0.02733190861682482,,,,,0.07912586671536552,,
88.1,,,,0.0669408391186236,,,,,,
88.8,0.058978781830139264,,,,,,,,,
88.9,,,,,0.061553548080351836,,0.032351242056614674,,,
89,,,,,,0.021378138633472495,,,,0.029461324820244994
89.2,,,0.035418529831937655,0.08850739511017205,,,,,0.03025602764470274,
90,0.07275213162418802,0.3785240525679907,0.04367356182998641,0.11014186537881075,0.07603114227980506,0.02912173757139564,0.03993257520001899,0.09576948240432727,0.03699704180737716,0.03627286351144505
93.7,,,,0.2920691216420163,,,,,,
94,,0.5073353551791306,,,,,,,,
95.2,0.2613157803648279,,0.23525824922472968,,,,,,,
95.5,,,,,0.2667360038036372,,,,,
95.8,,,,0.4671747660730456,,,,,,
95.9,,,,,,,,,0.23524830492944843,
96,,0.6720861996696008,,,,0.33376448189602914,,0.3207171464928028,,
96.3,,,0.4267151767151767,,,,,,,0.23553185198993926
96.9,0.446017122220812,,,,,,,,,
97,,0.8100944349927263,0.639824504349644,,,0.4960001366015248,,,,
97.3,,,,,,,0.23508991292282289,,,
97.5,,,,0.649962269846061,0.447367169856175,,,,,
97.6,,,0.8095680553781113,,,,,,,
97.8,,,,,,,,,0.42868923270242676,
97.9,0.6380363674123987,,,,,,,,,
98,,0.9519047266809675,,,,0.7198131974148162,,0.5787870131545549,,0.4304493401822527
98.7,0.8222271578728756,,,,0.651949364079401,,0.43630387587083774,,,
98.9,,,,0.8322064594023544,,,,,,
99,,,,,,0.9461320424489238,,0.8180444337962238,0.6297808843163434,0.8886159774783763
99.3,,,,,0.8239331986211815,,0.6534982550271836,,,
99.7,,,,,,,0.8441210375399972,,,
99.9,,,,,,,,,0.8281892196130789,
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
