value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
10,0.1275193247024233,0.2830716283071628,,0.2577100479334358,,0.37417083485391667,0.14812848508031143,0.139728832066973,0.23460946797085885
12,0.3200708177233999,0.47587294758729476,,0.4708832011897943,,0.5546658652298049,0.21326795424343048,0.33974248145957503,0.32363171083311565
13,0.41165963231690933,,,,,,,,
14,0.537677241902594,0.5853588585358859,,0.6097796267824305,,0.6166412639804221,,0.45997543109331634,
15,0.634482540585827,0.7248153724815373,0.16420509454260343,0.7107413101805794,,0.7812721379043858,0.3524766122463785,0.511201601528732,0.5984360336303564
15.5,,,,,,,,,0.6004387619849263
16,0.741720807448507,,,0.8013174158150191,,0.8187750896249705,0.413274879062973,,
17,,0.8185272818527282,0.21221486789562935,,,,,,
17.7,0.8001296217258659,,,,,,,,
18,,,,,0.20416674812483301,,0.5173615118529827,0.6369898539514992,0.7562815042715196
19,,,,,,0.9026683554086254,,,
20,0.9349520241539021,0.9597045959704597,0.3793829659209015,0.9401786701235014,0.3939577590532606,,0.653823324770739,,0.8605999477549124
21,,,,,0.4009501280522375,,,,
22,,,0.42846853746148095,,0.5021276873049076,,0.7415014327781386,0.7023795441102871,
24,,,0.51415859818026,,0.6373808267026386,,0.8075592649139179,,0.9177526872357511
25,,,0.6175628612585016,,,,,,
26,,,,,0.7580757626113533,,,0.8102552436416579,
28,,,0.7495304779096694,,0.8440695196574847,,0.9365076486280614,,
30,,,0.854666958408548,,0.9428945670661375,,,,
32.5,,,0.9010812683478293,,,,,,
35,,,,,,,,0.9023067473497429,
45,,1.0,,,,,,,
80,,,1.0,,,,,,
88,,,,,,,1.0,,
97.4,,,,,,,,,1.0
100,1.0,,,1.0,1.0,1.0,,1.0,
