value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.2,0.713506139154161,,,,0.4271362723082378,,,
0.4,,,,,0.5317338376078478,,,
0.5,,,,,,,0.3190650289610976,
0.6,,,,,0.6219123035102234,,,
0.7,0.8136084583901774,,,,,,,
0.9,,,,,0.726628058149155,,0.4116994618576182,
1,,,,,0.8000236378678643,,0.5690835147681058,
1.3,,,,,,,0.6117323255145216,
1.6,0.9007503410641201,,,,,,,
1.9,,,,,0.9002481976125754,,,
2,,,,,,,0.7271823522162428,
3,,,,,,,0.8000739432280327,
3.9,,,,,,,,0.10180269386758542
4.7,,,,,,,,0.21509298319384723
4.8,,,0.10400244668805092,,,0.11173847842811005,,
5,,0.33608056423590404,0.5191748253275904,0.3750215217634839,,0.5568902539183211,,0.36966753930252433
5.1,,,,,,0.6468470853220865,,0.4048926386609335
5.2,,,,0.40639029088402007,,,,
5.3,,,0.6204848228881842,,,0.7001927401600299,,
5.6,,,,,,,,0.506048315993652
5.9,,,,,,,0.9007599720658916,
6,,0.45751532644736526,,,,,,
6.4,,,0.7007194427959237,,,,,
7,,,,0.5151381640826767,,,,0.6026667390095357
7.9,,,,,,0.8157671141090288,,
8,,0.578039646000811,,0.6918865395184689,,,,0.7082036813477477
8.1,,,,0.7044154012370972,,,,
8.2,,,0.8047073258646239,,,,,
8.4,,,,,,0.9021043065785727,,
9,,0.6221503939950542,,,,,,
9.6,,,,,,,,0.800275355045237
10,,0.7306163179949587,0.905969991662328,0.8593698427651913,,,,
12,,0.8418652544866138,,0.9218682920704425,,,,0.9231474573742251
14,,0.9028529853772572,,,,,,
36,,,,,1.0,,,
40,1.0,,,,,,,
47,,,,,,,,1.0
50,,1.0,1.0,1.0,,1.0,1.0,
