value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
4.9995,,,,,,0.10041928472676451,0.12458189096725569,,
5.4995,,,,0.1345563254595651,,,,,
5.9995,0.13154102201725676,0.10322085065214276,0.17349536568301188,,0.15053821259928313,,,0.2335947966545092,
6.4995,,,,,,,,,0.11002891882212894
11.0,,,,0.0836848197929511,,0.17426878403118937,0.1075814058634391,,
13.0,0.11153674501636418,0.11232666260570445,0.16525875227456496,,0.10671283488823262,,,0.15185017700897793,
13.0,,,,0.23703020858137785,,0.12747775075457243,0.0903556514197332,,
14.0,,,,,,,,,0.0929090341387671
14.5,,,,,,,,0.024094493069672367,
15.0,,,,0.17092214800861014,,0.19103047491996306,0.16504256875383147,,
15.0,0.286187146682535,0.20161109717643685,0.20326476005870925,,0.3441405083692873,,,,
15.5,,,,,,,,0.20939676072865995,
16.0,,,,,,,,,0.10591327412437888
16.5,,,,,,0.007647016354367253,,,
17.0,0.15498317093127045,0.12445580120395586,0.12121842666439502,,,,,,
17.0,,,,0.12070559777060529,,,0.09210099217834657,0.12060629625090336,
17.5,,,,,,0.10046023260550274,,,
18.0,,,,,0.1593157405428964,,,,
18.0,,,,,,,,,0.11027680950971969
19.0,,,,,,0.10301570351149612,,,
19.0,,,,0.10123140108121871,,,0.11303951907578387,0.09751835244297748,
19.0,0.1288748698304076,0.1273313207682385,0.11914460996186133,,,,,,
19.5,,,,,,,,,0.10734668883969753
21.0,,0.07118030672208686,0.04788770945897823,,,,,,0.08382291744132507
21.0,,,,,,,0.05126407089110909,,
21.0,,,,,0.03972316047607795,,,,
22.0,0.10863582267182387,,,,,,,,
22.0,,,,0.07844423330370552,,,,0.0862265461343296,
23.0,,,,,,0.11123814531971134,,,
23.0,,0.07450148702880895,,,,,,,
23.5,,,,,,,0.07943505469038974,,
23.5,,,,,,,,,0.11857969711977392
24.0,,,0.09263047937983804,,,,,,
25.0,,,,,0.12606499870523327,,,,
26.0,,0.1041995126845349,,,,,,,
26.5,,,,,,,,,0.10383837632654482
27.5,,,,,,,0.10574468600751613,,
30.0,,,,,,,,,0.08721216331038499
112.0,,,,0.07342526600196628,,,,0.07671257770997011,
112.0,0.07824122285034216,,,,,,,,
113.0,,,,,,0.0844426077764332,,,
113.0,,,0.07709989651864131,,,,,,
114.0,,0.08117296115809088,,,,,,,
114.0,,,,,0.07350454441898935,,,,
115.0,,,,,,,0.07085416015259514,,
116.0,,,,,,,,,0.08007212036727906
