value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
28,,,,,,,0.0008806849791427419,,
36,0.001282267853101412,,,,,,,,
37,,,0.0017550280478061489,,,,,,0.0014574616662150677
38,,,,,,0.0016896184781132902,,,
39,,0.0014910540324315842,,0.0012652255425164558,0.0014088306110926734,,,,
41,,,,,,,0.0019063350925728755,0.0018292349382068238,
42,0.002561437653149807,,0.0034662181315454656,,,0.00343311509647254,,,0.0029215505555768564
43,,0.002946445447488579,,,0.0027885722747953527,,,,
44,,,,0.0030305692748895958,,0.004991768249064883,0.0028388763371871594,0.003539710871182394,
45,0.004086902670913065,0.004313274696065343,0.005708746982051782,,0.004065841510192371,,,,0.004784350617437054
46,,0.005313135611857583,0.006827023884646152,0.0044940285981932586,0.005030536783635087,0.007331239987990977,0.003869029375630228,0.005480742825790227,0.005664670580687841
47,0.005813007387715143,,,0.005519122368399659,,0.008774179473224305,0.004488108937086004,0.006676105257167211,
48,0.006993936294898126,0.0076142065602573415,0.00979555218884464,0.006767463645675565,0.0072799057518104565,0.01045882458454566,,0.008259718282569446,0.007949434424979926
49,0.008356101305682612,0.009053193171322025,0.011618192591560179,0.008272039281555755,0.008642987382007958,0.012380865070735367,0.006199656208938044,0.010227014247949575,0.009404281892445075
50,0.010320593052143168,0.011009882111274499,0.014144315961402717,0.01042103104078363,0.01046012103646564,0.01569445358530841,0.007468900040003405,0.012515261581995929,0.011382267220277523
51,0.012533173625980859,0.013088180576474323,0.017004853183387788,0.012627085363092998,0.012410138291500342,,0.008793486272034192,0.015164758780900503,0.013567920827752555
55,0.02519809603442687,0.026401035642408557,0.033326915925011545,0.02618577569441231,0.025363843231729168,0.03571175758616648,0.017441571642844256,0.03026085540741172,0.02633972640988325
57,,,,,,0.048155618636266356,0.024206272313082856,,0.03617794236324668
58,0.039869823071820694,0.04268113934929988,0.051670996897316204,0.04260681799137277,0.04146814561927063,,,0.04823811033205187,
59,0.04665504842419977,0.04948770650141402,,0.04944619610010993,,0.06362030267578737,0.032790009432901626,0.055840749478357335,0.04898242542975134
60,0.05744564873557041,0.06146190578649742,0.07542444363365526,0.06097564788677787,0.06075874552592156,0.07674153628294876,0.04032805116020042,0.06973651082432711,0.06000691432637785
70,,0.20362403517760577,0.23180704050281956,0.19786811137611765,0.2024958316860615,0.22567348089754682,,0.21556921717960992,
71,0.20552076315156131,,,,,,,,0.2095674491712623
72,,,,,,,0.17048088624536525,,
77,,,0.3597220056705067,,,,,,
78,,0.35300237631907105,,0.33929415641833455,0.3491780389025005,0.3731604966801948,,0.3553182135389318,
79,0.34790940118873925,,,,,,,,0.3534635656827067
80,,,,,,,0.3048520905337767,,
84,,,0.5096201688849704,,,0.49606283417916486,,0.4842599930785307,
85,0.47707253227029894,0.504415388657148,,0.4779550903558328,0.4904883108709363,,,,0.48033670788172667
87,,,,,,,0.43588081716178023,,
91,,,0.6374587163678064,,,,,,
92,0.6126810812009489,0.6428355584825318,,0.6083968265085465,0.6243592167668692,0.6471669796295869,,0.638809256792958,0.6257584157478598
93,,,,,,,0.5621894615867088,,
100,0.7451419267020214,0.7711337264938773,0.775148163827692,0.7342827814263077,0.7515421769903782,0.7714830795286111,0.6900809567815067,0.7602397502671986,0.7572619689484555
103,0.8057565575999807,0.8241250474015622,0.8274606290112602,0.7896361253237714,0.8055804501117941,0.8241221883278066,0.7578579672866855,0.813127842927218,0.8143828995811961
107,0.8505047543700485,0.8675348928992163,0.8671787678840182,,0.8493989826801763,0.8676059919786224,0.8123241861979829,0.8567982255400745,0.8589507917903519
108,,,,0.8454064167712032,,,,,
112,0.8968050757196777,0.9099039843464884,0.9080781417684537,,,0.9103053299074573,,,0.904237542792599
113,,,,,0.9008410672470353,,0.8783600172796115,0.9079724901984222,
114,,,,0.8968580883759963,,,,,
120,,0.9531810460321177,,,,0.9546428948575553,,,0.9502954136313679
121,0.9478816165445164,0.9610803157805893,0.9530004822176047,,,0.9627955692606809,0.9364577725860183,0.9490676736624831,0.959039312229075
122,0.9565361908035437,0.96449061300473,0.9605491657861861,,0.949751752278524,0.9662812362662548,0.9471055924295082,0.9574021688621182,0.9627544784893637
123,0.9603983215726891,0.9676618518170698,0.9638355665012796,0.9467113828713507,0.9573844276286823,0.9695442622184433,0.9519089061174996,0.9611598010344631,0.9660727222394566
124,0.9641737883840621,,0.9671546727275849,0.9543708985305687,0.9609106691647902,,0.9564224347925618,0.9647045952625692,
125,,0.9730599833336702,,0.9579150308731916,,0.9751046520707193,,,0.9721631861744292
126,0.9706802704893815,,0.9729357492055862,,0.9669480801955835,0.9776327801899528,0.9641305708808331,0.9710193769830388,
127,,0.9777250103124402,,0.9640025901713565,,,,,0.9770615984110075
128,0.9761622753666953,,0.977809247747455,,0.9723131398742035,0.9819354055805486,0.9707322947167326,0.9751342807409104,
129,,0.981673694183546,,0.9696982156458357,,,,,0.9812234486840123
130,0.980549770711463,,0.9817715833260008,,0.9767261976382419,,0.9760797360530613,0.9798469578042698,
131,,,,0.9742629080207764,,0.9868615253879599,,,
132,,0.9862992545324215,,,0.9805273297271854,,,,0.986181551792047
133,0.9851220893791567,,0.986047199964829,,,,0.9825472436724462,,
134,,,,0.9799025652826989,,,,0.9860802953062013,
135,,,,,0.9851036822640721,0.991511789117312,,,
136,,0.990641772574734,,,,,,,0.9906824911607978
