value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.4995,,,,,,,,0.005827371003417238
2.9995,,0.0053781257305154295,,0.00622825620993448,,,0.005180275651167674,
3.0,,,,,,,,0.0020383670595672983
3.4995,0.004686635022879977,,0.0037016894109473102,,0.00544424278679257,0.004148539152387706,,
5.5,,,,,,,,0.0012847157386786576
6.5,,0.0017383531216374401,,0.001878154131726869,,,0.0021125784218849466,
6.5,,,,,,,,0.0021426097892694425
7.5,0.0018742818509289224,,0.0014699807372412685,,0.002795275636066185,0.002067980427085972,,
7.5,,0.003376896494664118,,0.003952400288054374,,,0.005298900676608497,
7.5,,,,,,,,0.003224069072784534
8.5,0.003105117640764971,,0.0022191530761539275,,0.0047472543395109595,0.0031353775186858733,,
8.5,,0.00554250538228447,,0.00688118888925045,,,0.00794469882500513,
9.0,,,,,,,,0.015772768391715167
9.5,0.00946514660708,,0.008342706661557687,,0.010466387520181643,0.010649084820604388,,
9.5,,0.01074486964759279,,,,,,
10.0,,,,0.03474563921614123,,,0.0355160290583407,
10.5,,,,,,,,0.012793450452907673
10.5,,0.014923417906044005,,,,,,
10.5,0.012636167266513358,,0.008798416303280784,,0.015102914981410859,0.01110731357710977,,
11.5,0.023879687449118992,,0.024643840633686864,0.03489999448225905,0.028161236318261933,0.03243659083756183,0.03947699502178057,
11.5,,0.024803707494398836,,,,,,
11.5,,,,,,,,0.023562669025453613
12.999500000000001,0.08790997492583973,0.09975338674614091,,0.1264755358929049,0.10666248250945642,0.10688456246524906,0.12309516359462949,
13.499500000000001,,,0.12301688239958937,,,,,0.13185673000677578
15.0,0.10470066848920818,0.11392571440578617,,0.13293836683356655,0.12556055482130132,0.11576470575505833,0.13252397959118334,
15.5,,,0.07983330329965006,,,,,0.06578718188888838
16.5,,,,0.0575439544659039,0.0590093335564998,,0.04489546934458511,
17.0,0.11703918671022985,0.12595388351852127,0.12963602428629886,,,0.1241760707479232,,0.13256531068466051
18.0,,,,0.1291162701203009,0.12749146715811246,,0.12092917782422541,
18.5,0.05030408428143225,0.057520183019560085,0.0423126239702621,,,0.05286293563684803,,0.05147718526412628
19.5,0.07039806973934969,0.06698700634667427,0.0824347190245927,0.06716774356935588,0.06632912524096263,0.06981117810369847,0.07027126427099135,0.07218994577185248
20.499499999999998,0.1181703151094688,0.11862498062902906,0.12222217162395921,0.11166959767179628,0.11517008329307388,0.11747508381136502,0.1069759625666661,0.11776108882037206
21.5,,,,0.047541563444824714,,,,
22.0,0.0976362525527728,0.09607235506354991,0.08814497876933025,,0.08888529504666778,0.08929252753058116,0.0765008567705506,0.08852552369742553
23.0,,,,0.07022188392653765,,,,
24.0,0.0854571421039655,0.07585190684773672,0.07464036019602345,,0.06942729412411507,0.07323964349586343,0.06591714243554869,0.07507571513801788
26.0,,,,0.08398199801644286,,,,
26.5,,0.07595313932302725,,,0.07030437431542337,,,
27.0,0.09943509483056721,,,,,0.08809339643401189,0.07978431779060914,0.09260114454468951
27.5,,,0.11182509597225539,,,,,
28.499499999999998,,0.03750679625590869,,0.02900534937911266,0.03547357770232993,,,
29.499499999999998,0.034215994430031926,,,,,0.032900635366360516,0.02877868729954754,0.03502781745917286
29.5,,0.01614838557731622,,0.013167310638911958,0.016076849077851913,,,
30.499499999999998,,,0.030617247487742028,,,,,
30.5,,0.009292046826531532,,0.0072183370094692926,0.008747423384257848,,,
30.5,0.012046529081839143,,,,,0.010698857011393639,0.008220130861284562,0.010800086565321818
31.5,,,0.012601916647746531,,,,,
31.5,0.011286938641963631,,,,,0.010617841950842657,0.009682382324425358,0.012185637747068342
31.5,,0.010483963462627815,,0.0076183024882182085,0.009394571890967165,,,
32.5,,,,,,0.007662077120657123,0.006129086130543212,0.0076561055961984125
32.5,,,0.008419146180333511,,,,,
32.5,,,,0.0048929628995587225,0.006105521173561042,,,
33.0,0.01647211061782917,,,,,,,
33.0,,0.012075228533680975,,,,,,
33.5,,,,,,,0.0059256544095853195,0.00850920920419447
33.5,,,0.008443606826341774,,,,,
34.0,,,,0.009924152283991053,0.011013085425015874,,,
34.0,,,,,,0.013846542327258377,,
34.5,0.00675118276535269,,,,,,,
35.0,,,0.012312357245132754,,,,,
35.0,,0.007589699633943369,,,,,0.008457712929430537,0.012480486115222627
35.5,,,,,,0.004891740751265234,,
36.0,,,,0.004985632651444304,,,,
36.5,0.013163856613639289,,,,,,,
36.5,,,,,0.008670351311207912,,,
37.0,,,0.007504994590684267,,,,,
37.5,,,,,,0.009014988056702969,,0.009127884744650011
38.0,,,,,,,0.00861470966442019,
40.0,0.009433668224045453,,0.008659328906563585,,,,,
48.0,,0.009753448032828653,,,,,,
48.5,,,,0.007945405490293728,,,,
49.0,,,,,0.008961298386971428,,,
49.5,,,,,,0.009222327101485362,,0.009726926217569421
50.0,,,,,,,0.00776882453698651,
51.0,0.009931895045178458,,0.008199455750626316,,,,,
