value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
34.1,0.002360054304928488,,,,,,,,
35,,,,0.0012345077400386596,,,,,
35.1,,,,,0.0019544022353011115,,,,
35.38,,,,,,,,0.001547433014445249,
35.4,,,,,,,,,0.0019685491364253536
35.915,,,0.0017406104805682322,,,,,,
36.2,,0.00122531011423417,,,,,,,
36.3,,,,,,,0.0014340826920357915,,
36.8,0.004722739662593797,,,,,,,,
37.104,,,,,0.003797336662505202,,,,
37.413,,,,0.002371554342705846,,,,,
37.7,,,,,,0.002929261452165784,,,
37.8,,,,,,,,,0.003894237171902099
38,,,0.0035335494407738007,,,,,0.003153942905057743,
38.4,0.007127521864048243,,,,,,,,
38.5,,,,,,,0.0028008375581544094,,
38.7,,,,,0.00572944533618691,,,,
39.1,,0.0025320061401148896,,,,,,,
39.336,,,,0.003557331514058769,,,,,
39.4,,,,,,,,,0.00585819404751153
39.462,,,,,,,,0.004625147692190418,
39.599,0.009561245645607721,,,,,,,,
39.7,,,0.0052658975298203485,,,,,,
40,,,,,0.00760953569942334,0.005858522904331568,,,
40.2,,,,,,,0.0042079891198233315,,
40.4,,0.0036691481833986306,,,,,,,
40.5,0.011795009419168797,,,,,,,,0.007790005097409506
40.551,,,,,,,,0.006168769295270039,
40.6,,,,,,0.008413836086008103,,,
40.7,,,0.006981720835823526,0.004751230446859315,,,,,
41,,,,,0.009482194875453303,,0.005520881725208211,,
41.2,,,,,,0.011343097538173886,,,
41.3,,,,,,,,,0.009700385596833177
41.459,,,,,,,,0.007704768075618401,
41.5,,,,,,0.013836086008102213,,,
41.549,,,0.008700298272333934,,,,,,
41.6,,0.004874111819721163,,,,,,,
41.64,,,,0.005928885856764615,,,,,
41.8,,,,,,,0.006894369373918547,,
42.5,,0.006054207538596138,,,,,,,
43,,,,,,0.02580243066375818,,,
44,0.02357686357465349,,,,,,,,
44.5,,,,,0.019083288746210094,,,,
44.699,,,,,,,,,0.019448224555430885
