value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.4945,,,,0.20380736934933477,,,,,
0.9995,0.347685592350176,0.31332696148054806,0.3568762704457941,,0.38497612528139125,0.3118632994348287,0.3643357840963346,0.38563280750471385,0.3119378794700906
1.1949999999999998,,,,0.09633409697992153,,,,,
1.7,,,,0.21252020947560804,,,,,
2.5,,,,0.09205056682386922,,,,,
2.5,0.13023984514144543,0.12695961170854647,0.11688466417954904,,0.10978158803731616,0.13080669023543967,0.06087198977926149,0.14756507688017026,
3.0,,,,,,,,,0.21180510015013168
3.5,0.1161689596398419,0.15551814910135517,0.10632216487614439,,0.11451765400853907,0.13881696194900214,0.11253757763213268,0.1400910199901926,
4.5,0.0645685925284283,0.05258113433218355,0.03980220919690339,,,0.0779093834070961,,0.05791045750567189,
4.5,,,,0.11377735068951855,,,,,
5.0,,,,,,,,,0.12643827361644264
5.0,,,,,0.1405068902713289,,0.1333553027629585,,
5.5,,,,,,0.0770265003651352,,,
6.0,0.04452920023629483,0.05312443267372198,,,,,,,
6.5,,,0.1036987387492645,,,,,0.07689507295579363,
7.0,,,,,,,0.036347690048933484,,
7.5,,,,,0.05202113005741488,,,,
7.5,,,,0.0818803279526603,,,,,
8.0,,,,,,0.08003587027673338,,,
8.5,,0.13895489155391336,,,,,,,
10.0,,,,,,,0.12084121999686735,,
10.5,,,,,,,,,0.05202010709783438
12.5,,0.09539758225563588,,,,,,,
13.5,,,,,,,0.08173264729582584,,
17.0,,,,0.10164687256367982,,,,,
18.5,0.13678583056011007,,,,,,,,
19.0,,,0.08860885008537857,,,,,0.09260535319034788,
24.5,,,,,0.12357508994529577,,,,
25.0,,,,,,0.09259425091788305,,,
27.5,,,,,,,,,0.16061384970336487
35.0,0.07533591725556228,,,,,,,,
37.5,,0.06413723689409553,,,,,0.08997778838768605,,
40.0,,,0.13755769250724748,,,,,,
42.5,,,,0.09798320616540777,,,,,
45.0,,,,,,,,0.09930021197310986,
45.0,,,,,,,,,0.08671107066735355
50.0,0.08468606228814121,,,,,0.0909470434138817,,,
50.0,,,,,0.07462152239871402,,,,
55.0,,,,,,,,,0.05047371929478226
55.0,,,0.050249409959718536,,,,,,
