data_type,category,reference_unit,emory__total_number_of_stays,mimic__total_number_of_stays,nu__total_number_of_stays,ohsu__total_number_of_stays,rush__total_number_of_stays,ucmc__total_number_of_stays,umn__total_number_of_stays,upenn__total_number_of_stays,all__total_number_of_stays,emory__total_observations,mimic__total_observations,nu__total_observations,ohsu__total_observations,rush__total_observations,ucmc__total_observations,umn__total_observations,upenn__total_observations,all__total_observations,emory__total_distinct_observations,mimic__total_distinct_observations,nu__total_distinct_observations,ohsu__total_distinct_observations,rush__total_distinct_observations,ucmc__total_distinct_observations,umn__total_distinct_observations,upenn__total_distinct_observations,all__total_distinct_observations,emory__mean_icu_los_days,mimic__mean_icu_los_days,nu__mean_icu_los_days,ohsu__mean_icu_los_days,rush__mean_icu_los_days,ucmc__mean_icu_los_days,umn__mean_icu_los_days,upenn__mean_icu_los_days,all__mean_icu_los_days,emory__mean_icu_los_hours,mimic__mean_icu_los_hours,nu__mean_icu_los_hours,ohsu__mean_icu_los_hours,rush__mean_icu_los_hours,ucmc__mean_icu_los_hours,umn__mean_icu_los_hours,upenn__mean_icu_los_hours,all__mean_icu_los_hours,emory__whole_stay_mean,mimic__whole_stay_mean,nu__whole_stay_mean,ohsu__whole_stay_mean,rush__whole_stay_mean,ucmc__whole_stay_mean,umn__whole_stay_mean,upenn__whole_stay_mean,all__whole_stay_mean,emory__whole_stay_median,mimic__whole_stay_median,nu__whole_stay_median,ohsu__whole_stay_median,rush__whole_stay_median,ucmc__whole_stay_median,umn__whole_stay_median,upenn__whole_stay_median,all__whole_stay_median,emory__whole_stay_iqr,mimic__whole_stay_iqr,nu__whole_stay_iqr,ohsu__whole_stay_iqr,rush__whole_stay_iqr,ucmc__whole_stay_iqr,umn__whole_stay_iqr,upenn__whole_stay_iqr,all__whole_stay_iqr,emory__first_24hr_mean,mimic__first_24hr_mean,nu__first_24hr_mean,ohsu__first_24hr_mean,rush__first_24hr_mean,ucmc__first_24hr_mean,umn__first_24hr_mean,upenn__first_24hr_mean,all__first_24hr_mean,emory__first_24hr_median,mimic__first_24hr_median,nu__first_24hr_median,ohsu__first_24hr_median,rush__first_24hr_median,ucmc__first_24hr_median,umn__first_24hr_median,upenn__first_24hr_median,all__first_24hr_median,emory__first_24hr_iqr,mimic__first_24hr_iqr,nu__first_24hr_iqr,ohsu__first_24hr_iqr,rush__first_24hr_iqr,ucmc__first_24hr_iqr,umn__first_24hr_iqr,upenn__first_24hr_iqr,all__first_24hr_iqr,emory__first_48hr_mean,mimic__first_48hr_mean,nu__first_48hr_mean,ohsu__first_48hr_mean,rush__first_48hr_mean,ucmc__first_48hr_mean,umn__first_48hr_mean,upenn__first_48hr_mean,all__first_48hr_mean,emory__first_48hr_median,mimic__first_48hr_median,nu__first_48hr_median,ohsu__first_48hr_median,rush__first_48hr_median,ucmc__first_48hr_median,umn__first_48hr_median,upenn__first_48hr_median,all__first_48hr_median,emory__first_48hr_iqr,mimic__first_48hr_iqr,nu__first_48hr_iqr,ohsu__first_48hr_iqr,rush__first_48hr_iqr,ucmc__first_48hr_iqr,umn__first_48hr_iqr,upenn__first_48hr_iqr,all__first_48hr_iqr,emory__first_72hr_mean,mimic__first_72hr_mean,nu__first_72hr_mean,ohsu__first_72hr_mean,rush__first_72hr_mean,ucmc__first_72hr_mean,umn__first_72hr_mean,upenn__first_72hr_mean,all__first_72hr_mean,emory__first_72hr_median,mimic__first_72hr_median,nu__first_72hr_median,ohsu__first_72hr_median,rush__first_72hr_median,ucmc__first_72hr_median,umn__first_72hr_median,upenn__first_72hr_median,all__first_72hr_median,emory__first_72hr_iqr,mimic__first_72hr_iqr,nu__first_72hr_iqr,ohsu__first_72hr_iqr,rush__first_72hr_iqr,ucmc__first_72hr_iqr,umn__first_72hr_iqr,upenn__first_72hr_iqr,all__first_72hr_iqr
labs,wbc,10^3/µl,29244.0,,57516.0,27568.0,14490.0,,,,128818,422502.0,,811828.0,360206.0,220784.0,,,,1815320,422502.0,,811828.0,360206.0,220784.0,,,,1815320,12.35,,10.63,11.6,11.47,,,,11.322545,296.48,,255.18,278.51,275.26,,,,271.807318,14.45,,14.11,13.07,15.24,,,,14.091726,9.0,,8.0,8.0,10.0,,,,8.451987,12.0,,11.0,11.0,12.0,,,,12.0,1.99,,2.14,2.28,2.29,,,,2.152781,2.0,,2.0,2.0,2.0,,,,2.0,1.0,,2.0,2.0,2.0,,,,2.0,3.29,,3.44,3.63,3.71,,,,3.476979,3.0,,3.0,3.0,3.0,,,,3.0,2.0,,2.0,2.0,2.0,,,,2.0,4.4,,4.55,4.73,4.88,,,,4.591588,4.0,,4.0,4.0,4.0,,,,4.0,2.0,,2.0,3.0,3.0,,,,3.0
labs,monocytes_absolute,10^3/µl,8971.0,6893.0,35901.0,12119.0,11220.0,,,,75104,40602.0,24402.0,286469.0,78796.0,99505.0,,,,529774,40602.0,24402.0,286469.0,78796.0,99505.0,,,,529774,19.04,16.86,12.89,15.83,12.77,,,,14.445447,456.97,404.62,309.45,379.85,306.53,,,,346.729292,4.53,3.54,7.98,6.5,8.87,,,,7.054547,1.0,2.0,4.0,3.0,6.0,,,,3.595521,3.0,3.0,8.0,7.0,9.0,,,,9.0,0.62,0.64,0.98,1.03,1.28,,,,0.95868,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.9,0.88,1.63,1.62,2.05,,,,1.5351,1.0,1.0,2.0,1.0,2.0,,,,1.62741,1.0,1.0,1.0,2.0,2.0,,,,2.0,1.14,1.08,2.2,2.09,2.72,,,,2.030527,1.0,1.0,2.0,1.0,3.0,,,,1.776803,1.0,2.0,2.0,2.0,3.0,,,,3.0
labs,ast,u/l,23410.0,16694.0,41728.0,15109.0,12649.0,14303.0,40327.0,44222.0,208442,227660.0,115925.0,360684.0,93497.0,144120.0,133098.0,297447.0,462560.0,1834991,227660.0,115925.0,360684.0,93497.0,144120.0,133098.0,297447.0,462560.0,1834991,13.91,13.79,12.45,14.87,12.27,14.34,12.34,15.3,13.598832,333.85,330.97,298.75,356.85,294.36,344.14,296.07,367.1,326.314435,9.72,6.94,8.64,6.19,11.39,9.31,7.38,10.46,8.802759,5.0,3.0,3.0,3.0,7.0,4.0,3.0,5.0,3.960282,9.0,7.0,9.0,6.0,10.0,9.0,7.0,9.0,10.0,1.45,1.1,1.3,1.2,1.75,1.42,1.38,1.49,1.384909,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.060684,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.28,1.74,1.99,1.82,2.77,2.22,2.07,2.32,2.138829,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.908109,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.98,2.25,2.57,2.29,3.64,2.89,2.62,3.01,2.760033,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.312663,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
labs,glucose_fingerstick,mg/dl,1059.0,,2.0,26402.0,12733.0,17414.0,28588.0,49755.0,135953,2345.0,,5.0,1043876.0,646947.0,732731.0,1417598.0,2267202.0,6110704,2345.0,,5.0,1043876.0,646947.0,732731.0,1417598.0,2267202.0,6110704,18.06,,15.57,11.82,12.27,13.17,10.5,14.39,12.746707,433.46,,373.69,283.79,294.56,316.0,251.9,345.45,305.951642,2.21,,2.5,39.54,50.81,42.08,49.59,45.57,44.949649,1.0,,2.5,18.0,27.0,23.0,26.0,25.0,23.594742,2.0,,1.5,43.0,50.0,45.0,47.0,43.0,50.0,0.98,,0.0,6.03,6.2,4.77,7.55,4.96,5.773138,1.0,,0.0,4.0,4.0,3.0,6.0,3.0,3.903069,1.0,,0.0,10.0,6.0,5.0,8.0,5.0,10.0,1.26,,0.0,11.17,11.31,8.13,13.06,9.44,10.48066,1.0,,0.0,7.0,8.0,6.0,11.0,7.0,7.759843,2.0,,0.0,17.0,10.0,7.0,12.0,9.0,17.0,1.42,,0.5,15.0,15.25,10.95,17.36,12.97,14.151996,1.0,,0.5,10.0,11.0,9.0,16.0,10.0,11.156995,2.0,,0.5,20.0,14.0,10.0,16.0,13.0,20.0
labs,lymphocytes_percent,%,9223.0,12485.0,35121.0,12703.0,11293.0,9439.0,29828.0,40341.0,160433,41377.0,42062.0,278258.0,82752.0,102025.0,45973.0,157679.0,419528.0,1169654,41377.0,42062.0,278258.0,82752.0,102025.0,45973.0,157679.0,419528.0,1169654,19.07,15.46,13.02,15.93,12.73,16.06,13.37,15.61,14.662872,457.65,370.95,312.39,382.21,305.49,385.54,320.9,374.54,351.854129,4.49,3.37,7.92,6.51,9.03,4.87,5.29,10.4,7.2904,1.0,2.0,3.0,3.0,6.0,2.0,2.0,5.0,3.27652,3.0,3.0,8.0,7.0,9.0,4.0,4.0,10.0,10.0,0.63,0.67,0.96,1.06,1.31,0.88,0.9,1.15,0.982929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.92,1.59,1.64,2.08,1.28,1.4,1.93,1.568573,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.540755,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.15,1.12,2.15,2.11,2.76,1.62,1.82,2.62,2.077773,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.611146,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0
labs,bilirubin_total,mg/dl,23446.0,16707.0,41784.0,15152.0,12652.0,14339.0,40429.0,49421.0,213930,230321.0,116206.0,361316.0,94166.0,145156.0,134454.0,303720.0,482848.0,1868187,230321.0,116206.0,361316.0,94166.0,145156.0,134454.0,303720.0,482848.0,1868187,13.9,13.77,12.44,14.86,12.26,14.32,12.32,14.61,13.469268,333.58,330.58,298.56,356.54,294.31,343.59,295.59,350.69,323.253623,9.82,6.96,8.65,6.21,11.47,9.38,7.51,9.77,8.732432,5.0,3.0,3.0,3.0,7.0,4.0,3.0,5.0,3.984813,10.0,7.0,9.0,6.0,10.0,9.0,6.0,9.0,10.0,1.47,1.1,1.3,1.21,1.77,1.43,1.43,1.44,1.390057,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.059141,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.31,1.75,1.99,1.83,2.8,2.25,2.13,2.23,2.142228,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.910218,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.01,2.27,2.57,2.3,3.67,2.92,2.69,2.88,2.758477,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.328925,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
labs,total_protein,g/dl,23414.0,1232.0,41887.0,15448.0,12641.0,14376.0,40434.0,48105.0,197537,228459.0,1617.0,363130.0,95526.0,144181.0,134496.0,298992.0,435724.0,1702125,228459.0,1617.0,363130.0,95526.0,144181.0,134496.0,298992.0,435724.0,1702125,13.93,24.54,12.43,14.94,12.27,14.31,12.32,14.8,13.560828,334.21,588.99,298.42,358.56,294.41,343.43,295.75,355.19,325.474919,9.76,1.31,8.67,6.18,11.41,9.36,7.39,9.06,8.617096,5.0,1.0,3.0,3.0,7.0,4.0,3.0,5.0,4.040382,10.0,0.0,9.0,6.0,10.0,9.0,6.0,8.0,10.0,1.46,0.23,1.3,1.19,1.75,1.43,1.41,1.34,1.374204,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.057756,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.29,0.36,2.0,1.81,2.77,2.25,2.1,2.08,2.116706,2.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,1.973316,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.99,0.45,2.58,2.27,3.64,2.91,2.65,2.7,2.72647,3.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,2.33537,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
labs,crp,mg/l,2949.0,1969.0,6484.0,2772.0,1600.0,3633.0,11613.0,7555.0,38575,5459.0,5524.0,24694.0,6686.0,5699.0,13121.0,43993.0,16404.0,121580,5459.0,5524.0,24694.0,6686.0,5699.0,13121.0,43993.0,16404.0,121580,23.18,22.53,21.03,26.18,21.07,23.19,19.55,27.36,22.640287,556.29,540.79,504.8,628.42,505.75,556.5,469.21,656.69,543.398868,1.85,2.81,3.81,2.41,3.56,3.61,3.79,2.17,3.152089,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.30105,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,0.35,0.37,0.51,0.24,0.51,0.34,0.49,0.19,0.386516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.59,0.77,0.33,0.78,0.52,0.79,0.3,0.599393,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.510616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.78,1.01,0.44,1.02,0.68,1.05,0.43,0.795268,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.638108,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
labs,bilirubin_conjugated,mg/dl,7911.0,3280.0,21989.0,8438.0,3023.0,11719.0,18347.0,44712.0,119419,29030.0,8441.0,157175.0,34292.0,6112.0,87103.0,80373.0,429999.0,832525,29030.0,8441.0,157175.0,34292.0,6112.0,87103.0,80373.0,429999.0,832525,20.33,20.58,16.25,19.16,19.19,15.59,16.91,15.29,16.596448,487.83,493.8,390.05,459.84,460.45,374.17,405.93,366.87,398.293021,3.67,2.57,7.15,4.06,2.02,7.43,4.38,9.62,6.972178,2.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,3.168591,3.0,2.0,7.0,3.0,1.0,8.0,3.0,8.0,8.0,0.53,0.55,0.75,0.5,0.42,1.06,0.57,1.41,0.953794,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.656679,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.86,0.84,1.21,0.87,0.66,1.69,1.01,2.18,1.518262,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.321632,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.14,1.06,1.62,1.17,0.83,2.22,1.34,2.83,1.989928,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.846959,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0
labs,lactate,mmol/l,20714.0,20887.0,42694.0,22046.0,11814.0,16363.0,41385.0,51527.0,227430,194863.0,186065.0,469147.0,165214.0,123810.0,188712.0,400009.0,1525992.0,3253812,194863.0,186065.0,469147.0,165214.0,123810.0,188712.0,400009.0,1525992.0,3253812,13.91,12.17,12.08,12.67,12.43,13.46,11.88,14.15,12.862189,333.74,292.0,289.83,304.18,298.43,323.1,285.08,339.65,308.682968,9.41,8.91,10.99,7.49,10.48,11.53,9.67,29.62,14.308808,3.0,4.0,5.0,4.0,5.0,6.0,5.0,11.0,6.060388,7.0,8.0,8.0,7.0,9.0,11.0,8.0,22.0,22.0,2.74,3.04,4.31,4.62,3.27,4.76,4.06,7.06,4.636327,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.088238,3.0,3.0,5.0,6.0,4.0,5.0,5.0,8.0,8.0,3.77,4.19,5.42,5.3,4.64,6.08,5.15,9.87,6.111163,2.0,3.0,3.0,3.0,3.0,4.0,3.0,7.0,3.887117,4.0,5.0,6.0,7.0,6.0,6.0,6.0,11.0,11.0,4.45,4.91,6.12,5.66,5.46,6.88,5.81,11.85,7.074369,2.0,3.0,4.0,4.0,4.0,5.0,3.0,8.0,4.522231,4.0,6.0,6.0,6.0,7.0,8.0,7.0,13.0,13.0
