value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
15.0,,0.008430615251828668,,,,,,
15.5,,,,,,,,0.014514460894395708
17.5,0.012811956080771597,,0.02241247532483243,0.010309059444308783,,,0.013335496323468553,
19.5,,,,,0.004648211748803465,,,
21.0,,,,,,0.0071443029244413125,,
39.9995,,,0.12540758702979715,,,,,
40.4995,,,,,,,,0.13606508741640536
40.9995,,,,,,,0.12013534138274662,
41.4995,,,,0.12174457739226449,,,,
41.9995,0.12527536762941732,,,,,,,
42.9995,,0.10524755669087453,,,,0.11870188090829353,,
43.9995,,,,,0.11543289058081957,,,
57.0,,,0.1278737291257705,,,,,
57.5,,,,,,,,0.12317616373218399
59.0,,,,,,,0.11825486424477985,
60.0,,,,0.11505589824714138,,,,
61.0,0.1245948551511741,,,,,,,
63.0,,,,,,0.10942853073249721,,
63.5,,0.10411417511617162,,,,,,
65.0,,,,,0.11506048192438725,,,
71.0,,,0.12020311993093702,,,,,0.12413624020866211
73.5,,,,,,,0.1221780427808549,
74.0,,,,0.11179649428277187,,,,
75.0,0.12551529190059282,,,,,,,
77.0,,,,,,0.11481861866814601,,
78.0,,0.09939756410144637,,,,,,
78.5,,,,,0.10768127336174674,,,
87.0,,,0.12462128085426942,,,,,0.1289160200915575
89.5,,,,0.11458875240208517,,,0.11768211328550476,
90.0,0.12020205985892453,,,,,,,
92.0,,,,,,0.11073294700621472,,
93.0,,0.10236179283528478,,,0.1167983889877381,,,
108.0,,,0.12053853725056773,,,,,0.12233352150282872
109.0,0.12082150070450491,,,0.11169032477253182,,,0.11761258860258698,
110.0,,,,,,0.1080041681347597,,
110.5,,0.10264077906905782,,,0.10774334147115212,,,
128.9995,0.07516609302954558,,,,,,,
129.4995,,,0.07401450542441289,,0.08719190080136825,,0.07960576194086429,0.07182443374030137
130.4995,,,,,,0.08683364194522951,,
130.9995,,0.09749697038386762,,0.08553015744938369,,,,
151.5,0.07360440413716689,,,,,,,
152.5,,,0.0694121399075128,,,,0.07669896805506354,
153.0,,,,,,,,0.06961172529451273
153.5,,,,,0.08782637480862333,,,
157.0,,,,,,0.08621142038937575,,
158.0,,0.09534354539193207,,0.08192039410122201,,,,
188.0,,,,,,,0.07793716955083745,
188.0,0.07464698415191133,,,,,,,
189.5,,,0.07256286325420784,,,,,
190.0,,,,,,,,0.06927384430279082
191.0,,,,,0.08513675673438988,,,
198.0,,,,,,0.08650378955417451,,
199.0,,0.09393989590326152,,,,,,
201.0,,,,0.08220705177887014,,,,
257.5,,,,,,,0.07817553989226984,
261.0,0.07286282002626081,,,,,,,
262.5,,,0.071171706174428,,,,,
264.5,,,,,,,,0.06991458203709273
266.5,,,,,0.08591605633025752,,,
279.0,,0.09523020723446178,,,,,,
280.0,,,,,,0.08505693702068325,,
286.5,,,,0.08185669239507798,,,,
323.4995,,,,,,,0.01601385196539657,
330.9995,0.015189387495146986,,,,,,,
331.4995,,,0.0145191710243425,,,,,
336.4995,,,,,,,,0.014176579902673792
338.4995,,,,,0.017579067874925865,,,
356.4995,,0.019363388287809175,,,,,,
358.9995,,,,,,0.017377223692397654,,
368.0,,,,,,,0.01548745079473334,
368.9995,,,,0.016997738589431887,,,,
379.5,0.014679003136464563,,,,,,,
380.0,,,0.014318470497022484,,,,,
387.0,,,,,,,,0.014028241906308074
389.0,,,,,0.01714459110908815,,,
410.0,,0.018971063896565853,,,,,,
414.0,,,,,,0.017392216982900152,,
427.0,,,,0.016392572381063605,,,,
435.5,,,,,,,0.015556975477651126,
454.0,0.014884029331832716,,,,,,,
455.5,,,0.014288227951809878,,,,,
465.0,,,,,,,,0.013939651158478547
470.5,,,,,0.01729631315430132,,,
495.0,,0.019215176851117254,,,,,,
497.5,,,,,,0.017249780723126402,,
519.0,,,,0.016626145303591716,,,,
566.5,,,,,,,0.015689403445113572,
591.0,0.014879667072356799,,,,,,,
598.0,,,0.014337715753066868,,,,,
613.5,,,,,,,,0.014075627655147123
632.5,,,,,0.017261830871298327,,,
651.5,,0.019110557013452368,,,,,,
657.0,,,,,,0.017249780723126402,,
702.5,,,,0.01663676225461572,,,,
1411.5,0.014866580293929043,,,,,,,
2332.5,,,,,,,0.015636432258128594,
2649.5,,,,,0.01728252024110012,,,
2655.0,,,,,,0.0172947605946339,,
2836.0,,,0.014318470497022484,,,,,
2837.0,,,,0.016647379205639724,,,,
2839.5,,,,,,,,0.014013820156661406
2851.0,,0.01913671197286859,,,,,,
