value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
0.06,,,,,,0.02342606149341142,,,
0.1,0.10250164581961817,0.012972363226170333,0.19706563115710543,0.1768536628733997,0.0274318145987703,,0.12159513703296128,0.12913932343751688,0.21043643232507547
0.13,0.17376563528637262,,,,0.0892322244994482,,,,
0.17,0.23518762343647137,,,,0.1401545010247517,,,,
0.18,,,,,,0.20717423133235724,,,
0.2,0.2924950625411455,0.0874224478285392,0.5017311628440806,0.4624155405405405,,,0.38824084263480585,0.3676767895174979,0.5706689019941734
0.21,,,,,0.1959640548636292,,,,
0.23,,,,,,0.2708638360175695,,,
0.25,0.3490125082290981,,,,0.2519312628093962,,,,
0.26,,,,,,,,0.3895585802782793,
0.29,,,,,,0.3162518301610542,,,
0.3,0.40246872942725476,0.11968415115623238,0.5824932570729001,0.5371843883357041,0.3075831625413842,,0.46900382539433005,0.45095516611349556,0.6496634657347679
0.4,,,0.7128086921590757,0.6617398648648649,,,0.6018340931719331,0.5622452620084976,
0.46,0.5262343647136274,,,,,,,,
0.5,,,,,0.4475800094592464,,,,0.8079062084684439
0.6,,,0.77096524284102,0.7245510312944523,,,,,
0.64,,,,,,0.46266471449487556,,,
0.7,,,,,,,0.6867054446365876,,
0.77,0.6439104674127716,,,,,,,,
0.8,,,,,,,,0.6828653902288723,0.8606087754171066
0.98,,,,,0.5858426612013243,,,,
1,,0.30197405527354765,,,,,,,
1.1,,,0.8409960403236605,,,,,,
1.3,,,,0.8201458036984353,,,,,
1.5,0.7618499012508229,,,,,,,,
1.52,,,,,,0.5922401171303074,,,
1.58,,,,,,,,0.7806523454814751,
1.7,,,,,,,0.7922339254834145,,
2,,,,,,,,,0.9280638451695352
2.1,,0.4739988719684151,,,,,,,
2.16,,,,,0.7234746965158443,,,,
2.6,,,,,,,,,0.9437830502668724
3,,,0.9165981215448477,,,,,,
3.33,,,,,,0.7284040995607614,,,
3.6,,,,,,,,,0.9571176132499147
3.7,,,,0.9066945234708392,,,,,
3.83,,,,,,,,0.8901369774154837,
3.9,,,0.9337567190160109,,,,,,
4,0.880348913759052,,,,,,,,
4.1,,0.6521150592216582,,,,,,,
4.7,,,,0.9263202347083926,,,,,
4.89,,,,,,,,0.912126879790696,
4.9,,,,,,,0.8927946339674055,,
5.208,0.9042791310072416,,,,,,,,
5.308,,,,,0.8614220400441431,,,,
5.5,,,0.9500306061939285,,,,,,0.9712541932976405
6.1,,,,0.9441900782361309,,,,,
6.26,,,,,,,0.9142378032804066,,
6.5,,,,,,,,0.9344843616549726,
6.536,,,,,0.8891691628566925,,,,
6.8,0.9283739302172482,,,,,,,,
7.334,,,,,,0.863103953147877,,,
7.9,,0.8241398759165257,,,,,,,
8.2,,,0.9668687950724028,,,,,,
8.33,,,,,0.9170739397761312,,,,
8.4,,,,0.9631490042674253,,,,,
8.492,,,,,,0.8909224011713031,,,
8.6,,,,,,,0.9362993240056595,,
9.08,0.9522053982883476,,,,,,,,
9.3,,0.8626057529610829,,,,,,,
9.4,,,,,,,,,0.9856279200749647
9.476,,,,,,,,0.9560526287339048,
9.97,,,,,,0.91800878477306,,,
10.994,,,,,0.9445057543749015,,,,
11.616,,,,,,0.945095168374817,,,
12.4,,0.8963338973491258,,,,,,,
12.6,,,,,,,0.9573232720222187,,
13.69,,,,,,0.972913616398243,,,
14.1,,,,0.9818189900426743,,,,,
14.7,,,0.9833913575759894,,,,,,
14.702,,,,,0.9722528771874507,,,,
15.3,,0.9297236322617033,,,,,,,
15.4,,,,,,,,0.9782479431765354,
17.082,0.9760697827518104,,,,,,,,
19.5,,,,,,,0.9790074935806738,,
20.7,,0.9650310208685843,,,,,,,
29.99,1.0,,,,,,,,
30.36,,,,,,1.0,,,
33.94,,,,,1.0,,,,
46.3,,,,1.0,,,,,
48.6,,,,,,,,1.0,
50,,1.0,1.0,,,,1.0,,1.0
