value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
0.4195,,0.0067370721048798255,,,,,,
0.5995,,,0.013832153690596562,,,,,0.004498047550788394
0.97,,0.0067370721048798255,,,,,,
1.05,,,0.0008493427704752275,,,,,
1.0595,,,,,0.0005265005265005265,,,
1.0995,0.007135016465422613,,,,,,,
1.25,,,,,,,,0.0020760219465177205
1.32,,,,,0.0005265005265005265,,,
1.45,0.008415660446395901,,,,,,,
1.4500000000000002,,,0.007603640040444894,,,,,
1.46,,0.0065549890750182084,,,,,,
1.5494999999999999,,,,,,,0.01449894348783887,
1.5995,,,,0.0220763723150358,,,,
1.8,,,,,,,,0.0029657456378824575
1.9,0.005854372484449323,,,,,,,
1.95,,,,,0.000351000351000351,,,
2.06,,0.007101238164603059,,,,,,
2.1,,,0.00679474216380182,,,,,
2.3,0.00676911818514453,,,,,,,
2.35,,,,,,,,0.003015174731847165
2.58,,,,,0.0005265005265005265,,,
2.75,,0.006190823015294974,0.006471183013144591,,,,,
2.8,0.00676911818514453,,,,,,,
2.84,,,,,0.0005265005265005265,,,
2.85,,,,,,,,0.003015174731847165
2.95,,,,,,,0.012813019826462258,
3.0,,,,0.0008949880668257757,,,,
3.05,,,,,,,0.0007642853931573979,
12.9495,,,0.19312436804853386,,,,,
13.4995,,,,,,0.20683036071342878,,
13.5895,,,,0.1949582338902148,,,,
14.1995,0.19319429198682767,,,,,,,
16.549500000000002,,,,,,,0.19491525423728814,
16.749499999999998,,,,,,,,0.15916168256635857
19.1995,,0.1937363437727604,,,,,,
19.6295,,,,,0.19954369954369955,,,
38.0,,,,,,0.19779252979284973,,
40.54,,,,0.19644988066825775,,,,
42.3,,,0.19271991911021233,,,,,
46.6,0.1930113428466886,,,,,,,
47.05,,,,,,,0.18976756732455155,
48.2,,,,,,,,0.15921111166032326
57.199999999999996,,0.19319009468317552,,,,,,
60.38,,,,,0.1997191997191997,,,
74.0,,,,,,0.19691274094217387,,
80.5,,,,0.19376491646778043,,,,
86.69999999999999,,,,,,,0.1921278604504788,
87.9,,,0.1933670374115268,,,,,
91.55,,,,,,,,0.15896396619049974
91.96000000000001,0.19282839370654958,,,,,,,
111.19,,0.1930080116533139,,,,,,
120.5,,,,,0.19936819936819936,,,
130.5,,,,,,0.19747260657442214,,
134.0,,,,0.1951073985680191,,,,
138.55,,,,,,,,0.3134793139241758
139.65,,,,,,,0.1972755473632154,
150.03,0.1930113428466886,,,,,,,
151.0,,,0.19207280080889788,,,,,
172.9995,,,,0.04012529832935561,,,,
176.4995,,,,,,0.04079021034951612,,
178.1995,,,,,,,0.039607966551274555,
192.16,,0.19337217771303714,,,,,,
194.3995,0.038785217709476766,,,,,,,
197.0,,,,0.039081145584725537,,,,
199.15,,,,,,,0.03954052960481949,
200.47449999999998,,,0.03866531850353893,,,,,
201.9,,,,,,0.0395904982804127,,
206.42000000000002,,,,,0.19936819936819936,,,
218.09,0.038419319429198684,,,,,,,
227.19,,,,0.038782816229116945,,,,
227.575,,,0.03866531850353893,,,,,
228.95,,,,,,,0.04005754619430832,
236.4,,,,,,0.04063024874030233,,
249.05,0.038602268569337725,,,,,,,
257.16949999999997,,0.0387836853605244,,,,,,
260.54999999999995,,,0.038624873609706775,,,,,
267.19,,,,0.03967780429594272,,,,
269.1495,,,,,0.04018954018954019,,,
274.5,,,,,,,0.0393382187654543,
285.0,,,,,,0.04039030632648164,,
286.62,,0.15367807720320467,,,,,,
292.69,0.038602268569337725,,,,,,,
294.37,,,,,0.03966303966303966,,,
306.95,,,0.038624873609706775,,,,,
320.63,,,,,0.03983853983853984,,,
355.54,,,,,0.03983853983853984,,,
404.93,0.038602268569337725,,,,,,,
443.3,,0.0009104151493080845,,,,,,
476.0,,,,0.039081145584725537,,,,
479.9995,,,,,,,,0.19361376105975978
493.76,,,,,0.04001404001404001,,,
501.0,,,,,,0.0395904982804127,,
514.0,,,,,,,0.03929326080115093,
549.0,,,0.03858442871587462,,,,,
