value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,umn_probability,upenn_probability
14,,,,,,,0.002330662782228696,,
15,0.013752766361049636,0.005067104902766365,0.0055973845849019216,0.009708737864077669,0.001302295295458245,0.0016070711128967456,,0.005812220566318927,0.004946545396521462
48.6,0.0651280429971546,,,,,,,,
55.74,,,0.04319397661977412,,,,,,
56,,,,0.06421006178287732,,,,,
57,,,,,,,,0.05096870342771982,
58,,,,,,,,,0.04515717249082496
63.4,,0.03355245138318269,,,,,,,
63.6,,,,,,,0.02651128914785142,,
64.8,,,,,,0.03776617115307352,,,
66,,,,,0.019534429431873678,,,,
80,0.11808409737590894,,,,,,,,
89,,,,0.11562224183583407,,,,,
90.1,,,,,,,,,0.0852082336045955
91,,,,,,,,0.09359165424739195,
91.08,,,0.08074103427778878,,,,,,
96,,,,,,0.07513057452792286,,,
99,,,,,,,0.051420247632920614,,
100,,0.06203779786359902,,,,,,,
104,,,,,0.036789842096695426,,,,
115.8,0.16772051849509959,,,,,,,,
123,,,,0.16879964695498675,,,,,
124.3,,,,,,,,,0.12525929471836605
124.8,,,0.1184862294432336,,,,,,
126,,,,,,0.11008437123342708,,0.1368107302533532,
131,,,,,,,0.07516387472687545,,
134,,0.09066009312517119,,,,,,,
140,,,,,0.054208041673449454,,,,
156.4,0.21909579513120456,,,,,,,,
160,,,,,,,,,0.16536354449231425
161,,,,0.22197705207413945,,,,,
161.76,,,0.15588468397067565,,,,,,
162,,,,,,,,0.17988077496274218,
164,,,,,,0.14584170349537967,,,
165,,,,,,,0.09978150036416605,,
172,,0.1196932347302109,,,,,,,
173,,,,,0.07130066742633892,,,,
200,0.2704710717673095,0.1472199397425363,0.19348127600554785,0.2736098852603707,0.08855608009116067,0.18159903575733227,0.12308812818645302,0.22280178837555886,0.2054146056060848
346,,,,0.4194616063548102,,,,,
360.8,0.4163768574138476,,,,,,,,
371,,,,,,0.3455202892728003,,,
387.8,,,,,,,,0.3782414307004471,
396,,,0.35496334456112544,,,,,,
397.22,,,,,,,,,0.3643423222169034
422,,0.3184059161873459,,,,,,,
510,,,,,,,0.298761835396941,,
564,,,,,0.2710402083672473,,,,
599,,,,,,0.5090397750100442,,,
600.4,,,,0.5642100617828774,,,,,
668,0.5625987986089156,,,,,,,,
672.34,,,,,,,,,0.5232168501675443
680.2,,,0.5160986724787002,,,,,,
688,,,,,,,,0.5342771982116244,
739,,0.4884963023829088,,,,,,,
913,,,,,,,0.4741442097596504,,
1072,,,,,,0.6725592607472881,,,
1097.4,,,,,0.453035975907537,,,,
1134,,,0.6773826035268476,,,,,,
1146.56,,,,,,,,,0.6820913781181852
1150.6,,,,0.7093998234774934,,,,,
1250,0.7083465064811888,,,,,,,,
1267.6,,0.6588605861407834,,,,,,,
1270.4,,,,,,,,0.6891207153502236,
1563,,,,,,,0.6493809176984705,,
2015,,,,,0.6353573172716913,,,,
2056.5,,,0.8386665345749951,,,,,,
2378.6,,0.8293618186798137,,,,,,,
2470,,,,,,,,,0.8410190947290038
2630.76,,,0.8709629482861105,,,,,,
2939,,0.8635990139687757,,,,,,,
2986.2,0.8540942143534619,,,,,,,,
3061,,,,,,0.836078746484532,,,
3253.2,,,,,,,,,0.8728259135152385
3361.2,,,,0.8545895851721095,,,,,
3426,,,0.9032593619972261,,,,,,
3571.6,,,,,,,,0.8445603576751117,
3812,,0.8978362092577377,,,,,,,
3815.2,,,,,,,0.8246176256372906,,
3894,,,,,0.8175158717239134,,,,
4295,,,,,,0.8690237042989152,,,
4311.6,0.8833386025924755,,,,,,,,
4728.86,,,,,,,,,0.9046327323014733
4778,,,,,0.8541429269086765,,,,
4959,,,,0.8837157987643425,,,,,
5019,,,,,,,0.8597232337946104,,
5020.2,,,0.9354567069546265,,,,,,
5223.6,,,,,,,,0.8757078986587183,
5696,,0.9317995069843878,,,,,,,
5919,,,,,0.8906071951815074,,,,
6132.2,,,,,,0.9015668943350743,,,
6474.6,0.9124249130572242,,,,,,,,
6863.8,,,,0.9128420123565755,,,,,
6984.8,,,,,,,0.8948288419519301,,
7645.1,,,,,,,,,0.9363863624275305
8482,,,,,0.9270714634543382,,,,
8667.2,,,,,,,,0.9067064083457526,
9025.8,,,,,,0.9345118521494576,,,
9210.8,,,0.9677035862888845,,,,,,
11111,0.9418273790705027,,,,,,,,
11283,,,,,,,0.9297887836853606,,
11330.8,,,,0.941747572815534,,,,,
12195,,0.9658997534921939,,,,,,,
13950,,,,,,,,,0.9848412318493697
15618.4,,,,,,,,0.9378539493293592,
19430,,,,,0.9635357317271691,,,,
21005.4,,,,,,0.9670550421856167,,,
24111.6,0.9707556117609865,,,,,,,,
24900.4,,,,,,,0.9648943918426802,,
25237.2,,,,0.970873786407767,,,,,
33502.6,,,,,,,,0.9688524590163935,
92173,,,,1.0,,,,,
100000,,,,,,,1.0,,
183588,,,,,,,,,1.0
200000,,,,,,,,1.0,
209271,,,1.0,,,,,,
230404,,,,,1.0,,,,
258502,1.0,,,,,,,,
277120,,1.0,,,,,,,
293503,,,,,,1.0,,,
