value,emory_probability,mimic_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
4.3995,,,,0.037016502308080464,,,,
4.4495000000000005,0.050487481718411956,,0.04568325427510049,,,,0.044364914587393216,0.03886389559274906
4.4495000000000005,,,,,,0.04425010039456658,,
4.4995,,0.050783183850304205,,,,,,
4.4995,,,,,0.04639135885120168,,,
6.949999999999999,,,,,0.04013245687737854,,,
7.0,,,,0.04741791934281484,,0.04831050286522906,,
7.050000000000001,0.04362195723132002,,0.03986954237333523,,,,0.04129589690783891,
7.1,,,,,,,,0.04889480134001054
7.15,,0.044870038976998296,,,,,,
7.199999999999999,,,,,0.0373332494619501,,,
7.300000000000001,0.03922782502739167,,0.03631723143208825,0.03465962302390727,,0.03558907707115584,0.03801780589273755,
7.4,,0.03950975932771589,,,,,,0.03603562809322636
7.4,,,,,0.04484572907446431,,,
7.5,0.04672225252093477,,0.04440342506673857,0.04064007442339519,,0.04232188729036658,0.04709516638100764,
7.55,,,,,0.02446048983883215,,,
7.6,,0.045164062755228974,,,,,,0.04288906729587766
7.65,0.025547546868832777,,0.024172704918108474,0.02183695379063021,,0.023172022105927424,0.025259860267457343,
7.75,,0.024323556833288518,,,,,,0.02404782068792212
7.95,,,,,0.18704816164411875,,,
8.0,0.1735313722696356,,,,,,,
8.05,,,0.1967815896660717,0.16826664507059216,,0.177135854564925,0.19759107268037607,
8.15,,0.1837598353466842,,,,,,0.1910579752003407
8.65,0.17909159546469217,,,,0.17758117926160233,,,
8.75,,,0.1833341490012992,,,,0.1749082928323623,
8.8,,,,,,0.1892899713795807,,
8.85,,0.1720491446923682,,,,,,0.18149987516950022
8.850000000000001,,,,0.1926203721585069,,,,
9.5,0.18155971221136383,,,,0.19006303833071983,,,
9.55,,,0.1625872495399171,,,,,
9.6,,,,,,,0.17251121672855013,
9.649999999999999,,,,,,,,0.16916694814720534
9.7,,0.19580727118290542,,,,0.17358061205627195,,
9.8,,,,0.15847988554080517,,,,
11.0,0.17897695168747452,,0.18186132967421606,,0.18102739449054875,,,
11.05,,,,,,,0.17517774028619568,0.18168793680476347
11.1,,0.17756774483762097,,,,0.16606536164353874,,
11.15,,,,0.17330434475641082,,,,
12.099499999999999,,0.014593128890474887,,,,,,
12.1495,0.019125857576397794,,0.020167929105218398,0.027732266819500424,0.01801737036254903,0.02125974464721668,0.020715030807570915,0.02144473761934367
12.399999999999999,,0.014955004309835724,,,,,,
12.45,,,,,0.010729546240839672,,,0.013074159107486404
12.5,0.01574059061198486,,0.016732889671519736,0.023051732981151197,,,0.016030446444243944,
12.55,,,,,,0.021297990196390896,,
12.8,,0.011213111952694841,,,,,,
12.85,,,,,,,,0.017100554639044044
12.899999999999999,,,,,0.015842705211558075,,,
12.95,0.01419617515603837,,0.015257300151344882,,,,0.01527688800489254,
13.0,,,,0.026731371828336126,,,,
13.100000000000001,,,,,,0.019278943912902136,,
13.4,,0.013148140236777097,,,,,,
13.5,,,,,,,,0.017350215638569196
13.55,,,,,0.012131396503461941,,,
13.6,,,0.01661100117548527,,,,0.01610982722939817,
13.649999999999999,0.016521806065310923,,,,,,,
13.7,,,,0.02286692042054202,,,,
13.850000000000001,,,,,,0.01874350622446313,,
15.9,,0.012080105144913514,,,,,,
15.95,,,,,0.014112857932360725,,,0.016601232639993736
16.0,,,0.015808568576591683,,,,0.015286950357940258,
16.05,0.015177198335372354,,,0.02481472021662524,,,,
16.15,,,,,,0.01846941312204792,,
18.049500000000002,,3.769535618342058e-05,,,8.087597668974628e-05,,,
18.0995,,,9.78801559064672e-05,0.00012874582873897614,,,7.826274592670359e-05,7.750913383950878e-05
18.1495,0.00012283261844749397,,,,,0.00031233865158942126,,
18.200000000000003,,,,,4.043798834487314e-05,,,
18.25,,3.5182332437859206e-05,,,,,,
18.299999999999997,,,,,,,,3.834662411007276e-05
18.35,,,7.294841808123499e-05,0.00012459273748933176,,,6.261019674136286e-05,
18.450000000000003,9.826609475799518e-05,,,,,0.0001944148749689255,,
18.450000000000003,,,,,5.3917317793164186e-05,,,
18.619999999999997,,3.2669308692297833e-05,,,,,,
18.65,,,,,,,,6.200730707160701e-05
18.65,,,,8.306182499288783e-05,,,,
18.7,,,8.402919044800486e-05,,,,,
18.75,6.059742510076369e-05,,,,,,,
18.85,,,,,,,7.938078515422792e-05,
18.85,,,,,,0.000254970327828099,,
18.93,,,,,4.942420797706717e-05,,,
19.08,,3.5182332437859206e-05,,,,,,
19.200000000000003,,,,0.00010175073561628759,,,,
19.25,,,,,,,,4.9769022781158264e-05
19.299999999999997,9.662832651202859e-05,,7.294841808123499e-05,,,,,
19.3595,,,,,1.3479329448291046e-05,,,
19.5495,,1.0052094982245488e-05,,,,,,
19.55,,,,,,0.0002294732950452891,,
19.560000000000002,,,,,1.3479329448291046e-05,,,
19.6,,,,,,,6.261019674136286e-05,
19.6495,,,,,,,,1.3054169909812003e-05
19.6795,,,,2.491854749786635e-05,,,,
19.749499999999998,2.4566523689498794e-05,,,,,,,
19.77,,5.026047491122744e-06,,,,,,
19.8495,,,2.3084942430770567e-05,,,,,
19.85,1.4739914213699276e-05,,,,,,,
19.85,,,,,,,,1.3054169909812003e-05
19.990000000000002,,,,2.491854749786635e-05,,,,
20.0,1.801545070563245e-05,,,,,,,
20.03,,,,,8.98621963219403e-06,,,
20.04,,5.026047491122744e-06,,,,,,
20.049500000000002,,,,,,,1.6770588412865053e-05,
20.0995,,,,,,5.577475921239666e-05,,
20.1,,,,,,,,9.382684622677378e-06
20.1,,,1.1080772366769871e-05,,,,,
20.25,,,,,,,1.5652549185340716e-05,
20.3,1.801545070563245e-05,,,,,,,
20.35,,,,,,4.6213371918842945e-05,,
20.4,,,,2.2842001873044152e-05,,,,
20.5,,,1.662115855015481e-05,,,,,
20.53,,7.539071236684115e-06,,,,,,
20.6,,,,,,,1.6770588412865053e-05,
20.6,,,,,,,,1.0606513051722252e-05
20.759999999999998,,,,,,4.461980736991733e-05,,
20.869999999999997,,,,,8.98621963219403e-06,,,
20.93,,,,2.491854749786635e-05,,,,
20.98,,,,,,,1.1180392275243368e-05,
21.05,1.801545070563245e-05,,,,,,,
21.200000000000003,,,1.662115855015481e-05,,,,,
21.41,,,,,,4.9400501016694184e-05,,
22.060000000000002,,7.539071236684115e-06,,,,,,
22.08,,,,,,,1.5652549185340716e-05,
22.29,,,,2.491854749786635e-05,,,,
22.34,,,,,1.3479329448291046e-05,,,
22.45,,,,,,,,1.1422398671085504e-05
22.55,,,1.662115855015481e-05,,,,,
23.200000000000003,,,,,,4.780693646776856e-05,,
